NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFNGR1	NA	673	0.6080058813095093	-0.012114368	No	
row_1	IL2RA	NA	840	0.5759568214416504	0.006635793	No	
row_2	IL2RG	NA	979	0.5498929023742676	0.025850778	No	
row_3	FAS	NA	1007	0.5456032752990723	0.05196225	No	
row_4	HAX1	NA	1085	0.531960666179657	0.07417241	No	
row_5	JUN	NA	1843	0.4280398190021515	0.047489718	No	
row_6	TNFRSF21	NA	1995	0.40928012132644653	0.058695875	No	
row_7	IRF1	NA	2241	0.38313835859298706	0.06254237	No	
row_8	BAK1	NA	2658	0.34257546067237854	0.053357393	No	
row_9	CNTFR	NA	2857	0.32439902424812317	0.05721923	No	
row_10	IL15RA	NA	2928	0.31920570135116577	0.06902118	No	
row_11	IL7	NA	2967	0.31635087728500366	0.08272873	No	
row_12	STAT2	NA	4000	0.23681947588920593	0.028659826	No	
row_13	PTPN2	NA	4151	0.2261294424533844	0.03058387	No	
row_14	IL12RB1	NA	4172	0.2245357483625412	0.04075992	No	
row_15	CD38	NA	4945	0.17298921942710876	1.0041548E-4	No	
row_16	PDGFC	NA	5301	0.15085329115390778	-0.014957922	No	
row_17	STAT1	NA	6473	0.07285851985216141	-0.08630404	No	
row_18	CD36	NA	6479	0.07257991284132004	-0.08292078	No	
row_19	MAP3K8	NA	6669	0.05804779380559921	-0.09207398	No	
row_20	IL18R1	NA	7037	0.032332271337509155	-0.113949694	No	
row_21	PIK3R5	NA	7672	-0.005924622993916273	-0.15428838	No	
row_22	IL10RB	NA	8093	-0.040402673184871674	-0.1791497	No	
row_23	LEPR	NA	8505	-0.07176482677459717	-0.20183368	No	
row_24	SOCS1	NA	8634	-0.08119726181030273	-0.2058953	No	
row_25	GRB2	NA	8732	-0.08783124387264252	-0.2076312	No	
row_26	ACVR1B	NA	9162	-0.12173011898994446	-0.2289193	No	
row_27	STAT3	NA	9350	-0.13562455773353577	-0.23398553	No	
row_28	SOCS3	NA	9490	-0.1458292007446289	-0.23545408	No	
row_29	IL4R	NA	9524	-0.14882872998714447	-0.22997472	No	
row_30	IL17RA	NA	9706	-0.1627746820449829	-0.23327085	No	
row_31	MYD88	NA	9956	-0.1829351782798767	-0.23989718	No	
row_32	TNFRSF1A	NA	10042	-0.18851883709430695	-0.23572575	No	
row_33	IFNGR2	NA	10180	-0.19788382947444916	-0.23440975	No	
row_34	ITGA4	NA	10558	-0.22691479325294495	-0.24699691	No	
row_35	IL6	NA	10769	-0.24387255311012268	-0.24801359	No	
row_36	PTPN11	NA	10779	-0.24429474771022797	-0.2361241	No	
row_37	CD9	NA	10851	-0.25003862380981445	-0.22791585	No	
row_38	DNTT	NA	10924	-0.2552357316017151	-0.21950652	No	
row_39	CD44	NA	10958	-0.2592298686504364	-0.20839335	No	
row_40	CBL	NA	11804	-0.3263636827468872	-0.24590561	No	
row_41	CSF1	NA	12418	-0.37711793184280396	-0.26595607	Yes	
row_42	IL6ST	NA	12549	-0.3893396854400635	-0.25442135	Yes	
row_43	PTPN1	NA	12557	-0.3899253010749817	-0.23497209	Yes	
row_44	HMOX1	NA	12997	-0.4283911883831024	-0.24125224	Yes	
row_45	CSF3R	NA	13179	-0.44227495789527893	-0.23028542	Yes	
row_46	INHBE	NA	13523	-0.47411713004112244	-0.22807832	Yes	
row_47	A2M	NA	14040	-0.514952540397644	-0.23487711	Yes	
row_48	PIM1	NA	14264	-0.5372133255004883	-0.22175789	Yes	
row_49	IL13RA1	NA	14328	-0.5449417233467102	-0.19798787	Yes	
row_50	ACVRL1	NA	14636	-0.587605357170105	-0.18768175	Yes	
row_51	OSMR	NA	15208	-0.7034797072410583	-0.1883856	Yes	
row_52	STAM2	NA	15356	-0.7620509266853333	-0.15892108	Yes	
row_53	CSF2RB	NA	15382	-0.7727845311164856	-0.121088296	Yes	
row_54	ITGB3	NA	15439	-0.8012080192565918	-0.08379224	Yes	
row_55	IFNAR1	NA	15508	-0.8564298748970032	-0.044447433	Yes	
row_56	TLR2	NA	15626	-1.0556613206863403	0.0019231625	Yes	
