NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TACR1	NA	52	0.9882446527481079	0.018285444	No	
row_1	CD48	NA	123	0.8415985703468323	0.03220095	No	
row_2	IL15	NA	194	0.7773243188858032	0.04470934	No	
row_3	CCL22	NA	214	0.7619984149932861	0.06016744	No	
row_4	TPBG	NA	335	0.6981887221336365	0.06772254	No	
row_5	TNFSF15	NA	378	0.684855043888092	0.0800102	No	
row_6	BDKRB1	NA	527	0.6417984366416931	0.08452711	No	
row_7	VIP	NA	668	0.6099650859832764	0.08886245	No	
row_8	HRH1	NA	683	0.6058131456375122	0.10122336	No	
row_9	MYC	NA	833	0.5777109861373901	0.10427282	No	
row_10	RGS16	NA	1059	0.5358527898788452	0.101510264	No	
row_11	ROS1	NA	1255	0.5041177868843079	0.09998544	No	
row_12	HIF1A	NA	1587	0.45886680483818054	0.08870933	No	
row_13	P2RX4	NA	1662	0.44882625341415405	0.093768425	No	
row_14	NDP	NA	1736	0.44012850522994995	0.09870152	No	
row_15	MEP1A	NA	1781	0.43464455008506775	0.105382636	No	
row_16	ACVR2A	NA	1841	0.4284152090549469	0.110961124	No	
row_17	SLC4A4	NA	1868	0.42508137226104736	0.118592374	No	
row_18	IRF7	NA	1907	0.42076003551483154	0.12535602	No	
row_19	CX3CL1	NA	1913	0.41972479224205017	0.13422275	No	
row_20	CD82	NA	2062	0.40182968974113464	0.13348615	No	
row_21	PSEN1	NA	2091	0.3981930613517761	0.14039992	No	
row_22	IRF1	NA	2241	0.38313835859298706	0.1391897	No	
row_23	SLC31A1	NA	2486	0.35760700702667236	0.131301	No	
row_24	CCL20	NA	2558	0.3511306047439575	0.13441455	No	
row_25	KCNJ2	NA	2568	0.35029998421669006	0.14150372	No	
row_26	GPR132	NA	2787	0.3302531838417053	0.134691	No	
row_27	ITGB8	NA	2837	0.3260241150856018	0.13867207	No	
row_28	IL15RA	NA	2928	0.31920570135116577	0.13986279	No	
row_29	SEMA4D	NA	2968	0.3162992596626282	0.14427511	No	
row_30	LCK	NA	3202	0.29659318923950195	0.13575925	No	
row_31	PROK2	NA	3270	0.29181599617004395	0.13783191	No	
row_32	IL7R	NA	3391	0.2816667854785919	0.13626832	No	
row_33	RAF1	NA	3570	0.26747840642929077	0.13065797	No	
