NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL15	NA	194	0.7773243188858032	0.038313687	Yes	
row_1	CD74	NA	1126	0.5245726704597473	0.012905255	Yes	
row_2	PROCR	NA	1196	0.513149619102478	0.04198275	Yes	
row_3	OGFR	NA	1889	0.4225098192691803	0.025225261	Yes	
row_4	IRF7	NA	1907	0.42076003551483154	0.051603373	Yes	
row_5	IFIH1	NA	1994	0.4094277322292328	0.07282061	Yes	
row_6	TMEM140	NA	2100	0.3972502052783966	0.092025496	Yes	
row_7	RSAD2	NA	2125	0.3950866460800171	0.11627912	Yes	
row_8	LAP3	NA	2134	0.3944154679775238	0.14151411	Yes	
row_9	DHX58	NA	2142	0.3930393159389496	0.16672334	Yes	
row_10	IRF1	NA	2241	0.38313835859298706	0.18545552	Yes	
row_11	USP18	NA	2467	0.35977181792259216	0.19452493	Yes	
row_12	CMPK2	NA	2543	0.35225892066955566	0.21271499	Yes	
row_13	MVB12A	NA	2549	0.3518032431602478	0.23536046	Yes	
row_14	GMPR	NA	2864	0.323942631483078	0.23638837	Yes	
row_15	IL7	NA	2967	0.31635087728500366	0.25050434	Yes	
row_16	EPSTI1	NA	2978	0.3155403137207031	0.2704622	Yes	
row_17	IFI30	NA	3005	0.31335705518722534	0.2892523	Yes	
row_18	CNP	NA	3598	0.265073299407959	0.2686247	No	
row_19	TRIM14	NA	3657	0.260855108499527	0.28193712	No	
row_20	STAT2	NA	4000	0.23681947588920593	0.27548355	No	
row_21	NMI	NA	4225	0.22073853015899658	0.27554092	No	
row_22	EIF2AK2	NA	4481	0.2045750916004181	0.2725568	No	
row_23	UBE2L6	NA	5070	0.16539788246154785	0.24567865	No	
row_24	LPAR6	NA	5071	0.16529563069343567	0.2564692	No	
row_25	PARP9	NA	5331	0.148663729429245	0.24957891	No	
row_26	IFI35	NA	5484	0.1389191448688507	0.24890837	No	
row_27	MOV10	NA	5898	0.11004205793142319	0.22962947	No	
row_28	HELZ2	NA	6317	0.08289644122123718	0.20825814	No	
row_29	SLC25A28	NA	6645	0.059845905750989914	0.19121276	No	
row_30	NUB1	NA	7089	0.028578804805874825	0.16469368	No	
row_31	ADAR	NA	7150	0.024537425488233566	0.16245107	No	
row_32	PSMA3	NA	7480	0.0028596457559615374	0.14155747	No	
row_33	ELF1	NA	8348	-0.05923772603273392	0.08987253	No	
row_34	WARS1	NA	8436	-0.06631631404161453	0.08862726	No	
row_35	IRF2	NA	9303	-0.13177046179771423	0.04174136	No	
row_36	PARP12	NA	9412	-0.14025571942329407	0.04397733	No	
row_37	PNPT1	NA	9425	-0.14124795794487	0.052429162	No	
row_38	IL4R	NA	9524	-0.14882872998714447	0.05586552	No	
row_39	CD47	NA	10040	-0.18848340213298798	0.03517177	No	
row_40	TRAFD1	NA	10361	-0.21287120878696442	0.028564455	No	
row_41	CMTR1	NA	11809	-0.32653579115867615	-0.042833984	No	
row_42	TDRD7	NA	12217	-0.35893866419792175	-0.04548038	No	
row_43	CSF1	NA	12418	-0.37711793184280396	-0.03367675	No	
row_44	C1S	NA	13901	-0.5032708644866943	-0.09578045	No	
row_45	TENT5A	NA	14420	-0.555617094039917	-0.0926998	No	
row_46	LAMP3	NA	14635	-0.587521493434906	-0.068057984	No	
row_47	UBA7	NA	14688	-0.594851553440094	-0.032557704	No	
row_48	NCOA7	NA	15204	-0.7014670968055725	-0.019763697	No	
row_49	RIPK2	NA	15323	-0.7454153895378113	0.02133657	No	
