NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL15	NA	194	0.7773243188858032	0.009635435	No	
row_1	PFKP	NA	440	0.6650304198265076	0.012792954	No	
row_2	FGL2	NA	485	0.6524869799613953	0.028529543	No	
row_3	TNFAIP3	NA	745	0.5941944122314453	0.028770206	No	
row_4	FAS	NA	1007	0.5456032752990723	0.027499357	No	
row_5	UPP1	NA	1015	0.5444455146789551	0.04254258	No	
row_6	CD74	NA	1126	0.5245726704597473	0.050391354	No	
row_7	HIF1A	NA	1587	0.45886680483818054	0.033844862	No	
row_8	RIPK1	NA	1593	0.45846810936927795	0.046570074	No	
row_9	OGFR	NA	1889	0.4225098192691803	0.03960807	No	
row_10	IRF7	NA	1907	0.42076003551483154	0.050487887	No	
row_11	VAMP8	NA	1988	0.4100719690322876	0.057008974	No	
row_12	IFIH1	NA	1994	0.4094277322292328	0.0683386	No	
row_13	RSAD2	NA	2125	0.3950866460800171	0.071215324	No	
row_14	LAP3	NA	2134	0.3944154679775238	0.08192466	No	
row_15	DHX58	NA	2142	0.3930393159389496	0.09265919	No	
row_16	IRF1	NA	2241	0.38313835859298706	0.09725536	No	
row_17	PML	NA	2252	0.38211074471473694	0.10748581	No	
row_18	DDX58	NA	2295	0.3775162994861603	0.11552605	No	
row_19	USP18	NA	2467	0.35977181792259216	0.114759095	No	
row_20	PSMB2	NA	2493	0.3572171926498413	0.12331575	No	
row_21	CMPK2	NA	2543	0.35225892066955566	0.13018672	No	
row_22	IL15RA	NA	2928	0.31920570135116577	0.114557005	No	
row_23	VAMP5	NA	2946	0.318092942237854	0.12251515	No	
row_24	IL7	NA	2967	0.31635087728500366	0.13023064	No	
row_25	EPSTI1	NA	2978	0.3155403137207031	0.13856664	No	
row_26	IFI30	NA	3005	0.31335705518722534	0.14581078	No	
row_27	TRIM14	NA	3657	0.260855108499527	0.111336865	No	
row_28	TNFAIP6	NA	3712	0.2573961019515991	0.115186445	No	
row_29	STAT2	NA	4000	0.23681947588920593	0.10345496	No	
row_30	PTPN2	NA	4151	0.2261294424533844	0.10023636	No	
row_31	NMI	NA	4225	0.22073853015899658	0.10181994	No	
row_32	EIF2AK2	NA	4481	0.2045750916004181	0.091230325	No	
row_33	CD38	NA	4945	0.17298921942710876	0.0663553	No	
row_34	PDE4B	NA	5012	0.16924996674060822	0.06692414	No	
row_35	STAT4	NA	5028	0.16820475459098816	0.070745505	No	
row_36	SSPN	NA	5063	0.16576877236366272	0.07327474	No	
row_37	UBE2L6	NA	5070	0.16539788246154785	0.07759545	No	
row_38	IL2RB	NA	5395	0.14491881430149078	0.060867418	No	
row_39	IFI35	NA	5484	0.1389191448688507	0.05915722	No	
row_40	SOD2	NA	5595	0.1318080872297287	0.055828772	No	
row_41	TNFSF10	NA	5608	0.13082215189933777	0.058779385	No	
row_42	CASP7	NA	5738	0.12147030979394913	0.053933937	No	
row_43	CMKLR1	NA	5748	0.12101633101701736	0.056798574	No	
row_44	SPPL2A	NA	6069	0.09923096746206284	0.0390278	No	
row_45	ARID5B	NA	6237	0.08821910619735718	0.030790478	No	
row_46	HELZ2	NA	6317	0.08289644122123718	0.02806522	No	
row_47	SRI	NA	6443	0.07501249015331268	0.022155117	No	
row_48	STAT1	NA	6473	0.07285851985216141	0.02236212	No	
row_49	EIF4E3	NA	6544	0.0674518495798111	0.019776568	No	
row_50	SLC25A28	NA	6645	0.059845905750989914	0.015043817	No	
row_51	ADAR	NA	7150	0.024537425488233566	-0.016694508	No	
row_52	IL10RA	NA	7301	0.014315909706056118	-0.025940862	No	
row_53	ST3GAL5	NA	7342	0.011776476167142391	-0.02818006	No	
row_54	PSMA3	NA	7480	0.0028596457559615374	-0.036915775	No	
row_55	SAMHD1	NA	7493	0.0024833588395267725	-0.037617404	No	
row_56	GZMA	NA	7533	0.0	-0.04012738	No	
row_57	RNF213	NA	7802	-0.017576294019818306	-0.056875236	No	
row_58	CD40	NA	7915	-0.02616019919514656	-0.063338906	No	
row_59	P2RY14	NA	8388	-0.06242911517620087	-0.09193945	No	
row_60	IRF8	NA	8419	-0.06501331180334091	-0.092020065	No	
row_61	WARS1	NA	8436	-0.06631631404161453	-0.091162585	No	
row_62	SOCS1	NA	8634	-0.08119726181030273	-0.10153048	No	
row_63	NUP93	NA	8738	-0.0882759541273117	-0.10564725	No	
row_64	CASP3	NA	8773	-0.09103018045425415	-0.10524491	No	
row_65	PSMA2	NA	8884	-0.09913476556539536	-0.10950317	No	
row_66	MARCHF1	NA	8898	-0.10003836452960968	-0.10749295	No	
row_67	BPGM	NA	9041	-0.11151925474405289	-0.113458246	No	
