NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GDNF	NA	79	0.9258852005004883	0.018647818	Yes	
row_1	HTR1D	NA	98	0.8951082825660706	0.040434077	Yes	
row_2	THNSL2	NA	231	0.7522711157798767	0.05121917	Yes	
row_3	CD40LG	NA	245	0.7445117831230164	0.06946696	Yes	
row_4	ARPP21	NA	306	0.712169349193573	0.08385968	Yes	
row_5	SLC6A14	NA	376	0.6852282881736755	0.096982345	Yes	
row_6	KLHDC8A	NA	377	0.6851101517677307	0.11454442	Yes	
row_7	GPR19	NA	542	0.6387182474136353	0.120358445	Yes	
row_8	SNCB	NA	686	0.6044554710388184	0.12664622	Yes	
row_9	SLC12A3	NA	726	0.5972784161567688	0.13944587	Yes	
row_10	GPR3	NA	769	0.5891242027282715	0.15184335	Yes	
row_11	KCNE2	NA	1097	0.5302552580833435	0.14438258	Yes	
row_12	CCNA1	NA	1161	0.5198208093643188	0.1536515	Yes	
row_13	PTPRJ	NA	1343	0.4908342957496643	0.15458016	Yes	
row_14	TENM2	NA	1379	0.48617246747016907	0.16478926	Yes	
row_15	FGF22	NA	1698	0.4443788230419159	0.15570658	Yes	
row_16	SKIL	NA	1706	0.44320639967918396	0.16661704	Yes	
row_17	SOX10	NA	2064	0.40147197246551514	0.15392354	Yes	
row_18	RSAD2	NA	2125	0.3950866460800171	0.16018817	Yes	
row_19	MAST3	NA	2126	0.39508429169654846	0.17031574	Yes	
row_20	ABCG4	NA	2265	0.3803722858428955	0.1711813	Yes	
row_21	FGGY	NA	2459	0.3605556786060333	0.1679978	Yes	
row_22	KCNMB1	NA	2483	0.3579306900501251	0.17569217	Yes	
row_23	GTF3C5	NA	2583	0.3487910330295563	0.17825912	Yes	
row_24	MYO15A	NA	2585	0.3486535847187042	0.1871321	Yes	
row_25	IFNG	NA	2625	0.3453039526939392	0.19347267	Yes	
row_26	PKP1	NA	2692	0.3393539786338806	0.19792235	Yes	
row_27	MTHFR	NA	2694	0.3392709493637085	0.20655482	Yes	
row_28	CNTFR	NA	2857	0.32439902424812317	0.20444037	Yes	
row_29	ACTC1	NA	2898	0.3209761083126068	0.21009292	Yes	
row_30	ITGB1BP2	NA	2988	0.3149627149105072	0.21243656	Yes	
row_31	ARHGDIG	NA	3041	0.3103575110435486	0.21704431	Yes	
row_32	PDE6B	NA	3065	0.3077910244464874	0.2234534	Yes	
row_33	MYOT	NA	3108	0.3045470118522644	0.22855605	Yes	
