NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WASF1	NA	336	0.6976159811019897	-0.0065415353	No	
row_1	ABR	NA	471	0.6566504836082458	-9.26713E-4	No	
row_2	ARHGAP10	NA	537	0.6396306157112122	0.008774756	No	
row_3	NET1	NA	721	0.5978676080703735	0.009947425	No	
row_4	DLG1	NA	818	0.5807424187660217	0.016367016	No	
row_5	MID1IP1	NA	850	0.5732124447822571	0.02682113	No	
row_6	CDC42EP4	NA	936	0.5575677752494812	0.03344758	No	
row_7	TUBGCP2	NA	994	0.5477120876312256	0.04166829	No	
row_8	ARHGAP27	NA	1178	0.5162538886070251	0.041067433	No	
row_9	CD2AP	NA	1294	0.4974125921726227	0.044449057	No	
row_10	ARL8A	NA	1365	0.48863768577575684	0.050546408	No	
row_11	SEPTIN9	NA	1385	0.4854090213775635	0.059867535	No	
row_12	TBCD	NA	1519	0.46853458881378174	0.061459053	No	
row_13	DYNLL2	NA	2001	0.40855199098587036	0.039270844	No	
row_14	RASA1	NA	2021	0.40696579217910767	0.046887342	No	
row_15	PALLD	NA	2075	0.4002775251865387	0.052162547	No	
row_16	ABL1	NA	2080	0.39968758821487427	0.06058969	No	
row_17	PRC1	NA	2301	0.37698256969451904	0.054572653	No	
row_18	NEDD9	NA	2373	0.3693465292453766	0.058013137	No	
row_19	KIF23	NA	2520	0.3545800745487213	0.056288715	No	
row_20	ARF6	NA	2575	0.3496541380882263	0.06039925	No	
row_21	BUB1	NA	2748	0.33383405208587646	0.05654474	No	
row_22	ARHGDIA	NA	3057	0.3085920810699463	0.043357875	No	
row_23	CTTN	NA	3061	0.3083389401435852	0.049864538	No	
row_24	ECT2	NA	3153	0.3003966212272644	0.05051495	No	
row_25	SORBS2	NA	3383	0.28214186429977417	0.041855678	No	
row_26	EZR	NA	3560	0.2682186961174011	0.036316954	No	
row_27	PLK1	NA	3588	0.26549699902534485	0.04034254	No	
row_28	STAU1	NA	3603	0.2648247480392456	0.04519315	No	
row_29	KIF20B	NA	3617	0.26396444439888	0.050089654	No	
row_30	INCENP	NA	3702	0.2580765187740326	0.05027253	No	
row_31	MYO9B	NA	3949	0.23982809484004974	0.03959577	No	
row_32	PDLIM5	NA	4006	0.23622791469097137	0.0411123	No	
row_33	PCGF5	NA	4007	0.23621004819869995	0.04624531	No	
row_34	TTK	NA	4050	0.2328227311372757	0.048592057	No	
row_35	AURKA	NA	4058	0.23225553333759308	0.053187024	No	
row_36	MYH9	NA	4161	0.22555996477603912	0.05150073	No	
row_37	PIF1	NA	4181	0.22383920848369598	0.05513776	No	
row_38	BCR	NA	4215	0.2217509150505066	0.057825197	No	
row_39	YWHAE	NA	4388	0.20977197587490082	0.051274728	No	
row_40	RACGAP1	NA	4422	0.20807696878910065	0.05366502	No	
row_41	CENPF	NA	4435	0.2072255164384842	0.05739313	No	
row_42	VCL	NA	4669	0.1918378621339798	0.04651314	No	
row_43	KIF15	NA	4675	0.19146381318569183	0.05035085	No	
row_44	MYO1E	NA	4684	0.19099697470664978	0.05398465	No	
row_45	TOP2A	NA	4753	0.18628089129924774	0.05364075	No	
row_46	ARHGEF12	NA	4795	0.1837473213672638	0.054985642	No	
row_47	CDC42	NA	4904	0.17599540948867798	0.051834755	No	
row_48	KIF1B	NA	4970	0.17138680815696716	0.051360957	No	
row_49	PXN	NA	5099	0.162851944565773	0.046632715	No	
row_50	NCK2	NA	5148	0.16005244851112366	0.04701059	No	
row_51	CDK1	NA	5150	0.1598876565694809	0.050420474	No	
row_52	KIF2C	NA	5202	0.1570923924446106	0.05054027	No	
row_53	TPX2	NA	5214	0.1565486639738083	0.053231724	No	
row_54	NUSAP1	NA	5448	0.1412343829870224	0.04125208	No	
row_55	CCNB2	NA	5469	0.13986043632030487	0.042999607	No	
row_56	FSCN1	NA	5555	0.13456779718399048	0.04043397	No	
row_57	BIRC5	NA	5573	0.13346074521541595	0.042236187	No	
row_58	CLASP1	NA	5670	0.12604787945747375	0.038774945	No	
row_59	LLGL1	NA	5729	0.12196093797683716	0.0376792	No	
row_60	LRPPRC	NA	5732	0.12185531854629517	0.040198028	No	
row_61	CDC42BPA	NA	5764	0.12023406475782394	0.040808603	No	
row_62	KIF4A	NA	5792	0.11764921993017197	0.041621353	No	
row_63	NEK2	NA	5936	0.10748790204524994	0.034721203	No	
row_64	NDC80	NA	6184	0.09197620302438736	0.020766933	No	
row_65	FBXO5	NA	6190	0.0915827602148056	0.022434155	No	
row_66	FGD6	NA	6215	0.08984419703483582	0.022836445	No	
row_67	KIF11	NA	6267	0.08640867471694946	0.021420231	No	
row_68	BRCA2	NA	6353	0.08040153235197067	0.017677521	No	
row_69	HOOK3	NA	6400	0.0774652436375618	0.016389893	No	
row_70	CENPE	NA	6426	0.07609257847070694	0.016428765	No	
row_71	ESPL1	NA	6497	0.07063967734575272	0.013442728	No	
row_72	CEP250	NA	6512	0.06935259699821472	0.014045591	No	
row_73	CSNK1D	NA	6593	0.06356699019670486	0.010259989	No	
row_74	RASAL2	NA	6630	0.06076733395457268	0.009255375	No	
row_75	ANLN	NA	6642	0.060262281447649	0.009854459	No	
row_76	SMC4	NA	6834	0.04691798612475395	-0.0014620902	No	
row_77	ITSN1	NA	6945	0.039181340485811234	-0.0077152182	No	
row_78	CLIP1	NA	7184	0.022328274324536324	-0.022601707	No	
row_79	WASF2	NA	7309	0.01382279209792614	-0.030310111	No	
row_80	ARHGEF3	NA	7326	0.012938611209392548	-0.031062339	No	
row_81	BCAR1	NA	7340	0.01211611833423376	-0.03163868	No	
row_82	FGD4	NA	7611	-0.001259164302609861	-0.049049795	No	
row_83	DOCK2	NA	7705	-0.009223788976669312	-0.054855943	No	
row_84	DLGAP5	NA	7738	-0.013047156855463982	-0.056639202	No	
row_85	MAPRE1	NA	7772	-0.015242529101669788	-0.05843934	No	
row_86	ARFGEF1	NA	7779	-0.0158710777759552	-0.058481973	No	
row_87	FARP1	NA	7850	-0.02105790190398693	-0.062545456	No	
row_88	ARHGEF11	NA	8054	-0.037608105689287186	-0.07483936	No	
row_89	ARHGAP5	NA	8123	-0.04237441346049309	-0.07831045	No	
row_90	SMC3	NA	8126	-0.0425863079726696	-0.077514194	No	
row_91	RANBP9	NA	8156	-0.044674430042505264	-0.07841641	No	
row_92	PPP4R2	NA	8211	-0.049462683498859406	-0.08082925	No	
row_93	DST	NA	8264	-0.053574372082948685	-0.08302356	No	
row_94	PCNT	NA	8454	-0.06739095598459244	-0.09376604	No	
row_95	TUBGCP6	NA	8533	-0.0737595483660698	-0.09720098	No	
row_96	OPHN1	NA	8630	-0.08098706603050232	-0.101641424	No	
row_97	MAP1S	NA	8704	-0.08551820367574692	-0.1044979	No	
row_98	GEMIN4	NA	8815	-0.09457311779260635	-0.109547324	No	
row_99	GSN	NA	8853	-0.0973413735628128	-0.10982175	No	
row_100	ABI1	NA	8866	-0.09812352806329727	-0.1084645	No	
row_101	SUN2	NA	8936	-0.10328219830989838	-0.1106766	No	
row_102	STK38L	NA	8937	-0.10328677296638489	-0.108432114	No	
row_103	RABGAP1	NA	9006	-0.10905719548463821	-0.110454135	No	
row_104	SPTBN1	NA	9007	-0.10909575968980789	-0.108083405	No	
row_105	KIF5B	NA	9009	-0.1094798743724823	-0.10576892	No	
row_106	TUBD1	NA	9070	-0.11411149054765701	-0.10716441	No	
row_107	CEP131	NA	9202	-0.12417611479759216	-0.11292687	No	
row_108	APC	NA	9205	-0.1243523508310318	-0.11035378	No	
row_109	PAFAH1B1	NA	9336	-0.13383956253528595	-0.115841664	No	
row_110	WASL	NA	9459	-0.14373821020126343	-0.120597735	No	
row_111	DOCK4	NA	9488	-0.14564189314842224	-0.119241275	No	
row_112	LATS1	NA	9815	-0.17184635996818542	-0.13656229	No	
row_113	SSH2	NA	9841	-0.1736251413822174	-0.13440396	No	
row_114	CAPZB	NA	9944	-0.18174338340759277	-0.13704242	No	
row_115	SPTAN1	NA	10117	-0.19327664375305176	-0.14395134	No	
row_116	RAB3GAP1	NA	10164	-0.19678199291229248	-0.14264613	No	
row_117	ALS2	NA	10172	-0.19754762947559357	-0.13880539	No	
row_118	DYNC1H1	NA	10208	-0.20083218812942505	-0.1367017	No	
row_119	FLNB	NA	10386	-0.21523766219615936	-0.14345634	No	
row_120	RAPGEF5	NA	10425	-0.21823139488697052	-0.14116833	No	
row_121	TUBGCP3	NA	10606	-0.23112967610359192	-0.14777136	No	
row_122	KIFAP3	NA	10932	-0.2566259503364563	-0.16318546	Yes	
row_123	CENPJ	NA	11003	-0.2624216675758362	-0.16200395	Yes	
row_124	BCL2L11	NA	11016	-0.2640957534313202	-0.15704	Yes	
row_125	NOTCH2	NA	11032	-0.26531097292900085	-0.15224342	Yes	
row_126	RAPGEF6	NA	11088	-0.2692987322807312	-0.14994365	Yes	
row_127	SOS1	NA	11120	-0.2717857360839844	-0.14603975	Yes	
row_128	CDC42EP1	NA	11133	-0.27323031425476074	-0.1408773	Yes	
row_129	PCM1	NA	11149	-0.2743680775165558	-0.1358839	Yes	
row_130	NF1	NA	11167	-0.2762715816497803	-0.1309783	Yes	
row_131	KNTC1	NA	11263	-0.2842080295085907	-0.13093802	Yes	
row_132	PKD2	NA	11348	-0.29190894961357117	-0.13001995	Yes	
row_133	ALMS1	NA	11385	-0.2942696511745453	-0.12595038	Yes	
row_134	KATNA1	NA	11424	-0.2972790002822876	-0.12194461	Yes	
row_135	RICTOR	NA	11444	-0.29887813329696655	-0.11667693	Yes	
row_136	KIF3C	NA	11515	-0.3048322796821594	-0.1145738	Yes	
row_137	TRIO	NA	11522	-0.3056691884994507	-0.10831892	Yes	
row_138	SHROOM2	NA	11530	-0.3060258626937866	-0.10212087	Yes	
row_139	TLK1	NA	11603	-0.3114504814147949	-0.10000309	Yes	
row_140	SYNPO	NA	11604	-0.3114951252937317	-0.093234085	Yes	
row_141	RHOF	NA	11722	-0.3211818337440491	-0.09381125	Yes	
row_142	AKAP13	NA	11830	-0.3281289339065552	-0.093591586	Yes	
row_143	ARHGEF7	NA	11893	-0.33219876885414124	-0.09037706	Yes	
row_144	CKAP5	NA	11926	-0.3349759876728058	-0.085164584	Yes	
row_145	MID1	NA	12016	-0.34241583943367004	-0.08347189	Yes	
row_146	ATG4B	NA	12018	-0.3425739109516144	-0.0760921	Yes	
row_147	MARCKS	NA	12148	-0.3534122705459595	-0.07674392	Yes	
