NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOP56	NA	151	0.8096451163291931	0.039285436	Yes	
row_1	PPRC1	NA	159	0.8008405566215515	0.08726099	Yes	
row_2	RRP12	NA	301	0.7130870819091797	0.12134837	Yes	
row_3	GNL3	NA	316	0.7077701687812805	0.16324799	Yes	
row_4	BYSL	NA	448	0.6625269055366516	0.19491863	Yes	
row_5	MRTO4	NA	540	0.6391350626945496	0.22773665	Yes	
row_6	NOP16	NA	590	0.6283037066459656	0.26258963	Yes	
row_7	PA2G4	NA	671	0.609283447265625	0.29430714	Yes	
row_8	MYBBP1A	NA	773	0.5878501534461975	0.32338372	Yes	
row_9	PES1	NA	791	0.5841841101646423	0.35761842	Yes	
row_10	NPM1	NA	826	0.5791913866996765	0.39046243	Yes	
row_11	MYC	NA	833	0.5777109861373901	0.4250102	Yes	
row_12	NOP2	NA	1124	0.5247692465782166	0.438168	Yes	
row_13	NOLC1	NA	1177	0.5166423916816711	0.46607712	Yes	
row_14	SUPV3L1	NA	1207	0.5108852982521057	0.49511114	Yes	
row_15	TCOF1	NA	1270	0.5015562772750854	0.5214676	Yes	
row_16	NDUFAF4	NA	1503	0.4709724485874176	0.5350871	Yes	
row_17	DDX18	NA	1504	0.47089269757270813	0.56356025	Yes	
row_18	RCL1	NA	1521	0.46797114610671997	0.590832	Yes	
row_19	RRP9	NA	1707	0.44319117069244385	0.6057818	Yes	
row_20	NIP7	NA	2006	0.40815332531929016	0.61137587	Yes	
row_21	NOC4L	NA	3176	0.29893946647644043	0.55458295	No	
row_22	LAS1L	NA	3300	0.28979983925819397	0.56422853	No	
row_23	PLK1	NA	3588	0.26549699902534485	0.5619012	No	
row_24	HSPD1	NA	3733	0.2554096281528473	0.5681224	No	
row_25	UNG	NA	3921	0.24139061570167542	0.57074195	No	
row_26	WDR43	NA	4208	0.2219916433095932	0.56584805	No	
row_27	MCM5	NA	4223	0.22080300748348236	0.57830256	No	
row_28	PHB	NA	4617	0.19508950412273407	0.5649292	No	
row_29	MPHOSPH10	NA	4789	0.1842043697834015	0.56511563	No	
row_30	MCM4	NA	4948	0.17286470532417297	0.565449	No	
row_31	RABEPK	NA	5737	0.12159238755702972	0.52233374	No	
row_32	TMEM97	NA	5828	0.11537590622901917	0.523546	No	
row_33	AIMP2	NA	5955	0.10612057894468307	0.521893	No	
row_34	PLK4	NA	6065	0.0992940217256546	0.52091604	No	
row_35	PRMT3	NA	6154	0.09384174644947052	0.5209544	No	
row_36	TFB2M	NA	6521	0.06850548833608627	0.5016561	No	
row_37	SLC19A1	NA	7842	-0.02014578878879547	0.41833475	No	
row_38	PUS1	NA	8250	-0.052248209714889526	0.39542767	No	
row_39	UTP20	NA	10647	-0.2337867021560669	0.25611186	No	
row_40	CBX3	NA	10890	-0.25307172536849976	0.25591525	No	
row_41	SRM	NA	11393	-0.2948562204837799	0.24159348	No	
row_42	SORD	NA	14085	-0.5187476873397827	0.100614905	No	
