NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDGFA	NA	11	1.2190943956375122	0.022322575	Yes	
row_1	HINT1	NA	33	1.028965711593628	0.040407952	Yes	
row_2	MAPKAPK3	NA	100	0.8881226181983948	0.05292936	Yes	
row_3	GADD45A	NA	141	0.8260771632194519	0.06595586	Yes	
row_4	ADA	NA	322	0.7054803967475891	0.06767227	Yes	
row_5	RRP8	NA	407	0.6740977764129639	0.07498891	Yes	
row_6	TCN2	NA	643	0.6165149211883545	0.07147634	Yes	
row_7	PIDD1	NA	677	0.6074101328849792	0.080823176	Yes	
row_8	NOL8	NA	792	0.5841773748397827	0.08450561	Yes	
row_9	ST14	NA	895	0.5665888786315918	0.08862989	Yes	
row_10	FAS	NA	1007	0.5456032752990723	0.09177708	Yes	
row_11	UPP1	NA	1015	0.5444455146789551	0.10161164	Yes	
row_12	EPS8L2	NA	1040	0.5388124585151672	0.11024307	Yes	
row_13	TRAF4	NA	1053	0.5367463827133179	0.11960961	Yes	
row_14	RGS16	NA	1059	0.5358527898788452	0.12941086	Yes	
row_15	PROCR	NA	1196	0.513149619102478	0.13033211	Yes	
row_16	SERPINB5	NA	1230	0.5078473687171936	0.1377979	Yes	
row_17	PERP	NA	1254	0.5041260123252869	0.14583853	Yes	
row_18	RPL36	NA	1256	0.5040140748023987	0.1552963	Yes	
row_19	SFN	NA	1291	0.4979963004589081	0.16251148	Yes	
row_20	STOM	NA	1300	0.4964253604412079	0.17137429	Yes	
row_21	VDR	NA	1414	0.4814249873161316	0.17317994	Yes	
row_22	TM4SF1	NA	1428	0.4798055589199066	0.1814062	Yes	
row_23	ITGB4	NA	1463	0.47568437457084656	0.18819983	Yes	
row_24	EPHA2	NA	1621	0.4538660943508148	0.1866463	Yes	
row_25	HDAC3	NA	1670	0.44799479842185974	0.19201364	Yes	
row_26	TPRKB	NA	1765	0.43630847334861755	0.19419263	Yes	
row_27	WRAP73	NA	1832	0.4293391704559326	0.1980463	Yes	
row_28	JUN	NA	1843	0.4280398190021515	0.20548809	Yes	
row_29	VAMP8	NA	1988	0.4100719690322876	0.2039458	Yes	
row_30	CD82	NA	2062	0.40182968974113464	0.20682815	Yes	
row_31	FGF13	NA	2324	0.37404194474220276	0.19705726	Yes	
row_32	TGFA	NA	2364	0.36992397904396057	0.20153022	Yes	
row_33	FAM162A	NA	2374	0.3692949116230011	0.20792666	Yes	
row_34	RXRA	NA	2414	0.3643379807472229	0.21229409	Yes	
row_35	RAP2B	NA	2529	0.35394009947776794	0.21162668	No	
row_36	BAK1	NA	2658	0.34257546067237854	0.20984139	No	
row_37	AK1	NA	2947	0.3180210292339325	0.19727027	No	
row_38	IFI30	NA	3005	0.31335705518722534	0.1995133	No	
row_39	NINJ1	NA	3185	0.2977876663208008	0.19359173	No	
row_40	TAX1BP3	NA	3200	0.2967498004436493	0.19829503	No	
row_41	KLF4	NA	3364	0.2837323546409607	0.19314009	No	
row_42	ELP1	NA	3439	0.2778840661048889	0.19361624	No	
row_43	PLK3	NA	3662	0.26003313064575195	0.18420736	No	
row_44	ATF3	NA	3851	0.24734710156917572	0.17675221	No	
row_45	EPHX1	NA	3899	0.24328795075416565	0.17831656	No	
row_46	ZMAT3	NA	4127	0.22764639556407928	0.16797324	No	
row_47	CDH13	NA	4712	0.18913184106349945	0.1338715	No	
row_48	SAT1	NA	4937	0.17361515760421753	0.12270091	No	
row_49	SP1	NA	5252	0.15465211868286133	0.10536598	No	
row_50	ZBTB16	NA	5346	0.1478855013847351	0.10216034	No	
row_51	PPM1D	NA	5368	0.14658740162849426	0.10357505	No	
row_52	FDXR	NA	5486	0.13865652680397034	0.098646775	No	
row_53	PLXNB2	NA	5651	0.1275804042816162	0.090477176	No	
row_54	APAF1	NA	5711	0.1230788603425026	0.08899628	No	
row_55	MKNK2	NA	5735	0.12164916843175888	0.08981081	No	
row_56	WWP1	NA	5840	0.11444512009620667	0.08526377	No	
row_57	IER5	NA	5911	0.10905607789754868	0.08280831	No	
row_58	LIF	NA	6470	0.0729997381567955	0.048189808	No	
row_59	IP6K2	NA	6571	0.0650121346116066	0.04296688	No	
row_60	MDM2	NA	6623	0.0613594613969326	0.040836025	No	
row_61	COQ8A	NA	6629	0.06091456487774849	0.041664317	No	
row_62	SLC35D1	NA	6668	0.058097727596759796	0.0403105	No	
row_63	SLC19A2	NA	6803	0.04959794878959656	0.032602943	No	
row_64	ZNF365	NA	7419	0.006451733410358429	-0.006950025	No	
row_65	AEN	NA	7488	0.0026587308384478092	-0.011286608	No	
row_66	EI24	NA	7656	-0.004103688057512045	-0.021982575	No	
row_67	BLCAP	NA	7702	-0.00858207605779171	-0.024723474	No	
row_68	RPS12	NA	7785	-0.01622764766216278	-0.029706867	No	
row_69	RRAD	NA	7960	-0.029922576621174812	-0.040366627	No	
row_70	FUCA1	NA	8210	-0.049434930086135864	-0.055496138	No	
row_71	RPS27L	NA	8314	-0.05713430419564247	-0.06106144	No	
row_72	FOXO3	NA	8432	-0.06602008640766144	-0.067362025	No	
row_73	LDHB	NA	8472	-0.0691547766327858	-0.06857146	No	
row_74	OSGIN1	NA	8524	-0.07316576689481735	-0.07047926	No	
row_75	CCP110	NA	8583	-0.07795686274766922	-0.072748125	No	
row_76	ISCU	NA	8601	-0.07909680157899857	-0.07235046	No	
row_77	SOCS1	NA	8634	-0.08119726181030273	-0.07288079	No	
row_78	RAD51C	NA	8646	-0.08195086568593979	-0.07204214	No	
row_79	SPHK1	NA	8797	-0.09306956827640533	-0.07996058	No	
row_80	PTPN14	NA	8824	-0.09522722661495209	-0.079838775	No	
row_81	APP	NA	8857	-0.0977773442864418	-0.08005586	No	
row_82	TPD52L1	NA	9020	-0.10986544191837311	-0.08843112	No	
row_83	DCXR	NA	9142	-0.11994273960590363	-0.09397101	No	
row_84	ACVR1B	NA	9162	-0.12173011898994446	-0.0928969	No	
row_85	PRKAB1	NA	9506	-0.14754946529865265	-0.11223687	No	
row_86	TOB1	NA	9550	-0.15109354257583618	-0.112156294	No	
row_87	RALGDS	NA	9583	-0.15351153910160065	-0.1113204	No	
row_88	TSC22D1	NA	9801	-0.1704615354537964	-0.12209899	No	
row_89	RHBDF2	NA	9829	-0.17295444011688232	-0.1205732	No	
row_90	TNNI1	NA	9985	-0.1849772036075592	-0.1270778	No	
row_91	HBEGF	NA	10026	-0.18754173815250397	-0.12611508	No	
row_92	CYFIP2	NA	10116	-0.19313527643680573	-0.12820776	No	
row_93	PCNA	NA	10127	-0.1938103586435318	-0.12519124	No	
row_94	RNF19B	NA	10132	-0.19417734444141388	-0.12178072	No	
row_95	PLK2	NA	10155	-0.19583867490291595	-0.119500026	No	
row_96	SESN1	NA	10211	-0.20098863542079926	-0.11925093	No	
row_97	DEF6	NA	10315	-0.20908857882022858	-0.12194538	No	
row_98	TRAFD1	NA	10361	-0.21287120878696442	-0.12082667	No	
row_99	ANKRA2	NA	10372	-0.2135079950094223	-0.117438	No	
row_100	HSPA4L	NA	10461	-0.22107431292533875	-0.11893833	No	
row_101	DNTTIP2	NA	10494	-0.22284924983978271	-0.11679245	No	
row_102	MXD1	NA	10522	-0.22432279586791992	-0.11429616	No	
row_103	F2R	NA	10727	-0.23936279118061066	-0.12293435	No	
row_104	BTG1	NA	10777	-0.24420812726020813	-0.12148164	No	
row_105	CCNK	NA	10880	-0.25224751234054565	-0.12329618	No	
row_106	PHLDA3	NA	10916	-0.2548554539680481	-0.12073915	No	
row_107	SLC7A11	NA	10981	-0.26027148962020874	-0.11995063	No	
row_108	RCHY1	NA	11034	-0.2654817998409271	-0.11828954	No	
row_109	CDKN1A	NA	11092	-0.26946693658828735	-0.11687571	No	
row_110	BTG2	NA	11139	-0.2734939754009247	-0.11467617	No	
row_111	KIF13B	NA	11257	-0.2838437855243683	-0.11686145	No	
row_112	NUDT15	NA	11264	-0.2842758297920227	-0.111877725	No	
row_113	CDKN2AIP	NA	11300	-0.28705403208732605	-0.10871237	No	
row_114	PTPRE	NA	11382	-0.2939412593841553	-0.10838444	No	
row_115	ZFP36L1	NA	11669	-0.3163929879665375	-0.12085728	No	
row_116	DDIT4	NA	11741	-0.3221912384033203	-0.119350515	No	
row_117	MXD4	NA	11780	-0.32494640350341797	-0.11566279	No	
row_118	XPC	NA	11781	-0.3250175416469574	-0.109522276	No	
row_119	FOS	NA	11808	-0.32652607560157776	-0.10503057	No	
row_120	CEBPA	NA	11839	-0.3285849690437317	-0.10075801	No	
row_121	JAG2	NA	11846	-0.329051673412323	-0.09492835	No	
row_122	CD81	NA	11883	-0.33153966069221497	-0.090987034	No	
row_123	BAIAP2	NA	11891	-0.3319684863090515	-0.08516678	No	
row_124	SDC1	NA	11987	-0.3398304283618927	-0.08487504	No	
row_125	DDIT3	NA	12002	-0.3412955105304718	-0.079330154	No	
row_126	NHLH2	NA	12046	-0.34512731432914734	-0.07558372	No	
row_127	CGRRF1	NA	12063	-0.3464791178703308	-0.07006992	No	
row_128	SEC61A1	NA	12079	-0.34788891673088074	-0.06446497	No	
row_129	NOTCH1	NA	12103	-0.3497811555862427	-0.059340373	No	
