NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DPP4	NA	607	0.6245996952056885	0.008254448	Yes	
row_1	CHGA	NA	684	0.6047229766845703	0.04900233	Yes	
row_2	NKX2-2	NA	846	0.5746670365333557	0.08204176	Yes	
row_3	NEUROG3	NA	984	0.5493975281715393	0.11471155	Yes	
row_4	SCGN	NA	988	0.5483538508415222	0.15588081	Yes	
row_5	MAFB	NA	1080	0.5325968861579895	0.19022812	Yes	
row_6	NEUROD1	NA	1135	0.5230594873428345	0.22622463	Yes	
row_7	PAX6	NA	1266	0.5019137859344482	0.25576094	Yes	
row_8	VDR	NA	1414	0.4814249873161316	0.28266352	Yes	
row_9	ELP4	NA	1761	0.43681102991104126	0.29346168	Yes	
row_10	ABCC8	NA	2509	0.35530519485473633	0.27244148	Yes	
row_11	SRP9	NA	2769	0.33186620473861694	0.28089327	Yes	
row_12	SPCS1	NA	2845	0.32564881443977356	0.30065513	Yes	
row_13	PAK3	NA	3981	0.2380569726228714	0.24595273	No	
row_14	PDX1	NA	4002	0.23651178181171417	0.26251203	No	
row_15	GCG	NA	4360	0.21095462143421173	0.2555701	No	
row_16	SRP14	NA	4496	0.2034677267074585	0.2622751	No	
row_17	INSM1	NA	5245	0.15504090487957	0.22608528	No	
row_18	ISL1	NA	5535	0.13560381531715393	0.21781288	No	
row_19	SEC11A	NA	5970	0.10513511300086975	0.19795991	No	
row_20	HNF1A	NA	6023	0.10144185274839401	0.20228264	No	
row_21	SLC2A2	NA	6961	0.03795316070318222	0.14516202	No	
row_22	DCX	NA	7388	0.008658060804009438	0.1185441	No	
row_23	STXBP1	NA	8091	-0.04034242406487465	0.07664756	No	
row_24	FOXO1	NA	10376	-0.21381685137748718	-0.05343806	No	
row_25	SST	NA	10617	-0.23189552128314972	-0.051310547	No	
row_26	G6PC2	NA	10894	-0.25330042839050293	-0.049873088	No	
row_27	AKT3	NA	11843	-0.3288855254650116	-0.085753396	No	
row_28	SRPRB	NA	11971	-0.33870255947113037	-0.06833577	No	
row_29	INS	NA	12430	-0.37769702076911926	-0.069166295	No	
row_30	SYT13	NA	13254	-0.4496496319770813	-0.087935545	No	
row_31	NKX6-1	NA	13295	-0.4539411664009094	-0.05625626	No	
row_32	LMO2	NA	13920	-0.5050766468048096	-0.05810549	No	
row_33	IAPP	NA	14818	-0.6166078448295593	-0.0690186	No	
row_34	PCSK2	NA	14955	-0.6378235220909119	-0.029614989	No	
row_35	FOXA2	NA	15602	-0.9867214560508728	0.0034569954	No	
