NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ELOVL5	NA	518	0.6436824202537537	-0.0057502	No	
row_1	CACNA1B	NA	631	0.618859052658081	0.013504579	No	
row_2	FADS1	NA	871	0.569891095161438	0.022513269	No	
row_3	ABCB9	NA	1086	0.5319204926490784	0.03150442	No	
row_4	YWHAH	NA	1269	0.5017000436782837	0.04125862	No	
row_5	ALDH1A1	NA	1631	0.45262640714645386	0.03742375	No	
row_6	SULT2B1	NA	1638	0.45164868235588074	0.056338567	No	
row_7	GSTK1	NA	1671	0.4478718638420105	0.07342276	No	
row_8	FDPS	NA	1689	0.4458792209625244	0.09138482	No	
row_9	ABCB1	NA	1757	0.43715396523475647	0.10576397	No	
row_10	DHCR24	NA	2081	0.3996424973011017	0.10210462	No	
row_11	CRABP1	NA	2256	0.3815600872039795	0.10723856	No	
row_12	CRAT	NA	2462	0.36013224720954895	0.109466605	No	
row_13	ABCC8	NA	2509	0.35530519485473633	0.12169638	No	
row_14	SMARCC1	NA	2839	0.32596105337142944	0.11450324	No	
row_15	IDI1	NA	3608	0.2645616829395294	0.07650197	No	
row_16	ERCC3	NA	3740	0.25484558939933777	0.07898176	No	
row_17	ABCD2	NA	3880	0.24556531012058258	0.08055136	No	
row_18	PEX6	NA	3893	0.24439114332199097	0.09022437	No	
row_19	CTBP1	NA	4378	0.21022219955921173	0.06813422	No	
row_20	SLC25A4	NA	4499	0.20340968668460846	0.06912224	No	
row_21	TOP2A	NA	4753	0.18628089129924774	0.060839534	No	
row_22	ACSL1	NA	4944	0.17304962873458862	0.056036107	No	
row_23	GNPAT	NA	5165	0.15920902788639069	0.048715197	No	
row_24	PEX5	NA	5184	0.1582605540752411	0.05432242	No	
row_25	DHRS3	NA	5233	0.1557510942220688	0.057896376	No	
row_26	FABP6	NA	5318	0.14942878484725952	0.058888912	No	
row_27	HSD11B2	NA	5444	0.1416650414466858	0.056917433	No	
row_28	SOD2	NA	5595	0.1318080872297287	0.05291971	No	
row_29	PEX13	NA	6222	0.08873378485441208	0.016521482	No	
row_30	ACAA1	NA	6326	0.08235438168048859	0.013427943	No	
row_31	HSD17B4	NA	6399	0.07752541452646255	0.012118294	No	
row_32	MSH2	NA	6540	0.06754236668348312	0.006016354	No	
row_33	SCP2	NA	6625	0.061249230057001114	0.0032407683	No	
row_34	ACOT8	NA	6638	0.06044365465641022	0.0050532543	No	
row_35	ACOX1	NA	6820	0.04816129803657532	-0.0045091393	No	
row_36	CNBP	NA	6886	0.04308244585990906	-0.0068412097	No	
row_37	DIO1	NA	7234	0.01839013770222664	-0.028333217	No	
row_38	BCL10	NA	7239	0.018165960907936096	-0.027813748	No	
