NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAP2K3	NA	157	0.8041490316390991	0.022710765	Yes	
row_1	PITX2	NA	375	0.6853114366531372	0.036723327	Yes	
row_2	RPS6KA1	NA	552	0.6362618803977966	0.051368207	Yes	
row_3	IL2RG	NA	979	0.5498929023742676	0.046439826	Yes	
row_4	FASLG	NA	1102	0.5290027260780334	0.06017806	Yes	
row_5	SFN	NA	1291	0.4979963004589081	0.068414375	Yes	
row_6	CAB39L	NA	1502	0.4709756672382355	0.07413635	Yes	
row_7	RIPK1	NA	1593	0.45846810936927795	0.08705294	Yes	
row_8	FGF22	NA	1698	0.4443788230419159	0.09849615	Yes	
row_9	PLCG1	NA	2058	0.40224945545196533	0.09184903	Yes	
row_10	MAPK1	NA	2183	0.3888002038002014	0.09974177	Yes	
row_11	UBE2N	NA	2340	0.3724265694618225	0.104912266	Yes	
row_12	YWHAB	NA	2461	0.3602542579174042	0.11189781	Yes	
row_13	FGF6	NA	2639	0.34426045417785645	0.11457145	Yes	
row_14	E2F1	NA	2923	0.31992751359939575	0.109447084	Yes	
row_15	ARHGDIA	NA	3057	0.3085920810699463	0.11349131	Yes	
row_16	LCK	NA	3202	0.29659318923950195	0.11634	Yes	
row_17	SLC2A1	NA	3440	0.2778714895248413	0.112454146	Yes	
row_18	PLCB1	NA	3536	0.2702428102493286	0.1173744	Yes	
row_19	RAF1	NA	3570	0.26747840642929077	0.12616266	Yes	
row_20	MAPK10	NA	3754	0.25361543893814087	0.12475482	Yes	
row_21	PRKAA2	NA	3783	0.25198373198509216	0.13323228	Yes	
row_22	STAT2	NA	4000	0.23681947588920593	0.12902077	Yes	
row_23	RAC1	NA	4108	0.22856980562210083	0.13147123	Yes	
row_24	RPS6KA3	NA	4193	0.2231045812368393	0.13517557	Yes	
row_25	GSK3B	NA	4328	0.21332518756389618	0.13527086	Yes	
row_26	MAPK8	NA	4575	0.1980256885290146	0.12755127	No	
row_27	FGF17	NA	4646	0.19398748874664307	0.13096718	No	
row_28	CLTC	NA	4881	0.17780748009681702	0.123193614	No	
row_29	RPTOR	NA	4972	0.17122161388397217	0.12439708	No	
row_30	CDK1	NA	5150	0.1598876565694809	0.11955249	No	
row_31	SMAD2	NA	5224	0.1560782790184021	0.12122995	No	
row_32	RIT1	NA	5347	0.14783312380313873	0.11942512	No	
row_33	ARPC3	NA	5355	0.14728999137878418	0.12498177	No	
row_34	NGF	NA	5418	0.14329810440540314	0.12684433	No	
row_35	ITPR2	NA	5515	0.13672859966754913	0.12625603	No	
row_36	MAPK9	NA	5578	0.13324914872646332	0.12770884	No	
row_37	MKNK2	NA	5735	0.12164916843175888	0.122653306	No	
row_38	ACTR3	NA	5749	0.12085676193237305	0.12674685	No	
row_39	MKNK1	NA	6033	0.10078663378953934	0.11268651	No	
row_40	ACTR2	NA	6430	0.07577747106552124	0.09035115	No	
row_41	DAPP1	NA	6619	0.06203707680106163	0.08081023	No	
row_42	CAB39	NA	6975	0.036231037229299545	0.059494693	No	
row_43	TBK1	NA	7279	0.015800880268216133	0.040684756	No	
row_44	MAP2K6	NA	7321	0.013315719552338123	0.03859531	No	
row_45	RALB	NA	7472	0.003192570758983493	0.029094677	No	
row_46	PLA2G12A	NA	7967	-0.030499719083309174	-0.0013791227	No	
row_47	UBE2D3	NA	8116	-0.041782449930906296	-0.009177756	No	
row_48	AP2M1	NA	8332	-0.058486562222242355	-0.020597005	No	
row_49	CAMK4	NA	8642	-0.08188427239656448	-0.037097473	No	
row_50	GRB2	NA	8732	-0.08783124387264252	-0.03923024	No	
row_51	MAP3K7	NA	8983	-0.10716871172189713	-0.050911553	No	
row_52	EIF4E	NA	9034	-0.1110406368970871	-0.04959389	No	
row_53	AKT1	NA	9442	-0.14251014590263367	-0.06991433	No	
row_54	MYD88	NA	9956	-0.1829351782798767	-0.09539213	No	
row_55	ARF1	NA	10009	-0.18627917766571045	-0.09113485	No	
row_56	TNFRSF1A	NA	10042	-0.18851883709430695	-0.08550214	No	
row_57	ADCY2	NA	10203	-0.2002321183681488	-0.08761009	No	
row_58	SLA	NA	10383	-0.21481558680534363	-0.09034327	No	
row_59	TRAF2	NA	10416	-0.21758529543876648	-0.0835253	No	
row_60	SQSTM1	NA	10484	-0.22228200733661652	-0.07876301	No	
row_61	HSP90B1	NA	10584	-0.2295656055212021	-0.075758286	No	
row_62	IRAK4	NA	10673	-0.23542721569538116	-0.07180828	No	
row_63	PTPN11	NA	10779	-0.24429474771022797	-0.068588175	No	
row_64	DUSP3	NA	10815	-0.24719934165477753	-0.060755245	No	
row_65	PRKAR2A	NA	10861	-0.25088226795196533	-0.053414192	No	
row_66	CDKN1A	NA	11092	-0.26946693658828735	-0.057193313	No	
row_67	PDK1	NA	11765	-0.3241317868232727	-0.087122165	No	
row_68	PRKCB	NA	11930	-0.33521518111228943	-0.08398269	No	
row_69	DDIT3	NA	12002	-0.3412955105304718	-0.07462417	No	
row_70	CXCR4	NA	13102	-0.43663010001182556	-0.12738137	No	
row_71	TSC2	NA	13128	-0.43871548771858215	-0.11109688	No	
row_72	PTEN	NA	13459	-0.46823281049728394	-0.11319141	No	
row_73	PIKFYVE	NA	13540	-0.4750067889690399	-0.09895836	No	
row_74	ACACA	NA	13856	-0.4999696910381317	-0.09879567	No	
row_75	ATF1	NA	14782	-0.6112805008888245	-0.13325934	No	
row_76	MAPKAP1	NA	14850	-0.6234108805656433	-0.112140104	No	
row_77	TIAM1	NA	14926	-0.634223222732544	-0.09109361	No	
row_78	EGFR	NA	15268	-0.7243670225143433	-0.08344994	No	
row_79	CDKN1B	NA	15500	-0.8472755551338196	-0.0637318	No	
row_80	VAV3	NA	15534	-0.8872982263565063	-0.029668951	No	
row_81	NOD1	NA	15552	-0.9181041121482849	0.006677359	No	
