NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP1A1	NA	19	1.102927565574646	0.038390364	No	
row_1	OCRL	NA	299	0.7136797904968262	0.046099164	No	
row_2	VAMP4	NA	386	0.6814640164375305	0.06504897	No	
row_3	STX12	NA	687	0.603906512260437	0.067466326	No	
row_4	GALC	NA	924	0.5593987107276917	0.07239648	No	
row_5	TOM1L1	NA	1224	0.5085506439208984	0.07145343	No	
row_6	GNAS	NA	1636	0.4518594443798065	0.06127965	No	
row_7	TSG101	NA	1839	0.4284592568874359	0.0636913	No	
row_8	SCAMP3	NA	2041	0.40480533242225647	0.06531768	No	
row_9	SNAP23	NA	2048	0.4038020372390747	0.07943453	No	
row_10	GLA	NA	2090	0.3982617259025574	0.09110405	No	
row_11	MAPK1	NA	2183	0.3888002038002014	0.09915761	No	
row_12	ICA1	NA	2247	0.3825399577617645	0.10884925	No	
row_13	STX16	NA	2494	0.3571714460849762	0.10587416	No	
row_14	SCRN1	NA	2581	0.3488824665546417	0.11287953	No	
row_15	CLTA	NA	2643	0.34400132298469543	0.12131556	No	
row_16	TMX1	NA	3166	0.2996315062046051	0.09854415	No	
row_17	AP2B1	NA	3263	0.29241862893104553	0.10287927	No	
row_18	RAB22A	NA	3311	0.2881633937358856	0.11020926	No	
row_19	BNIP3	NA	3782	0.25208792090415955	0.08907075	No	
row_20	RPS6KA3	NA	4193	0.2231045812368393	0.07074563	No	
row_21	ANP32E	NA	4316	0.21450838446617126	0.07061247	No	
row_22	DNM1L	NA	4357	0.21100470423698425	0.07562102	No	
row_23	SNX2	NA	4629	0.19462160766124725	0.0652021	No	
row_24	CLTC	NA	4881	0.17780748009681702	0.05546408	No	
row_25	KIF1B	NA	4970	0.17138680815696716	0.05596634	No	
row_26	SSPN	NA	5063	0.16576877236366272	0.056009874	No	
row_27	AP3B1	NA	5579	0.13311658799648285	0.027707862	No	
row_28	RAB14	NA	5814	0.11626040935516357	0.016851477	No	
row_29	ATP6V1H	NA	5989	0.1038811132311821	0.009404806	No	
row_30	GOLGA4	NA	6303	0.08384694904088974	-0.0076905238	No	
row_31	ARFIP1	NA	6832	0.047078825533390045	-0.039917625	No	
row_32	COPB2	NA	7031	0.03271403908729553	-0.051461935	No	
row_33	SCAMP1	NA	7040	0.032123588025569916	-0.050822146	No	
row_34	M6PR	NA	7275	0.016315246000885963	-0.065267995	No	
row_35	ATP6V1B1	NA	7291	0.01507419440895319	-0.06569019	No	
row_36	VAMP3	NA	7337	0.012201626785099506	-0.068142705	No	
row_37	ARFGEF1	NA	7779	-0.0158710777759552	-0.09590187	No	
row_38	COPE	NA	7985	-0.031814876943826675	-0.10792814	No	
row_39	CTSC	NA	8103	-0.040951069444417953	-0.11397331	No	
row_40	COPB1	NA	8135	-0.04304958134889603	-0.1144186	No	
row_41	SOD1	NA	8224	-0.05023794621229172	-0.11826733	No	
row_42	DST	NA	8264	-0.053574372082948685	-0.11884854	No	
row_43	AP2M1	NA	8332	-0.058486562222242355	-0.12105201	No	
row_44	AP3S1	NA	8371	-0.06085075065493584	-0.12130766	No	
row_45	STX7	NA	8731	-0.08778628706932068	-0.14121649	No	
row_46	VAMP7	NA	8788	-0.09218122810125351	-0.14150321	No	
row_47	VPS45	NA	9161	-0.12168868631124496	-0.16102955	No	
row_48	SEC31A	NA	9385	-0.1379898488521576	-0.1703989	No	
row_49	TPD52	NA	9410	-0.1402156949043274	-0.16690488	No	
row_50	DOP1A	NA	9439	-0.1423260122537613	-0.16359201	No	
row_51	LAMP2	NA	9658	-0.15926679968833923	-0.17187604	No	
row_52	RAB5A	NA	9781	-0.16871577501296997	-0.17365383	No	
row_53	ERGIC3	NA	9787	-0.1692350059747696	-0.16789705	No	
row_54	SH3GL2	NA	9993	-0.18558712303638458	-0.1744007	Yes	
row_55	ARF1	NA	10009	-0.18627917766571045	-0.16867419	Yes	
row_56	GOSR2	NA	10151	-0.1953926533460617	-0.17071441	Yes	
row_57	SGMS1	NA	10249	-0.203909769654274	-0.16962226	Yes	
row_58	GBF1	NA	10414	-0.21745611727237701	-0.17234758	Yes	
row_59	PPT1	NA	10540	-0.22566893696784973	-0.17227264	Yes	
row_60	RAB2A	NA	10687	-0.23655036091804504	-0.1731559	Yes	
row_61	ZW10	NA	10699	-0.23774203658103943	-0.16532418	Yes	
row_62	SEC22B	NA	10753	-0.2422972470521927	-0.16002688	Yes	
row_63	STAM	NA	10834	-0.24876059591770172	-0.1562319	Yes	
row_64	COG2	NA	11181	-0.2770327925682068	-0.16850895	Yes	
row_65	ARCN1	NA	11232	-0.28133031725883484	-0.16161709	Yes	
row_66	NAPG	NA	11262	-0.2842046618461609	-0.15327299	Yes	
row_67	AP1G1	NA	11270	-0.2849583625793457	-0.14348857	Yes	
row_68	RER1	NA	11334	-0.29093417525291443	-0.13708688	Yes	
row_69	VPS4B	NA	11386	-0.29438892006874084	-0.12979028	Yes	
row_70	BET1	NA	11426	-0.2973391115665436	-0.12161684	Yes	
row_71	ADAM10	NA	11675	-0.3167074918746948	-0.12617365	Yes	
row_72	ARFGAP3	NA	11734	-0.32171428203582764	-0.11834532	Yes	
row_73	LMAN1	NA	12088	-0.34875521063804626	-0.12849618	Yes	
row_74	TMED10	NA	12487	-0.383591890335083	-0.14028665	Yes	
row_75	TMED2	NA	12595	-0.3929893970489502	-0.13304622	Yes	
row_76	USO1	NA	13055	-0.43297743797302246	-0.14698158	Yes	
row_77	YIPF6	NA	13163	-0.4413337707519531	-0.13800488	Yes	
row_78	CLCN3	NA	13180	-0.4422950744628906	-0.12314798	Yes	
row_79	ARFGEF2	NA	13324	-0.456194669008255	-0.11595015	Yes	
row_80	CAV2	NA	13403	-0.4632953703403473	-0.104321815	Yes	
row_81	ATP7A	NA	14358	-0.5477927923202515	-0.14593169	Yes	
row_82	SEC24D	NA	14462	-0.5610020160675049	-0.13240024	Yes	
row_83	EGFR	NA	15268	-0.7243670225143433	-0.15809706	Yes	
row_84	ABCA1	NA	15339	-0.7519041895866394	-0.13558961	Yes	
row_85	IGF2R	NA	15344	-0.7555250525474548	-0.108712405	Yes	
row_86	MON2	NA	15393	-0.7795464992523193	-0.08379897	Yes	
row_87	RAB9A	NA	15523	-0.8724042773246765	-0.060753923	Yes	
row_88	PAM	NA	15562	-0.9374477863311768	-0.02952718	Yes	
row_89	CLN5	NA	15603	-0.9884997606277466	0.0034045796	Yes	
