NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCAR3	NA	499	0.6493232846260071	0.0149309505	No	
row_1	THBS1	NA	1652	0.4498531222343445	-0.02637376	No	
row_2	SKIL	NA	1706	0.44320639967918396	0.00224056	No	
row_3	NOG	NA	2220	0.38525649905204773	-0.0027967917	No	
row_4	XIAP	NA	2347	0.37151074409484863	0.01596332	No	
row_5	PMEPA1	NA	3024	0.31189459562301636	-0.004813749	No	
row_6	KLF10	NA	4558	0.19952350854873657	-0.0886037	No	
row_7	FNTA	NA	5051	0.1668785959482193	-0.10806759	No	
row_8	HDAC1	NA	6646	0.05981992930173874	-0.20585474	No	
row_9	BMPR1A	NA	6647	0.05975164845585823	-0.20153934	No	
row_10	FKBP1A	NA	6656	0.05903051421046257	-0.19778848	No	
row_11	NCOR2	NA	7351	0.011178191751241684	-0.241437	No	
row_12	CTNNB1	NA	7523	2.317685866728425E-4	-0.25237408	No	
row_13	RHOA	NA	7803	-0.0178125761449337	-0.2689596	No	
row_14	SKI	NA	7994	-0.0326940082013607	-0.27876928	No	
row_15	UBE2D3	NA	8116	-0.041782449930906296	-0.2835026	No	
row_16	LTBP2	NA	8416	-0.06460975855588913	-0.29798952	No	
row_17	MAP3K7	NA	8983	-0.10716871172189713	-0.32650602	No	
row_18	PPM1A	NA	8997	-0.10849650204181671	-0.31950292	No	
row_19	SPTBN1	NA	9007	-0.10909575968980789	-0.31220028	No	
row_20	APC	NA	9205	-0.1243523508310318	-0.3158386	No	
row_21	TGIF1	NA	9519	-0.14840878546237946	-0.32517013	No	
row_22	HIPK2	NA	9983	-0.18493090569972992	-0.3414726	No	
row_23	SMURF2	NA	10169	-0.19736367464065552	-0.33906916	No	
row_24	IFNGR2	NA	10180	-0.19788382947444916	-0.3254181	No	
row_25	TJP1	NA	10356	-0.21236006915569305	-0.32129103	No	
row_26	CDK9	NA	10908	-0.25444406270980835	-0.33821014	No	
row_27	SLC20A1	NA	11005	-0.26259472966194153	-0.32539445	No	
row_28	BMPR2	NA	11197	-0.2780708074569702	-0.31754652	No	
row_29	ID2	NA	11877	-0.33098673820495605	-0.3371369	No	
row_30	SMAD6	NA	12412	-0.3765467703342438	-0.3441485	Yes	
row_31	RAB31	NA	12661	-0.39969009160995483	-0.3311682	Yes	
row_32	SMAD1	NA	12738	-0.406476229429245	-0.30667993	Yes	
row_33	SMAD3	NA	12770	-0.4086584448814392	-0.27915147	Yes	
row_34	ENG	NA	12897	-0.4195093810558319	-0.2569248	Yes	
row_35	ARID4B	NA	12982	-0.42666879296302795	-0.23149064	Yes	
row_36	BMP2	NA	13059	-0.4332687258720398	-0.20506735	Yes	
row_37	WWTR1	NA	13176	-0.4422246813774109	-0.18055955	Yes	
row_38	CDKN1C	NA	13207	-0.4446229040622711	-0.15036961	Yes	
row_39	FURIN	NA	13637	-0.4816798269748688	-0.14306223	Yes	
row_40	ID1	NA	13995	-0.5108759999275208	-0.1290341	Yes	
row_41	TRIM33	NA	14617	-0.5841191411018372	-0.12662734	Yes	
row_42	ACVR1	NA	14620	-0.5851531624794006	-0.08449438	Yes	
row_43	SMURF1	NA	15026	-0.6494953036308289	-0.06352961	Yes	
row_44	ID3	NA	15229	-0.7126577496528625	-0.02499946	Yes	
row_45	TGFBR1	NA	15267	-0.7239856719970703	0.02491829	Yes	
