NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ETS2	NA	62	0.9646531343460083	0.01578418	No	
row_1	PANX1	NA	138	0.8297585248947144	0.027963981	No	
row_2	GADD45A	NA	141	0.8260771632194519	0.044774935	No	
row_3	MAP2K3	NA	157	0.8041490316390991	0.060298048	No	
row_4	TNIP1	NA	216	0.7594738602638245	0.07213263	No	
row_5	TNC	NA	410	0.6725061535835266	0.07347975	No	
row_6	TNFAIP3	NA	745	0.5941944122314453	0.06413007	No	
row_7	MYC	NA	833	0.5777109861373901	0.07036758	No	
row_8	PHLDA2	NA	907	0.5636497735977173	0.07721939	No	
row_9	PTX3	NA	967	0.5515680313110352	0.08472609	No	
row_10	MSC	NA	1412	0.48159441351890564	0.06597518	No	
row_11	FOSL2	NA	1527	0.46630364656448364	0.06818731	No	
row_12	NFKB2	NA	1690	0.4455468952655792	0.06687902	No	
row_13	JUN	NA	1843	0.4280398190021515	0.065856464	No	
row_14	IRS2	NA	1848	0.4276368319988251	0.07436787	No	
row_15	IFIH1	NA	1994	0.4094277322292328	0.073414974	No	
row_16	BHLHE40	NA	2068	0.4012480080127716	0.0769365	No	
row_17	IRF1	NA	2241	0.38313835859298706	0.073703684	No	
row_18	DDX58	NA	2295	0.3775162994861603	0.078028046	No	
row_19	GEM	NA	2306	0.3762957453727722	0.08509979	No	
row_20	LAMB3	NA	2444	0.3621477484703064	0.08369314	No	
row_21	CCL20	NA	2558	0.3511306047439575	0.08360796	No	
row_22	PHLDA1	NA	2838	0.3260062336921692	0.072304785	No	
row_23	CCND1	NA	2906	0.3205917477607727	0.07455919	No	
row_24	IL15RA	NA	2928	0.31920570135116577	0.07975099	No	
row_25	SLC16A6	NA	2993	0.31445008516311646	0.08207288	No	
row_26	NR4A3	NA	3001	0.31368881464004517	0.088054195	No	
row_27	PMEPA1	NA	3024	0.31189459562301636	0.0930316	No	
row_28	REL	NA	3162	0.2997882664203644	0.09034618	No	
row_29	NINJ1	NA	3185	0.2977876663208008	0.09503431	No	
row_30	B4GALT5	NA	3269	0.29185906052589417	0.09566791	No	
row_31	TNFAIP8	NA	3340	0.28556519746780396	0.09701062	No	
row_32	KLF4	NA	3364	0.2837323546409607	0.101346046	No	
row_33	IL7R	NA	3391	0.2816667854785919	0.10544569	No	
row_34	NFKBIE	NA	3630	0.26321330666542053	0.095498316	No	
row_35	TNFAIP6	NA	3712	0.2573961019515991	0.09555416	No	
row_36	ATF3	NA	3851	0.24734710156917572	0.09172888	No	
row_37	ATP2B1	NA	3894	0.24430930614471436	0.094030865	No	
row_38	EGR1	NA	3908	0.24267607927322388	0.09816912	No	
row_39	PDLIM5	NA	4006	0.23622791469097137	0.09675928	No	
row_40	IL18	NA	4085	0.22999674081802368	0.096446685	No	
row_41	F2RL1	NA	4183	0.22366896271705627	0.094779305	No	
row_42	PLAU	NA	4336	0.21269869804382324	0.08934087	No	
row_43	KLF10	NA	4558	0.19952350854873657	0.07918352	No	
row_44	PTGER4	NA	4679	0.19117926061153412	0.07536698	No	
row_45	SAT1	NA	4937	0.17361515760421753	0.062357254	No	
row_46	PDE4B	NA	5012	0.16924996674060822	0.061056852	No	
row_47	SGK1	NA	5172	0.15867097675800323	0.054059178	No	
row_48	YRDC	NA	5261	0.1539713442325592	0.051542822	No	
row_49	CCN1	NA	5367	0.14662392437458038	0.04777973	No	
row_50	SOD2	NA	5595	0.1318080872297287	0.03584693	No	
row_51	SPSB1	NA	5599	0.13130053877830505	0.03834601	No	
row_52	CD83	NA	5669	0.12608440220355988	0.03648281	No	
row_53	IER5	NA	5911	0.10905607789754868	0.023180801	No	
row_54	INHBA	NA	6438	0.07539813220500946	-0.009186655	No	
row_55	LIF	NA	6470	0.0729997381567955	-0.009688401	No	
row_56	MAP3K8	NA	6669	0.05804779380559921	-0.021264004	No	
row_57	HES1	NA	7599	-1.4447847206611186E-4	-0.08115788	No	
row_58	DUSP1	NA	7676	-0.006373184733092785	-0.085927255	No	
row_59	CD80	NA	7693	-0.007898245006799698	-0.08679688	No	
row_60	NR4A2	NA	7796	-0.017306679859757423	-0.09301838	No	
row_61	DUSP5	NA	7847	-0.020732002332806587	-0.09581697	No	
row_62	BCL2A1	NA	8019	-0.03497323766350746	-0.10612494	No	
row_63	TIPARP	NA	8390	-0.06252869963645935	-0.12869827	No	
row_64	KLF9	NA	8595	-0.07866893708705902	-0.14023785	No	
row_65	LITAF	NA	8635	-0.08130393177270889	-0.14108512	No	
row_66	FJX1	NA	8637	-0.08157136291265488	-0.13947685	No	
row_67	MAFF	NA	8721	-0.08695489168167114	-0.1430451	No	
row_68	TANK	NA	8753	-0.08962061256170273	-0.14320602	No	
row_69	ZC3H12A	NA	8761	-0.09017524868249893	-0.14180815	No	
