NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LAMC1	NA	31	1.0352978706359863	0.020392308	No	
row_1	DDAH1	NA	115	0.8569221496582031	0.033576958	No	
row_2	MAP1B	NA	132	0.8348932862281799	0.050601665	No	
row_3	RBPMS	NA	213	0.7631127238273621	0.061950855	No	
row_4	COL1A2	NA	288	0.7183368802070618	0.07271827	No	
row_5	SNAI2	NA	603	0.6261162161827087	0.06602938	No	
row_6	ANXA4	NA	709	0.599359393119812	0.0722266	No	
row_7	DLG1	NA	818	0.5807424187660217	0.07782794	No	
row_8	MYC	NA	833	0.5777109861373901	0.08941964	No	
row_9	ERBB2	NA	865	0.5712489485740662	0.09977637	No	
row_10	TOGARAM1	NA	889	0.5673291087150574	0.11056373	No	
row_11	ANXA2	NA	893	0.56668621301651	0.12262568	No	
row_12	COL5A2	NA	958	0.5532636046409607	0.13046744	No	
row_13	KIT	NA	1057	0.5362184047698975	0.13575014	No	
row_14	COL3A1	NA	1149	0.5210168361663818	0.14115508	No	
row_15	PLCB4	NA	1279	0.5001615285873413	0.14366084	No	
row_16	AMPH	NA	1464	0.4756695628166199	0.14209358	No	
row_17	TENT4A	NA	1704	0.4434117376804352	0.13628535	No	
row_18	COL1A1	NA	1830	0.4295462667942047	0.13752168	No	
row_19	ACVR2A	NA	1841	0.4284152090549469	0.1461424	No	
row_20	BHLHE40	NA	2068	0.4012480080127716	0.14025986	No	
row_21	ICA1	NA	2247	0.3825399577617645	0.13706511	No	
row_22	RXRA	NA	2414	0.3643379807472229	0.13424984	No	
row_23	MRPS31	NA	2455	0.3609621822834015	0.13947906	No	
row_24	NFIB	NA	2500	0.35607388615608215	0.14434487	No	
row_25	PRKAR2B	NA	2883	0.32221707701683044	0.12670293	No	
row_26	MGMT	NA	2926	0.3193795382976532	0.13090405	No	
row_27	PPARG	NA	3027	0.31182214617729187	0.13120508	No	
row_28	CDON	NA	3058	0.308575838804245	0.13594563	No	
row_29	FZD2	NA	3089	0.3061108887195587	0.14063288	No	
row_30	KCNMA1	NA	3120	0.3032276928424835	0.14525779	No	
row_31	SLC22A18	NA	3230	0.29466870427131653	0.14460804	No	
row_32	ATP2B4	NA	3524	0.2711549699306488	0.13159563	No	
row_33	IGFBP5	NA	3569	0.26762154698371887	0.13454856	No	
row_34	GJA1	NA	3724	0.256370484828949	0.13017145	No	
row_35	ATP2B1	NA	3894	0.24430930614471436	0.124567136	No	
row_36	SYNJ2	NA	3917	0.24155153334140778	0.12837362	No	
row_37	RGS4	NA	3934	0.24075807631015778	0.13254948	No	
row_38	PDLIM5	NA	4006	0.23622791469097137	0.13308403	No	
row_39	VLDLR	NA	4176	0.224197655916214	0.12704478	No	
row_40	MAP2K5	NA	4296	0.21563135087490082	0.124041505	No	
row_41	NR3C1	NA	4381	0.21010038256645203	0.12317349	No	
row_42	TFPI	NA	4462	0.20595675706863403	0.12247356	No	
row_43	FBLN5	NA	4642	0.19414174556732178	0.11514007	No	
row_44	SLC7A1	NA	4764	0.18566986918449402	0.111360006	No	
row_45	MTA1	NA	5046	0.1671651154756546	0.0968718	No	
row_46	SCN8A	NA	5157	0.15953516960144043	0.09323521	No	
row_47	CAP2	NA	5205	0.1569046676158905	0.09360049	No	
row_48	FHL2	NA	5231	0.15584957599639893	0.09536029	No	
row_49	CCN1	NA	5367	0.14662392437458038	0.08983386	No	
row_50	INPP4B	NA	5575	0.13339436054229736	0.079382755	No	
row_51	CDC42BPA	NA	5764	0.12023406475782394	0.06987111	No	
row_52	AGGF1	NA	6253	0.08737849444150925	0.040321518	No	
row_53	COL11A1	NA	6278	0.08539712429046631	0.040622134	No	
row_54	DMAC2L	NA	6398	0.07754696160554886	0.034632634	No	
row_55	SRI	NA	6443	0.07501249015331268	0.03342018	No	
row_56	IGF1R	NA	6509	0.0694294273853302	0.030734062	No	
row_57	LTBP1	NA	6562	0.06577398627996445	0.028806414	No	
row_58	BDNF	NA	6616	0.062308937311172485	0.026739405	No	
