NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HYAL2	NA	1	1.5996813774108887	0.044087343	Yes	
row_1	RET	NA	27	1.0492470264434814	0.07143873	Yes	
row_2	PPP1R2	NA	36	1.0128334760665894	0.09887862	Yes	
row_3	GAL	NA	45	0.997963547706604	0.1259081	Yes	
row_4	CLCN2	NA	437	0.6660482287406921	0.119140066	Yes	
row_5	TYRO3	NA	581	0.6300156116485596	0.12733017	Yes	
row_6	GGH	NA	595	0.627802312374115	0.14382146	Yes	
row_7	EPCAM	NA	614	0.6234798431396484	0.15987183	Yes	
row_8	ENO2	NA	1354	0.4894794523715973	0.12584527	Yes	
row_9	HTR7	NA	1452	0.4763782322406769	0.1327539	Yes	
row_10	PTPRD	NA	1482	0.47294044494628906	0.14394176	Yes	
row_11	PPIF	NA	1610	0.45533281564712524	0.14833976	Yes	
row_12	ABCB1	NA	1757	0.43715396523475647	0.15101385	Yes	
row_13	UROD	NA	1774	0.4356028735637665	0.16200742	Yes	
row_14	DNAJA1	NA	1847	0.42770451307296753	0.16918077	Yes	
row_15	TARS1	NA	2219	0.3853611648082733	0.15595219	Yes	
row_16	IRF1	NA	2241	0.38313835859298706	0.1651761	Yes	
row_17	PDLIM3	NA	2250	0.38238033652305603	0.17521529	Yes	
row_18	NPTXR	NA	2503	0.35600587725639343	0.1688312	Yes	
row_19	BAK1	NA	2658	0.34257546067237854	0.1683803	Yes	
row_20	PRKCD	NA	2736	0.33495277166366577	0.17267205	Yes	
row_21	HNRNPU	NA	2846	0.32557520270347595	0.17464657	Yes	
row_22	MAPK8IP2	NA	2856	0.3247627019882202	0.18303119	Yes	
row_23	SPR	NA	3055	0.3090388774871826	0.17882435	Yes	
row_24	NUP58	NA	3081	0.30676695704460144	0.18568307	Yes	
row_25	STK25	NA	3315	0.2878614366054535	0.17864037	Yes	
row_26	CCK	NA	3480	0.2745679020881653	0.17566918	Yes	
row_27	SLC6A8	NA	3553	0.2686031460762024	0.17845128	Yes	
row_28	CNP	NA	3598	0.265073299407959	0.18293707	Yes	
row_29	MSX1	NA	3614	0.26410144567489624	0.18926147	Yes	
row_30	CHRNA5	NA	3671	0.25930821895599365	0.19281624	Yes	
row_31	STARD3	NA	3745	0.2544161379337311	0.19514245	Yes	
row_32	AMD1	NA	3827	0.24841707944869995	0.19678849	Yes	
row_33	ATF3	NA	3851	0.24734710156917572	0.20213586	Yes	
row_34	EPHX1	NA	3899	0.24328795075416565	0.2058274	Yes	
row_35	FKBP4	NA	3999	0.23683185875415802	0.20599583	Yes	
row_36	MRPL23	NA	4473	0.2053862065076828	0.18123871	No	
row_37	SLC25A4	NA	4499	0.20340968668460846	0.18524475	No	
row_38	NPTX2	NA	4608	0.19569242000579834	0.18369879	No	
row_39	RASGRP1	NA	4847	0.180040180683136	0.17335854	No	
row_40	NTRK3	NA	4961	0.17185847461223602	0.17083314	No	
row_41	NKX2-5	NA	4980	0.17079882323741913	0.17438938	No	
row_42	TACR3	NA	5210	0.15669894218444824	0.16398384	No	
row_43	CCNE1	NA	5358	0.1470961570739746	0.15858793	No	
row_44	FGF18	NA	5478	0.13936595618724823	0.15477976	No	
row_45	SOD2	NA	5595	0.1318080872297287	0.15095598	No	
row_46	PSMC3	NA	5850	0.11381403356790543	0.13775867	No	
row_47	BID	NA	6199	0.09083973616361618	0.117880695	No	
row_48	ACAA1	NA	6326	0.08235438168048859	0.11204872	No	
row_49	GRPEL1	NA	6749	0.05312100797891617	0.08636963	No	
row_50	SIGMAR1	NA	6942	0.039438676089048386	0.07510771	No	
row_51	CLTB	NA	7129	0.02560349553823471	0.06384988	No	
row_52	WIZ	NA	7152	0.02438950166106224	0.06310788	No	
row_53	KLHDC3	NA	7292	0.015025255270302296	0.054581374	No	
row_54	EIF2S3	NA	7293	0.01493600383400917	0.054993615	No	
row_55	ALAS1	NA	7329	0.012704742141067982	0.053092886	No	
row_56	IGFBP2	NA	7448	0.004935824312269688	0.04563874	No	
row_57	RPN1	NA	7769	-0.015004866756498814	0.025468804	No	
row_58	E2F5	NA	7909	-0.02578236721456051	0.017239198	No	
row_59	RRAD	NA	7960	-0.029922576621174812	0.014848809	No	
row_60	RFC4	NA	8594	-0.07860349863767624	-0.023699582	No	
row_61	CASP3	NA	8773	-0.09103018045425415	-0.03263701	No	
row_62	TMBIM6	NA	8813	-0.09427323937416077	-0.03254373	No	
row_63	POLR2H	NA	8990	-0.10785083472728729	-0.040888254	No	
row_64	NR4A1	NA	9362	-0.13622024655342102	-0.060993195	No	
row_65	POLG2	NA	9374	-0.1368163675069809	-0.057924602	No	
row_66	RHOB	NA	9375	-0.1368352621793747	-0.05414791	No	
row_67	ASNS	NA	9389	-0.1384621113538742	-0.051162545	No	
row_68	GPX3	NA	9767	-0.16764581203460693	-0.07078608	No	
row_69	PRPF3	NA	9770	-0.1679030805826187	-0.06628056	No	
row_70	PDAP1	NA	9857	-0.1751144528388977	-0.06697932	No	
row_71	CHKA	NA	9862	-0.17531751096248627	-0.062397808	No	
row_72	CDC5L	NA	10477	-0.22194409370422363	-0.09576777	No	
row_73	SQSTM1	NA	10484	-0.22228200733661652	-0.09001868	No	
row_74	PPT1	NA	10540	-0.22566893696784973	-0.08732804	No	
row_75	ONECUT1	NA	10722	-0.23906205594539642	-0.09237272	No	
