NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CSNK1E	NA	152	0.8079130053520203	0.058998525	No	
row_1	MYC	NA	833	0.5777109861373901	0.064617835	No	
row_2	FZD1	NA	2164	0.3909980058670044	0.012748462	No	
row_3	PPARD	NA	2442	0.36245548725128174	0.025851658	No	
row_4	DLL1	NA	2646	0.3437363803386688	0.042099055	No	
row_5	CUL1	NA	4526	0.20198935270309448	-0.060989454	No	
row_6	SKP2	NA	6227	0.08854568004608154	-0.16227095	No	
row_7	PTCH1	NA	6464	0.07371088117361069	-0.17110643	No	
row_8	NCSTN	NA	6560	0.06605352461338043	-0.17156814	No	
row_9	KAT2A	NA	6869	0.04444872587919235	-0.18750149	No	
row_10	NCOR2	NA	7351	0.011178191751241684	-0.21733852	No	
row_11	CTNNB1	NA	7523	2.317685866728425E-4	-0.22826421	No	
row_12	PSEN2	NA	8044	-0.03706492856144905	-0.25839543	No	
row_13	HEY1	NA	8598	-0.07878093421459198	-0.28709018	No	
row_14	HEY2	NA	9140	-0.11986853182315826	-0.31152162	No	
row_15	JAG1	NA	9730	-0.1648167371749878	-0.33520177	No	
row_16	WNT5B	NA	9957	-0.18295539915561676	-0.3341039	No	
row_17	HDAC2	NA	9981	-0.1849033236503601	-0.3198467	No	
row_18	NKD1	NA	10973	-0.26005640625953674	-0.36115626	No	
row_19	JAG2	NA	11846	-0.329051673412323	-0.38897955	Yes	
row_20	NOTCH1	NA	12103	-0.3497811555862427	-0.37561038	Yes	
row_21	AXIN1	NA	12239	-0.36111435294151306	-0.3535321	Yes	
row_22	HDAC11	NA	12291	-0.3666101396083832	-0.32560962	Yes	
row_23	NUMB	NA	12653	-0.39824408292770386	-0.31483865	Yes	
row_24	LEF1	NA	12891	-0.4184936285018921	-0.29440805	Yes	
row_25	FZD8	NA	12977	-0.42644989490509033	-0.26357138	Yes	
row_26	WNT6	NA	13574	-0.4772630035877228	-0.26112032	Yes	
row_27	AXIN2	NA	13735	-0.49038708209991455	-0.22964525	Yes	
row_28	CCND2	NA	14090	-0.5194900035858154	-0.20811203	Yes	
row_29	ADAM17	NA	14703	-0.5983207821846008	-0.19638693	Yes	
row_30	TCF7	NA	14723	-0.6019293665885925	-0.146398	Yes	
row_31	DKK1	NA	15223	-0.7100810408592224	-0.11793271	Yes	
row_32	RBPJ	NA	15399	-0.7810907959938049	-0.06268809	Yes	
row_33	MAML1	NA	15555	-0.929538905620575	0.0064649107	Yes	
