NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ETS2	NA	62	0.9646531343460083	0.018774243	No	
row_1	FABP1	NA	175	0.7929636240005493	0.03027565	No	
row_2	AOX1	NA	320	0.7065020799636841	0.037675194	No	
row_3	ELOVL5	NA	518	0.6436824202537537	0.040178213	No	
row_4	PGD	NA	722	0.5977365970611572	0.041210346	No	
row_5	GSS	NA	931	0.5579620599746704	0.040981658	No	
row_6	FBLN1	NA	965	0.5519971251487732	0.051884323	No	
row_7	FAS	NA	1007	0.5456032752990723	0.062120784	No	
row_8	UPP1	NA	1015	0.5444455146789551	0.07451993	No	
row_9	JUP	NA	1345	0.4906507730484009	0.064908676	No	
row_10	PAPSS2	NA	1573	0.4603278636932373	0.061151788	No	
row_11	EPHA2	NA	1621	0.4538660943508148	0.068836585	No	
row_12	SLC6A6	NA	1677	0.44690585136413574	0.075841814	No	
row_13	GSR	NA	1792	0.4336024522781372	0.07873273	No	
row_14	ENPEP	NA	1974	0.411763072013855	0.076792575	No	
row_15	HPRT1	NA	2383	0.3684008717536926	0.0592074	No	
row_16	ACO2	NA	2440	0.36246415972709656	0.06415521	No	
row_17	PPARD	NA	2442	0.36245548725128174	0.0726455	No	
row_18	PYCR1	NA	2990	0.3149135112762451	0.044844612	No	
row_19	LONP1	NA	3161	0.2998037040233612	0.040970515	No	
row_20	NINJ1	NA	3185	0.2977876663208008	0.04651744	No	
row_21	AP4B1	NA	3306	0.2887813448905945	0.045603804	No	
row_22	ABHD6	NA	3477	0.2746061384677887	0.041134994	No	
row_23	GAD1	NA	3667	0.25968584418296814	0.035090204	No	
row_24	ABCD2	NA	3880	0.24556531012058258	0.027230656	No	
row_25	EPHX1	NA	3899	0.24328795075416565	0.03181333	No	
row_26	PDLIM5	NA	4006	0.23622791469097137	0.0305611	No	
row_27	NMT1	NA	4315	0.21461257338523865	0.01578743	No	
row_28	PGRMC1	NA	4573	0.19821691513061523	0.0039118123	No	
row_29	RAP1GAP	NA	4771	0.1854340136051178	-0.004400774	No	
row_30	PTS	NA	4808	0.18268311023712158	-0.0024079168	No	
row_31	HNF4A	NA	4955	0.17212864756584167	-0.007749513	No	
row_32	ENTPD5	NA	5066	0.16566358506679535	-0.010924857	No	
row_33	ATP2A2	NA	5212	0.15661749243736267	-0.016568135	No	
row_34	LEAP2	NA	5226	0.15592965483665466	-0.013725233	No	
row_35	PDK4	NA	5230	0.15585222840309143	-0.010240036	No	
row_36	SMOX	NA	5507	0.13697144389152527	-0.024785006	No	
row_37	ETFDH	NA	5629	0.12905818223953247	-0.029532848	No	
row_38	PINK1	NA	5640	0.12824173271656036	-0.0271502	No	
row_39	CNDP2	NA	5811	0.11644165962934494	-0.035352018	No	
row_40	TMEM97	NA	5828	0.11537590622901917	-0.033659507	No	
row_41	PTGR1	NA	5830	0.11527560651302338	-0.031003175	No	
row_42	PTGES3	NA	5844	0.11406120657920837	-0.029148456	No	
row_43	CDA	NA	6348	0.08090481907129288	-0.05963829	No	
row_44	CD36	NA	6479	0.07257991284132004	-0.06629885	No	
row_45	ARPP19	NA	6602	0.06318104267120361	-0.07266594	No	
row_46	TPST1	NA	6615	0.062377069145441055	-0.071966656	No	
row_47	CASP6	NA	6632	0.06071848049759865	-0.071564175	No	
row_48	SLC35D1	NA	6668	0.058097727596759796	-0.072447374	No	
row_49	ACOX1	NA	6820	0.04816129803657532	-0.08103692	No	
row_50	NFS1	NA	7059	0.030878357589244843	-0.09563824	No	
row_51	ADH1C	NA	7262	0.016826802864670753	-0.10825236	No	
row_52	ALAS1	NA	7329	0.012704742141067982	-0.11220371	No	
row_53	BCAR1	NA	7340	0.01211611833423376	-0.11256187	No	
row_54	DDC	NA	7373	0.00949023012071848	-0.114399076	No	
row_55	GABARAPL1	NA	7645	-0.003033653600141406	-0.13178319	No	
row_56	COMT	NA	7716	-0.010776108130812645	-0.1360377	No	
row_57	CROT	NA	7890	-0.023720916360616684	-0.14662117	No	
row_58	UGDH	NA	8257	-0.05264201760292053	-0.16895358	No	
row_59	SAR1B	NA	8261	-0.053103938698768616	-0.16789345	No	
row_60	HSD17B2	NA	8298	-0.05599874630570412	-0.16889061	No	
row_61	IRF8	NA	8419	-0.06501331180334091	-0.17508563	No	
row_62	TMBIM6	NA	8813	-0.09427323937416077	-0.1981746	No	
row_63	ACOX2	NA	9032	-0.11092421412467957	-0.20959842	No	
row_64	TTPA	NA	9078	-0.11499455571174622	-0.20978287	No	
row_65	DCXR	NA	9142	-0.11994273960590363	-0.21100995	No	
row_66	ABCC2	NA	9477	-0.1448894888162613	-0.22910394	No	
row_67	KARS1	NA	9571	-0.15243740379810333	-0.23149644	No	
row_68	SLC12A4	NA	9823	-0.1722729206085205	-0.24359792	No	
row_69	SSR3	NA	9907	-0.17845983803272247	-0.24473211	No	
row_70	TNFRSF1A	NA	10042	-0.18851883709430695	-0.24891393	No	
row_71	CYFIP2	NA	10116	-0.19313527643680573	-0.24905762	No	
row_72	ALDH9A1	NA	10483	-0.22227227687835693	-0.26738644	No	
row_73	GNMT	NA	10528	-0.22489331662654877	-0.2649126	No	
row_74	SHMT2	NA	10553	-0.22659824788570404	-0.26111034	No	
row_75	GCNT2	NA	10734	-0.24029037356376648	-0.2670332	No	
row_76	TGFB2	NA	10738	-0.2411469668149948	-0.26153484	No	
row_77	KYNU	NA	10795	-0.2455483078956604	-0.2593465	No	
row_78	HACL1	NA	10866	-0.2512371242046356	-0.25792563	No	
row_79	ACP1	NA	10915	-0.2548486590385437	-0.25500247	No	
row_80	PTGES	NA	11432	-0.29804205894470215	-0.28120476	Yes	
row_81	CAT	NA	11476	-0.3016052842140198	-0.276856	Yes	
row_82	IGF1	NA	11513	-0.3047057092189789	-0.27198315	Yes	
row_83	AHCY	NA	11557	-0.30830588936805725	-0.26747623	Yes	
row_84	ATOH8	NA	11710	-0.3203432857990265	-0.26970613	Yes	
row_85	GCLC	NA	11717	-0.32082244753837585	-0.26252052	Yes	
row_86	BPHL	NA	11730	-0.3214913010597229	-0.25570562	Yes	
row_87	XDH	NA	11770	-0.3244960904121399	-0.2505589	Yes	
row_88	TYR	NA	11803	-0.3261716067790985	-0.24492179	Yes	
row_89	ID2	NA	11877	-0.33098673820495605	-0.2418119	Yes	
row_90	ACOX3	NA	11912	-0.33354097604751587	-0.23612967	Yes	
row_91	SLC46A3	NA	11919	-0.33377304673194885	-0.22863841	Yes	
row_92	DDT	NA	12008	-0.3416387736797333	-0.2262433	Yes	
row_93	ESR1	NA	12038	-0.3444148898124695	-0.21998236	Yes	
row_94	PEMT	NA	12086	-0.34866800904273987	-0.21478045	Yes	
row_95	IDH1	NA	12361	-0.37302452325820923	-0.22362526	Yes	
row_96	MAN1A1	NA	12497	-0.38440248370170593	-0.22324821	Yes	
row_97	ALDH2	NA	12559	-0.38995957374572754	-0.21797352	Yes	
row_98	DHRS7	NA	12854	-0.4153258800506592	-0.22710817	Yes	
row_99	BCAT1	NA	12944	-0.42336636781692505	-0.22284853	Yes	
row_100	HMOX1	NA	12997	-0.4283911883831024	-0.21608706	Yes	
row_101	IGFBP1	NA	13008	-0.42940759658813477	-0.20659627	Yes	
