NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	43	0.61137587	2.538845	0.0	0.0	0.0	2006	tags=49%, list=13%, signal=56%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	140	0.43519658	2.2838383	0.0	0.0	0.0	5989	tags=74%, list=38%, signal=118%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	161	0.38617972	2.0288284	0.0	0.0	0.0	4640	tags=48%, list=30%, signal=68%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	35	0.3606904	1.4083737	0.04232804	0.18864639	0.332	1913	tags=29%, list=12%, signal=32%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	153	0.2613701	1.393849	0.012987013	0.1733091	0.373	2906	tags=29%, list=19%, signal=35%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	152	0.26182082	1.39374	0.015576324	0.1450755	0.375	4944	tags=45%, list=32%, signal=65%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	167	0.25754973	1.3708746	0.013605442	0.14983727	0.436	3724	tags=38%, list=24%, signal=49%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	171	0.25280806	1.3616937	0.018050542	0.14254393	0.47	5340	tags=49%, list=34%, signal=74%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	50	0.2892523	1.2535483	0.13192612	0.29447892	0.773	3005	tags=36%, list=19%, signal=44%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	36	0.30065513	1.1718576	0.20967741	0.47132343	0.925	2845	tags=36%, list=18%, signal=44%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	125	0.22855605	1.1716306	0.1588785	0.4287978	0.925	3108	tags=27%, list=20%, signal=34%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	156	0.21229409	1.1213741	0.20779221	0.5557049	0.977	2414	tags=22%, list=15%, signal=26%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	164	0.2023515	1.0949526	0.23232323	0.60499793	0.986	2906	tags=24%, list=19%, signal=29%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	28	0.29251838	1.0802758	0.34772182	0.6142449	0.992	2314	tags=29%, list=15%, signal=33%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	164	0.19412333	1.0496769	0.3226837	0.69045913	0.996	1826	tags=17%, list=12%, signal=19%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	110	0.20613024	1.0485728	0.3690476	0.6512149	0.996	3520	tags=27%, list=22%, signal=35%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	163	0.19513057	1.0385973	0.3651316	0.64963156	0.996	2572	tags=21%, list=16%, signal=25%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	168	0.19213688	1.0337185	0.36877078	0.6312499	0.997	5469	tags=44%, list=35%, signal=67%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	111	0.20599583	1.0336913	0.37026238	0.5981732	0.997	3999	tags=32%, list=26%, signal=43%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	151	0.18795508	0.99064255	0.49285713	0.70743567	0.999	1959	tags=18%, list=13%, signal=20%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		89	0.20360671	0.9757748	0.511041	0.7263696	1.0	1959	tags=19%, list=13%, signal=22%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		89	0.20056108	0.97083974	0.5042017	0.7100834	1.0	2081	tags=19%, list=13%, signal=22%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION		146	0.18526947	0.966123	0.53114754	0.6934649	1.0	3375	tags=29%, list=22%, signal=37%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		119	0.18571083	0.92509097	0.6441718	0.79524165	1.0	2476	tags=20%, list=16%, signal=24%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		51	0.19424734	0.8462599	0.7369863	0.97730595	1.0	4261	tags=39%, list=27%, signal=54%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		33	0.21747327	0.8300666	0.7368421	0.977271	1.0	2252	tags=24%, list=14%, signal=28%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		156	0.15019432	0.82188976	0.93311036	0.9564229	1.0	3431	tags=25%, list=22%, signal=32%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		39	0.19071855	0.7934786	0.84636116	0.96705794	1.0	3555	tags=31%, list=23%, signal=40%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		97	0.15639901	0.76668453	0.9347826	0.96174663	1.0	2934	tags=21%, list=19%, signal=25%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		27	0.18776861	0.7053847	0.90025574	0.97102606	1.0	2906	tags=26%, list=19%, signal=32%	
