NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	101	-0.427081	-1.9474674	0.0	0.0019467198	0.003	2912	tags=44%, list=19%, signal=53%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	138	-0.3407697	-1.6109458	0.0014409221	0.0462599	0.15	2543	tags=32%, list=16%, signal=38%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	34	-0.41697142	-1.5305887	0.031948883	0.06637176	0.288	3812	tags=44%, list=24%, signal=58%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	46	-0.37134352	-1.4399416	0.05400982	0.11195816	0.538	3246	tags=35%, list=21%, signal=44%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	132	-0.28823918	-1.3538561	0.029325513	0.19148599	0.803	4226	tags=39%, list=27%, signal=54%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	148	-0.27711314	-1.3489919	0.04125178	0.16548666	0.817	4343	tags=37%, list=28%, signal=51%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	163	-0.23990199	-1.1711701	0.1563786	0.5253638	1.0	3917	tags=34%, list=25%, signal=45%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	57	-0.28520048	-1.1570293	0.23387097	0.5004626	1.0	3240	tags=28%, list=21%, signal=35%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	119	-0.22734499	-1.0705004	0.32058823	0.7224796	1.0	1970	tags=18%, list=13%, signal=20%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	133	-0.1959037	-0.94095016	0.5614815	1.0	1.0	2244	tags=18%, list=14%, signal=21%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	147	-0.18765058	-0.9121951	0.6576577	1.0	1.0	5238	tags=39%, list=33%, signal=59%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	81	-0.20345582	-0.8957372	0.67473525	1.0	1.0	2003	tags=16%, list=13%, signal=18%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	135	-0.18616109	-0.8822654	0.7402032	1.0	1.0	3946	tags=31%, list=25%, signal=41%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	81	-0.19770615	-0.8719287	0.7217806	1.0	1.0	5175	tags=37%, list=33%, signal=55%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	174	-0.16876213	-0.83354276	0.83988357	1.0	1.0	4726	tags=30%, list=30%, signal=42%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	90	-0.1841122	-0.81111544	0.8092949	1.0	1.0	390	tags=8%, list=2%, signal=8%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	119	-0.16302295	-0.7691719	0.92526156	1.0	1.0	1757	tags=13%, list=11%, signal=14%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	117	-0.16226491	-0.76139563	0.92814374	1.0	1.0	3297	tags=22%, list=21%, signal=28%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	167	-0.15400298	-0.7565368	0.94917583	0.96621746	1.0	4077	tags=27%, list=26%, signal=36%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	82	-0.15818572	-0.69899637	0.96087635	0.9644177	1.0	876	tags=9%, list=6%, signal=9%	
