NAME	TITLE	SCORE	
LOC115597796	NA	1.7835413	
HYAL2	NA	1.5996814	
HYAL1	NA	1.4538515	
LOC103532681	NA	1.4392189	
IYD	NA	1.3869962	
GAP43	NA	1.372377	
LOC115599600	NA	1.2705746	
NTNG1	NA	1.2391264	
LOC103530172	NA	1.2349104	
LOC103537038	NA	1.2313043	
ANKIB1	NA	1.2281125	
PDGFA	NA	1.2190944	
LOC103531796	NA	1.2128074	
SEL1L3	NA	1.2047994	
ANKH	NA	1.1522533	
CLIC5	NA	1.1315751	
GLP2R	NA	1.1259668	
SYT4	NA	1.1183563	
PRPH	NA	1.1032798	
ATP1A1	NA	1.1029276	
TRIL	NA	1.0956357	
NECAB1	NA	1.092459	
GALNT14	NA	1.0867425	
FRRS1L	NA	1.0744741	
DENND3	NA	1.0689366	
LOC115599945	NA	1.0625718	
FOXD3	NA	1.0497593	
RET	NA	1.049247	
PTGR2	NA	1.0375496	
LOC103539346	NA	1.0371143	
TESK1	NA	1.0359323	
LAMC1	NA	1.0352979	
SLC10A4	NA	1.0295894	
HINT1	NA	1.0289657	
LOC103539605	NA	1.0246905	
MYT1L	NA	1.0181761	
PPP1R2	NA	1.0128335	
LOC103539477	NA	1.012296	
KCTD9	NA	1.0107512	
AKAP5	NA	1.0104004	
FOXD1	NA	1.0094767	
LOC115598195	NA	1.0094393	
INPP5J	NA	1.0053359	
COL6A1	NA	1.0020254	
HPCAL4	NA	0.9999999	
GAL	NA	0.99796355	
OTC	NA	0.997925	
LOC103530442	NA	0.99730664	
TRPC7	NA	0.9965893	
NPDC1	NA	0.9956285	
GRM7	NA	0.99110246	
CPLX3	NA	0.9903825	
TACR1	NA	0.98824465	
PDLIM4	NA	0.9863036	
FAXC	NA	0.9846666	
TOPAZ1	NA	0.9787865	
SPECC1	NA	0.9779233	
MEST	NA	0.9776048	
KAZALD1	NA	0.97745335	
SELENOH	NA	0.9757448	
ALDH1A3	NA	0.9714663	
TPBGL	NA	0.96735525	
ETS2	NA	0.96465313	
TSKU	NA	0.9630014	
CHN1	NA	0.96204615	
ADCYAP1	NA	0.96178734	
DNER	NA	0.9602276	
MCF2	NA	0.95947903	
DCT	NA	0.9551976	
MYO18A	NA	0.9546516	
LOC115600353	NA	0.95246327	
CACNG2	NA	0.9510829	
TRMT10A	NA	0.9496847	
PTGFRN	NA	0.93849	
RAP1GAP2	NA	0.9376741	
LOC103534368	NA	0.93476546	
SLITRK1	NA	0.93139714	
OSBPL3	NA	0.9305561	
SNCG	NA	0.92889994	
GDNF	NA	0.9258852	
VSTM2L	NA	0.9253551	
COL6A2	NA	0.92487043	
TUBB3	NA	0.923295	
PNOC	NA	0.9205045	
GPD1L	NA	0.919234	
LOC115600019	NA	0.914846	
TRAF7	NA	0.9145866	
COL6A3	NA	0.9134876	
BTBD1	NA	0.9109404	
APOLD1	NA	0.9095335	
MRPS30	NA	0.90783733	
ELAVL4	NA	0.90757483	
LOC115599530	NA	0.90469664	
DLG5	NA	0.90080035	
TMEM178A	NA	0.9001124	
KNOP1	NA	0.89910805	
HYPK	NA	0.89873457	
GATA5	NA	0.8972295	
HTR1D	NA	0.8951083	
HSPA8	NA	0.8941214	
MAPKAPK3	NA	0.8881226	
LOC103531290	NA	0.8841782	
GNG12	NA	0.88177013	
ZNF462	NA	0.88081264	
POU3F4	NA	0.87748003	
NID1	NA	0.87575495	
CERS1	NA	0.8733002	
SLC35A4	NA	0.87096846	
FAM234B	NA	0.87013054	
MYO3A	NA	0.86920303	
C1QTNF1	NA	0.8652788	
GDF1	NA	0.86524934	
MTNR1A	NA	0.8601954	
COL9A1	NA	0.85966957	
FAM102A	NA	0.8572337	
DDAH1	NA	0.85692215	
OSR2	NA	0.8538959	
GALK2	NA	0.84701926	
ADAMTSL5	NA	0.8448683	
ANAPC4	NA	0.84408814	
AGTRAP	NA	0.8439213	
DSP	NA	0.8430837	
LOC103526105	NA	0.84211314	
CD48	NA	0.8415986	
SHISAL2A	NA	0.84109604	
RAD21L1	NA	0.8406473	
MICALL2	NA	0.8400279	
SNAP25	NA	0.83905804	
TJAP1	NA	0.8379185	
JPT1	NA	0.836363	
INSYN2B	NA	0.8362275	
ZNF710	NA	0.8361749	
MAP1B	NA	0.8348933	
LPGAT1	NA	0.8348838	
JPT2	NA	0.83434266	
TOMM22	NA	0.8325796	
LYRM7	NA	0.83141506	
GPD2	NA	0.830724	
PANX1	NA	0.8297585	
CRYM	NA	0.8285603	
AEBP1	NA	0.8277712	
GADD45A	NA	0.82607716	
AZIN1	NA	0.8244721	
PPFIA2	NA	0.8180689	
ZNF839	NA	0.81586176	
IMPDH2	NA	0.8153091	
KY	NA	0.8143526	
MAP2K2	NA	0.81299937	
ITM2B	NA	0.8123419	
ADAMTS19	NA	0.8111264	
LOC103530650	NA	0.8097257	
NOP56	NA	0.8096451	
CSNK1E	NA	0.807913	
RILP	NA	0.8075092	
LOC103532892	NA	0.8068363	
TCERG1L	NA	0.80588824	
TRAPPC2L	NA	0.8052944	
MAP2K3	NA	0.80414903	
LOC115598651	NA	0.803934	
PPRC1	NA	0.80084056	
RIMBP2	NA	0.7992677	
IGSF10	NA	0.799209	
LOC103533976	NA	0.79912055	
SEPTIN4	NA	0.798862	
TAGLN3	NA	0.7975578	
PDSS1	NA	0.7970351	
MSRB1	NA	0.79693425	
OTOG	NA	0.79690844	
RUNDC3B	NA	0.7967401	
LOC115597797	NA	0.79545474	
SNRPB2	NA	0.7946455	
PRKCH	NA	0.7940676	
CHMP6	NA	0.7938269	
SGSM2	NA	0.79364294	
NRIP3	NA	0.7933116	
FABP1	NA	0.7929636	
DNPEP	NA	0.7926613	
SMS	NA	0.79140544	
C21H1orf167	NA	0.789913	
PKIB	NA	0.78740203	
GARS1	NA	0.7868008	
SCRT2	NA	0.78676665	
