NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STOM	NA	26	1.1225459575653076	0.01622984	No	
row_1	LAMA4	NA	404	0.7758994102478027	0.0042861844	No	
row_2	ESYT1	NA	504	0.7406341433525085	0.009714293	No	
row_3	CD151	NA	895	0.6639704704284668	-0.004853539	No	
row_4	LTC4S	NA	1025	0.6474176645278931	-0.0028478033	No	
row_5	RAB34	NA	1704	0.5700274109840393	-0.037493687	No	
row_6	ADIPOQ	NA	1926	0.5448513627052307	-0.043059215	No	
row_7	PHLDB1	NA	2183	0.5164231657981873	-0.051336158	No	
row_8	CAVIN2	NA	2457	0.4889890253543854	-0.06114744	No	
row_9	MYLK	NA	2509	0.483944833278656	-0.056717534	No	
row_10	RREB1	NA	2967	0.4442440867424011	-0.079112805	No	
row_11	SLC66A3	NA	3605	0.38995546102523804	-0.113986254	No	
row_12	SSPN	NA	3799	0.3749713897705078	-0.120455414	No	
row_13	LPL	NA	3862	0.3688225746154785	-0.1185716	No	
row_14	APLP2	NA	4411	0.31580907106399536	-0.1488863	No	
row_15	CAVIN1	NA	4453	0.31276005506515503	-0.14654204	No	
row_16	FZD4	NA	4552	0.3039241433143616	-0.14801595	No	
row_17	MGLL	NA	5004	0.2633526921272278	-0.17290977	No	
row_18	ATP1B3	NA	5185	0.24961289763450623	-0.18054003	No	
row_19	OMD	NA	5201	0.24930012226104736	-0.17753081	No	
row_20	PPP1R15B	NA	5355	0.23772774636745453	-0.18360884	No	
row_21	GPAT4	NA	5445	0.23250414431095123	-0.18564144	No	
row_22	PTGER3	NA	5514	0.22633624076843262	-0.18641767	No	
row_23	SNCG	NA	5746	0.20887039601802826	-0.19798797	No	
row_24	ITIH5	NA	5817	0.2037051022052765	-0.19925426	No	
row_25	PPARG	NA	5839	0.20210860669612885	-0.19738492	No	
row_26	REEP5	NA	6101	0.18039168417453766	-0.21134488	No	
row_27	SQOR	NA	6112	0.17865882813930511	-0.20913999	No	
row_28	GADD45A	NA	6122	0.17794011533260345	-0.20688206	No	
row_29	ARL4A	NA	6281	0.16592508554458618	-0.21442807	No	
row_30	CCNG2	NA	6363	0.15982367098331451	-0.21710399	No	
row_31	REEP6	NA	6666	0.13660359382629395	-0.23440745	No	
row_32	COL4A1	NA	6916	0.11874276399612427	-0.24857672	No	
row_33	PDCD4	NA	7121	0.10106643289327621	-0.26012492	No	
row_34	ABCA1	NA	7142	0.10002211481332779	-0.2598196	No	
row_35	IFNGR1	NA	7214	0.09336208552122116	-0.2629106	No	
row_36	MAP4K3	NA	7244	0.09166156500577927	-0.26331922	No	
row_37	SPARCL1	NA	7474	0.07613155245780945	-0.276878	No	
row_38	ANGPT1	NA	7527	0.07194295525550842	-0.27908498	No	
row_39	UCK1	NA	7692	0.05976628512144089	-0.28871152	No	
row_40	ACAA2	NA	7881	0.04420331120491028	-0.30013463	No	
row_41	DNAJC15	NA	7955	0.03879772126674652	-0.3042251	No	
row_42	ITGA7	NA	7993	0.03609646484255791	-0.3060362	No	
row_43	HSPB8	NA	8018	0.03456666320562363	-0.3070331	No	
row_44	SORBS1	NA	8112	0.028619129210710526	-0.31257617	No	
row_45	RNF11	NA	8333	0.01412748172879219	-0.32654342	No	
row_46	HADH	NA	8530	6.582977221114561E-5	-0.33918673	No	
row_47	COQ9	NA	8754	-0.0068666525185108185	-0.35346335	No	
row_48	CRAT	NA	8775	-0.008091093972325325	-0.3546245	No	
row_49	BCL6	NA	8829	-0.011871245689690113	-0.35785428	No	
row_50	NABP1	NA	8855	-0.013284959830343723	-0.35925516	No	
row_51	SCARB1	NA	8872	-0.014153541997075081	-0.36006156	No	
row_52	BCL2L13	NA	8883	-0.014756700955331326	-0.36047128	No	
row_53	IDH3A	NA	8888	-0.015026560984551907	-0.36048964	No	
row_54	MDH2	NA	9002	-0.021756500005722046	-0.36743242	No	
row_55	PFKFB3	NA	9108	-0.02974005602300167	-0.37373173	No	
row_56	ACADL	NA	9233	-0.0381450392305851	-0.38112274	No	
row_57	ANGPTL4	NA	9299	-0.04345424100756645	-0.3846228	No	
row_58	ATP5PO	NA	9476	-0.055302225053310394	-0.39509472	No	
row_59	CPT2	NA	9568	-0.06059595197439194	-0.39999866	No	
row_60	ACADS	NA	9600	-0.06255695223808289	-0.40100062	No	
row_61	ACO2	NA	9629	-0.0651857852935791	-0.40176708	No	
row_62	SUCLG1	NA	9697	-0.06982720643281937	-0.40497547	No	
row_63	NDUFA5	NA	9838	-0.08024803549051285	-0.41272703	No	
row_64	MIGA2	NA	9959	-0.08965213596820831	-0.4190383	No	
row_65	NDUFS3	NA	10069	-0.09558305889368057	-0.42454535	No	
row_66	COQ3	NA	10158	-0.10189606249332428	-0.4285969	No	
row_67	CDKN2C	NA	10369	-0.1164502501487732	-0.4402868	No	
row_68	CS	NA	10387	-0.11742938309907913	-0.43951023	No	
row_69	NDUFAB1	NA	10423	-0.12043751776218414	-0.4398469	No	
row_70	PTCD3	NA	10445	-0.12257671356201172	-0.43924627	No	
row_71	GHITM	NA	10539	-0.13058018684387207	-0.44316283	No	
row_72	SDHB	NA	10542	-0.13117147982120514	-0.44119936	No	
row_73	DHCR7	NA	10644	-0.14013299345970154	-0.44547963	No	
row_74	GBE1	NA	10701	-0.1453808695077896	-0.44677317	No	
row_75	COQ5	NA	10754	-0.1489790827035904	-0.44775122	No	
row_76	GPD2	NA	10877	-0.1588340550661087	-0.45308793	No	
row_77	GRPEL1	NA	11006	-0.17103788256645203	-0.458617	No	
row_78	PGM1	NA	11383	-0.21100018918514252	-0.4795076	No	
row_79	ADIPOR2	NA	11454	-0.21864481270313263	-0.48053554	No	
row_80	ITSN1	NA	11473	-0.22043412923812866	-0.47818032	No	
row_81	AK2	NA	11546	-0.22999534010887146	-0.47915626	No	
row_82	CMPK1	NA	11625	-0.23744714260101318	-0.48040035	No	
row_83	CHCHD10	NA	11652	-0.24041198194026947	-0.47824255	No	
row_84	IMMT	NA	11686	-0.24468135833740234	-0.47646824	No	
row_85	SDHC	NA	11710	-0.24730370938777924	-0.47400695	No	
row_86	BAZ2A	NA	11953	-0.272622674703598	-0.4852699	No	
row_87	ADCY6	NA	12132	-0.2958730161190033	-0.49203318	No	
row_88	CD36	NA	12166	-0.29918569326400757	-0.4893894	No	
row_89	RIOK3	NA	12167	-0.2992231249809265	-0.4846161	No	
row_90	PIM3	NA	12217	-0.3064190745353699	-0.48288912	No	
row_91	SAMM50	NA	12289	-0.3151426613330841	-0.4824422	No	
row_92	LIFR	NA	12366	-0.32652127742767334	-0.48213637	No	
row_93	DECR1	NA	12434	-0.3326737880706787	-0.48115176	No	
row_94	SLC5A6	NA	12493	-0.3405865430831909	-0.47946033	No	
row_95	DLD	NA	12665	-0.36363062262535095	-0.48469114	No	
row_96	TKT	NA	12707	-0.3706846833229065	-0.48142287	No	
row_97	ENPP2	NA	12746	-0.3762047290802002	-0.47787303	No	
