NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL6	NA	16	1.1668540239334106	0.029560782	Yes	
row_1	NOS2	NA	172	0.8918251395225525	0.04296553	Yes	
row_2	LCP2	NA	281	0.8356156945228577	0.05792153	Yes	
row_3	ST8SIA4	NA	385	0.7837074398994446	0.071838476	Yes	
row_4	ABI1	NA	675	0.7037099003791809	0.071687534	Yes	
row_5	JAK2	NA	825	0.674197793006897	0.07977307	Yes	
row_6	F2R	NA	842	0.6715605854988098	0.09634912	Yes	
row_7	CD247	NA	851	0.6697521209716797	0.113392636	Yes	
row_8	EREG	NA	956	0.6562293171882629	0.12390322	Yes	
row_9	IFNG	NA	1151	0.6331086754798889	0.12801543	Yes	
row_10	GCNT1	NA	1237	0.6231419444084167	0.1388814	Yes	
row_11	SOCS1	NA	1281	0.6178377866744995	0.15231137	Yes	
row_12	BCL10	NA	1404	0.6025399565696716	0.16025598	Yes	
row_13	THY1	NA	1454	0.5973067283630371	0.17276156	Yes	
row_14	IL16	NA	1683	0.5725391507148743	0.17309767	Yes	
row_15	EIF4G3	NA	1760	0.5643630623817444	0.1830019	Yes	
row_16	SRGN	NA	1837	0.5544116497039795	0.19264527	Yes	
row_17	RPL9	NA	1922	0.5452975034713745	0.20153481	Yes	
row_18	LYN	NA	2107	0.5240482091903687	0.20343144	Yes	
row_19	PRKCB	NA	2138	0.5217866897583008	0.21517996	Yes	
row_20	PTPRC	NA	2142	0.5214152336120605	0.22865644	Yes	
row_21	ETS1	NA	2158	0.5191676020622253	0.24130169	Yes	
row_22	FAS	NA	2386	0.49600085616111755	0.23969561	No	
row_23	FGR	NA	2559	0.479568213224411	0.24119845	No	
row_24	CD3E	NA	2928	0.44771865010261536	0.22925207	No	
row_25	INHBB	NA	3200	0.4257217347621918	0.22297178	No	
row_26	IL2RB	NA	3526	0.39755555987358093	0.21247773	No	
row_27	HIF1A	NA	3751	0.3780045807361603	0.2079713	No	
row_28	TGFB2	NA	3769	0.3765343129634857	0.21674854	No	
row_29	IRF8	NA	3828	0.3718439042568207	0.22276409	No	
row_30	IL7	NA	3917	0.3644842505455017	0.22665596	No	
row_31	IL10	NA	4284	0.3268471360206604	0.2116695	No	
row_32	CD96	NA	4466	0.31158772110939026	0.20818931	No	
row_33	LIF	NA	4657	0.2956450581550598	0.20371191	No	
row_34	IL2RA	NA	4727	0.28958919644355774	0.20686314	No	
row_35	IRF7	NA	4907	0.27335986495018005	0.20250945	No	
row_36	IRF4	NA	5064	0.25854310393333435	0.19924757	No	
