NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TSC22D1	NA	33	1.0930124521255493	0.030598892	No	
row_1	ADAMTS1	NA	108	0.9539622664451599	0.0544018	No	
row_2	RAB4A	NA	258	0.8486328721046448	0.070234165	No	
row_3	TMEM50A	NA	267	0.8432488441467285	0.0949624	No	
row_4	ABCC4	NA	609	0.7170987725257874	0.09452439	No	
row_5	CAMKK2	NA	857	0.6691080927848816	0.09868783	No	
row_6	ZMIZ1	NA	2187	0.5156368613243103	0.028755665	No	
row_7	PMEPA1	NA	2264	0.5083911418914795	0.039092217	No	
row_8	STEAP4	NA	2612	0.47513484954833984	0.031025762	No	
row_9	PIAS1	NA	2671	0.46931779384613037	0.041348897	No	
row_10	PTK2B	NA	3347	0.4126710295677185	0.010343767	No	
row_11	SRF	NA	3615	0.3892882168292999	0.004846294	No	
row_12	ALDH1A3	NA	3624	0.3887653350830078	0.01596986	No	
row_13	NCOA4	NA	3798	0.3750058114528656	0.01608288	No	
row_14	SGK1	NA	3833	0.37112852931022644	0.025008405	No	
row_15	TNFAIP8	NA	3920	0.3642769753932953	0.03038865	No	
row_16	SPDEF	NA	4073	0.3502861559391022	0.031110624	No	
row_17	BMPR1B	NA	4198	0.3373493552207947	0.033243902	No	
row_18	GPD1L	NA	4714	0.29046520590782166	0.008858112	No	
row_19	CDC14B	NA	4717	0.29021674394607544	0.017417096	No	
row_20	AKAP12	NA	4840	0.27845513820648193	0.017915882	No	
row_21	PTPN21	NA	5938	0.19326052069664001	-0.046764046	No	
row_22	CENPN	NA	5995	0.18897545337677002	-0.04470431	No	
row_23	CCND1	NA	6188	0.1737385243177414	-0.05183655	No	
row_24	SLC26A2	NA	6283	0.16586679220199585	-0.052909464	No	
row_25	GNAI3	NA	6333	0.16150978207588196	-0.051222254	No	
row_26	GUCY1A1	NA	6399	0.1575492024421692	-0.05068135	No	
row_27	GSR	NA	6407	0.15716178715229034	-0.046426453	No	
row_28	ELOVL5	NA	6445	0.15373477339744568	-0.044201173	No	
row_29	UBE2I	NA	6514	0.1481093466281891	-0.04413555	No	
row_30	SAT1	NA	6844	0.12433330714702606	-0.061546806	No	
row_31	CCND3	NA	6886	0.120945505797863	-0.060559988	No	
row_32	ACTN1	NA	6964	0.11501308530569077	-0.062063187	No	
row_33	SELENOP	NA	7183	0.09664949029684067	-0.07317313	No	
row_34	XRCC5	NA	7995	0.03567800670862198	-0.124199174	No	
row_35	NDRG1	NA	8047	0.033144135028123856	-0.12648298	No	
row_36	ARID5B	NA	8158	0.025639932602643967	-0.13278124	No	
row_37	TMPRSS2	NA	8169	0.024938274174928665	-0.13267706	No	
row_38	ZBTB10	NA	8369	0.011260057799518108	-0.14512263	No	
row_39	UAP1	NA	8395	0.009679699316620827	-0.14643875	No	
row_40	ANKH	NA	8436	0.006315822247415781	-0.14881906	No	
row_41	HPGD	NA	8458	0.0050026774406433105	-0.15001822	No	
row_42	PDLIM5	NA	8504	0.001701262895949185	-0.15285784	No	
row_43	IQGAP2	NA	9157	-0.03370187431573868	-0.19372977	No	
row_44	VAPA	NA	9179	-0.035290028899908066	-0.19402231	No	
row_45	HOMER2	NA	9348	-0.04655573517084122	-0.20342007	No	
row_46	PLPP1	NA	9650	-0.066664919257164	-0.22075903	No	
row_47	FADS1	NA	9898	-0.08457611501216888	-0.23409317	No	
row_48	DHCR24	NA	9918	-0.0862407311797142	-0.23273207	No	
row_49	MAF	NA	10356	-0.11568866670131683	-0.25733942	No	
row_50	ACSL3	NA	10795	-0.15205654501914978	-0.28092232	No	
row_51	INPP4B	NA	10950	-0.16546130180358887	-0.28586143	No	
row_52	IDI1	NA	10984	-0.16887561976909637	-0.282926	No	
row_53	SMS	NA	11187	-0.18847626447677612	-0.2902594	No	
row_54	ITGAV	NA	11248	-0.19535736739635468	-0.28826556	No	
