NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGFR1	NA	422	0.7696918249130249	0.037792187	Yes	
row_1	VCAN	NA	458	0.757937490940094	0.09935654	Yes	
row_2	JAG1	NA	1435	0.5994612574577332	0.087371655	Yes	
row_3	APP	NA	1791	0.559943437576294	0.11179396	Yes	
row_4	NRP1	NA	1957	0.5412778854370117	0.14680186	Yes	
row_5	THBD	NA	2148	0.5203965306282043	0.17845237	Yes	
row_6	SLCO2A1	NA	2384	0.4961495101451874	0.2051825	Yes	
row_7	POSTN	NA	2857	0.45212313532829285	0.2130423	Yes	
row_8	PTK2	NA	3009	0.44115108251571655	0.24051723	Yes	
row_9	LPL	NA	3862	0.3688225746154785	0.21705095	Yes	
row_10	JAG2	NA	3906	0.36506909132003784	0.24503148	Yes	
row_11	LUM	NA	3910	0.3649218678474426	0.27555895	Yes	
row_12	FSTL1	NA	4034	0.3537338972091675	0.29746655	Yes	
row_13	PDGFA	NA	4628	0.2980004549026489	0.28461018	No	
row_14	STC1	NA	5114	0.25506213307380676	0.27504945	No	
row_15	TNFRSF21	NA	7350	0.08395308256149292	0.1391133	No	
row_16	COL5A2	NA	7419	0.07947206497192383	0.14145245	No	
row_17	VEGFA	NA	7620	0.0653172954916954	0.13415419	No	
row_18	MSX1	NA	7758	0.05528895556926727	0.13004269	No	
row_19	CCND2	NA	9855	-0.08159001916646957	0.0028013343	No	
row_20	ITGAV	NA	11248	-0.19535736739635468	-0.06981853	No	
row_21	COL3A1	NA	11476	-0.22106818854808807	-0.06573311	No	
row_22	LRPAP1	NA	12793	-0.3828505575656891	-0.117706895	No	
row_23	SPP1	NA	13474	-0.48029813170433044	-0.12078387	No	
row_24	VAV2	NA	14415	-0.6445050239562988	-0.12667353	No	
row_25	KCNJ8	NA	14552	-0.6752893924713135	-0.0785289	No	
row_26	VTN	NA	15458	-0.8794233798980713	-0.062403515	No	
row_27	APOH	NA	15515	-0.8910380005836487	0.009021698	No	
