NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MDGA1	NA	677	0.7025704979896545	0.008592461	Yes	
row_1	SRPX	NA	746	0.6901957392692566	0.05525376	Yes	
row_2	GATA3	NA	1042	0.6438772678375244	0.08396075	Yes	
row_3	PCSK9	NA	1214	0.626971960067749	0.119355746	Yes	
row_4	CROCC	NA	1393	0.6039117574691772	0.15259822	Yes	
row_5	ATP6V0A4	NA	1447	0.5978721976280212	0.19339582	Yes	
row_6	THY1	NA	1454	0.5973067283630371	0.23716022	Yes	
row_7	CRYBG1	NA	1514	0.5911900997161865	0.27707988	Yes	
row_8	ADAM10	NA	1692	0.5716643333435059	0.30800286	Yes	
row_9	NCOA6	NA	1750	0.5658217668533325	0.3461755	Yes	
row_10	APP	NA	1791	0.559943437576294	0.38500187	Yes	
row_11	MAL	NA	1849	0.5534544587135315	0.4222604	Yes	
row_12	FLOT2	NA	1992	0.5372934937477112	0.4528834	Yes	
row_13	LYN	NA	2107	0.5240482091903687	0.48431972	Yes	
row_14	AFAP1L2	NA	2152	0.5198423266410828	0.5199261	Yes	
row_15	SULF2	NA	2256	0.5093683004379272	0.5509815	Yes	
row_16	ATP8B1	NA	2407	0.49453723430633545	0.5779322	Yes	
row_17	GAS1	NA	2532	0.48186829686164856	0.6056108	Yes	
row_18	SHROOM2	NA	2580	0.4784831702709198	0.6379681	Yes	
row_19	EFNA5	NA	3515	0.39883285760879517	0.6076594	No	
row_20	IL2RB	NA	3526	0.39755555987358093	0.6364036	No	
row_21	CX3CL1	NA	4845	0.27801644802093506	0.57258433	No	
row_22	RTN4RL1	NA	6480	0.15133823454380035	0.47917405	No	
row_23	DCBLD2	NA	6485	0.15077589452266693	0.4900622	No	
row_24	IL2RG	NA	7301	0.0875084400177002	0.44436017	No	
row_25	SCUBE1	NA	7323	0.08555116504430771	0.4493392	No	
row_26	HSPB1	NA	7901	0.043272461742162704	0.4156025	No	
row_27	RHCG	NA	8637	0.0	0.3685535	No	
row_28	NTNG1	NA	8723	-0.005121474154293537	0.36349097	No	
row_29	AKAP7	NA	9246	-0.038941044360399246	0.3329548	No	
row_30	TMEM8B	NA	9881	-0.0833706334233284	0.29853314	No	
row_31	PKHD1	NA	10429	-0.12123692780733109	0.27247936	No	
row_32	BRCA1	NA	11310	-0.20225313305854797	0.23109758	No	
row_33	ADIPOR2	NA	11454	-0.21864481270313263	0.23810442	No	
row_34	B4GALT1	NA	13025	-0.4168623089790344	0.16841649	No	
