NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL6	NA	16	1.1668540239334106	0.023173744	Yes	
row_1	ANXA1	NA	101	0.9617313146591187	0.03771636	Yes	
row_2	CASP2	NA	154	0.905587911605835	0.053153887	Yes	
row_3	FEZ1	NA	338	0.8051722645759583	0.058077604	Yes	
row_4	MMP2	NA	341	0.8030165433883667	0.07460546	Yes	
row_5	MGMT	NA	420	0.7698327302932739	0.08555377	Yes	
row_6	CDKN1A	NA	432	0.7668855786323547	0.10075296	Yes	
row_7	LEF1	NA	588	0.7215588688850403	0.105744354	Yes	
row_8	GSN	NA	619	0.7148719429969788	0.11864184	Yes	
row_9	F2R	NA	842	0.6715605854988098	0.118284136	Yes	
row_10	TIMP3	NA	876	0.6669901013374329	0.12999536	Yes	
row_11	EMP1	NA	940	0.6582797765731812	0.13959515	Yes	
row_12	EREG	NA	956	0.6562293171882629	0.15224162	Yes	
row_13	WEE1	NA	1034	0.6460354924201965	0.16068642	Yes	
row_14	PMAIP1	NA	1085	0.6395295858383179	0.17073394	Yes	
row_15	PLCB2	NA	1116	0.6361637711524963	0.18199883	Yes	
row_16	BMP2	NA	1175	0.6307079195976257	0.19134851	Yes	
row_17	RARA	NA	1264	0.6199543476104736	0.19854438	Yes	
row_18	CD44	NA	1401	0.6027652025222778	0.20229451	Yes	
row_19	BCL10	NA	1404	0.6025399565696716	0.21466398	Yes	
row_20	CD38	NA	1416	0.6019887924194336	0.2264428	Yes	
row_21	PPP3R1	NA	1464	0.5961838364601135	0.23578429	Yes	
row_22	BCL2L1	NA	1534	0.5897309184074402	0.24357606	Yes	
row_23	HMGB2	NA	1621	0.5779431462287903	0.25002924	Yes	
row_24	PEA15	NA	1658	0.5750026702880859	0.25963932	Yes	
row_25	MADD	NA	1681	0.5726581811904907	0.27010182	Yes	
row_26	APP	NA	1791	0.559943437576294	0.2747014	Yes	
row_27	CFLAR	NA	1946	0.5427187085151672	0.27604756	Yes	
row_28	CAV1	NA	2120	0.5231719613075256	0.27576545	Yes	
row_29	TGFBR3	NA	2234	0.5110164284706116	0.27909273	Yes	
row_30	FAS	NA	2386	0.49600085616111755	0.2796629	Yes	
row_31	IRF1	NA	2495	0.485191285610199	0.2827763	Yes	
