NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NR3C2	NA	162	0.8987966775894165	0.014713174	No	
row_1	ABCG4	NA	1603	0.5802342891693115	-0.06152409	No	
row_2	ABCA5	NA	1863	0.5509810447692871	-0.062756956	No	
row_3	SLC29A1	NA	2756	0.4611697793006897	-0.10713874	No	
row_4	TFCP2L1	NA	2985	0.4431333541870117	-0.1093948	No	
row_5	CROT	NA	3667	0.38595154881477356	-0.14233182	No	
row_6	ABCA3	NA	4253	0.33099988102912903	-0.17064095	No	
row_7	SLC27A2	NA	4342	0.32158011198043823	-0.1673052	No	
row_8	ABCA4	NA	4874	0.2755363881587982	-0.1936972	No	
row_9	EFHC1	NA	5256	0.2444612979888916	-0.21132727	No	
row_10	BMP6	NA	6170	0.17471392452716827	-0.26506132	No	
row_11	PAOX	NA	6366	0.1597316712141037	-0.27311742	No	
row_12	CH25H	NA	6610	0.14128485321998596	-0.2847706	No	
row_13	LCK	NA	6664	0.13681606948375702	-0.28435043	No	
row_14	GSTK1	NA	6978	0.11410880833864212	-0.30125707	No	
row_15	SLC23A2	NA	7028	0.11000491678714752	-0.30132923	No	
row_16	SULT2B1	NA	7070	0.10572408884763718	-0.3010074	No	
row_17	ABCA1	NA	7142	0.10002211481332779	-0.3027709	No	
row_18	ATXN1	NA	7547	0.07045602798461914	-0.32673958	No	
row_19	SLC22A18	NA	7698	0.05945950746536255	-0.3347084	No	
row_20	AKR1D1	NA	7848	0.04816592112183571	-0.34292856	No	
row_21	RBP1	NA	8074	0.03154579550027847	-0.35649243	No	
row_22	GNPAT	NA	8765	-0.007350982632488012	-0.40058595	No	
row_23	NEDD4	NA	8878	-0.014422590844333172	-0.40737352	No	
row_24	BCAR3	NA	8987	-0.021066689863801003	-0.4137186	No	
row_25	SLC23A1	NA	9226	-0.03775408864021301	-0.42794362	No	
row_26	PEX16	NA	9415	-0.05072594806551933	-0.4385961	No	
row_27	PEX1	NA	9479	-0.055520277470350266	-0.44108948	No	
row_28	FADS1	NA	9898	-0.08457611501216888	-0.46556243	No	
row_29	DHCR24	NA	9918	-0.0862407311797142	-0.46437258	No	
row_30	ABCA2	NA	10180	-0.10268037766218185	-0.47826007	No	
row_31	FADS2	NA	10422	-0.12037434428930283	-0.49036914	No	
row_32	ACSL1	NA	10541	-0.13097581267356873	-0.49428523	No	
row_33	RXRG	NA	10762	-0.14970634877681732	-0.5042265	No	
row_34	NR1H4	NA	10783	-0.15117228031158447	-0.5012865	No	
row_35	ALDH1A1	NA	10880	-0.1595161110162735	-0.5029927	No	
row_36	IDI1	NA	10984	-0.16887561976909637	-0.5048868	No	
row_37	PEX12	NA	11166	-0.18714523315429688	-0.5112781	No	
row_38	OPTN	NA	11279	-0.19914841651916504	-0.51290417	No	
row_39	RXRA	NA	11618	-0.23686876893043518	-0.5279857	No	
row_40	PEX11G	NA	11882	-0.26498451828956604	-0.5374666	No	
row_41	PNPLA8	NA	12215	-0.3062848746776581	-0.55022335	No	
row_42	IDH2	NA	12686	-0.3679580092430115	-0.57011664	Yes	
row_43	PEX6	NA	12755	-0.3772701323032379	-0.5639408	Yes	
row_44	AR	NA	12797	-0.38340139389038086	-0.5558602	Yes	
row_45	PEX11A	NA	12818	-0.386182576417923	-0.5463537	Yes	
row_46	SLC35B2	NA	12979	-0.40796810388565063	-0.54522663	Yes	
row_47	AMACR	NA	13387	-0.468352347612381	-0.5582701	Yes	
row_48	PEX19	NA	13456	-0.4771699011325836	-0.54930294	Yes	
row_49	ABCG8	NA	13463	-0.47890883684158325	-0.5363067	Yes	
row_50	MLYCD	NA	13953	-0.5630002021789551	-0.55197	Yes	
row_51	SCP2	NA	14080	-0.5839430689811707	-0.5437431	Yes	
row_52	PEX13	NA	14232	-0.6135579943656921	-0.5362937	Yes	
row_53	FDXR	NA	14309	-0.6260161399841309	-0.52368116	Yes	
row_54	NUDT12	NA	14313	-0.6269449591636658	-0.50635594	Yes	
row_55	GCLM	NA	14358	-0.6342512965202332	-0.4914588	Yes	
row_56	DIO1	NA	14374	-0.6375699639320374	-0.4746071	Yes	
row_57	PECR	NA	14732	-0.7093539237976074	-0.47770652	Yes	
row_58	HACL1	NA	14734	-0.7094497084617615	-0.45794758	Yes	
row_59	ALDH9A1	NA	14763	-0.71497642993927	-0.43976766	Yes	
row_60	GNMT	NA	14884	-0.7460694313049316	-0.42662546	Yes	
row_61	NPC1	NA	14910	-0.7508053183555603	-0.40725183	Yes	
row_62	DIO2	NA	14942	-0.7588099241256714	-0.38803974	Yes	
row_63	NR0B2	NA	14993	-0.7688806056976318	-0.36976606	Yes	
row_64	PEX7	NA	15024	-0.7748292088508606	-0.35004216	Yes	
row_65	HSD17B4	NA	15040	-0.7798200845718384	-0.3292158	Yes	
row_66	IDH1	NA	15149	-0.8074009418487549	-0.31358948	Yes	
row_67	ACSL5	NA	15194	-0.8181083798408508	-0.2935551	Yes	
row_68	ABCD3	NA	15202	-0.8209249377250671	-0.27106658	Yes	
row_69	ALDH8A1	NA	15277	-0.8375070691108704	-0.25241622	Yes	
row_70	HAO1	NA	15279	-0.8379003405570984	-0.22906817	Yes	
row_71	PHYH	NA	15310	-0.8437656760215759	-0.20741808	Yes	
row_72	AGXT	NA	15363	-0.8560951352119446	-0.1868359	Yes	
row_73	SOD1	NA	15410	-0.8658379316329956	-0.16559629	Yes	
row_74	BBOX1	NA	15440	-0.8760855197906494	-0.14297894	Yes	
row_75	AQP9	NA	15473	-0.8814468383789062	-0.12040436	Yes	
row_76	GC	NA	15541	-0.8985040783882141	-0.09960024	Yes	
row_77	APOA1	NA	15595	-0.9297397136688232	-0.07702453	Yes	
row_78	CAT	NA	15601	-0.9325246214866638	-0.05128933	Yes	
row_79	LONP2	NA	15614	-0.9474362134933472	-0.025586894	Yes	
row_80	ABCD2	NA	15636	-1.0099436044692993	0.0012842871	Yes	
