NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD9	NA	374	0.7863677144050598	0.013801885	No	
row_1	ANXA5	NA	578	0.7233499884605408	0.03553453	No	
row_2	ANTXR2	NA	764	0.6846739649772644	0.05656308	No	
row_3	ALCAM	NA	981	0.6534587144851685	0.07410603	No	
row_4	GPX8	NA	1201	0.6280051469802856	0.09023429	No	
row_5	JAG1	NA	1435	0.5994612574577332	0.104094565	No	
row_6	NIBAN1	NA	1767	0.5625802278518677	0.109903924	No	
row_7	PDK3	NA	1817	0.5567384958267212	0.13350269	No	
row_8	PNRC1	NA	3384	0.40930408239364624	0.05281439	No	
row_9	LPL	NA	3862	0.3688225746154785	0.03996273	No	
row_10	NFIL3	NA	4245	0.3320387601852417	0.031431854	No	
row_11	S100A11	NA	4444	0.3132236897945404	0.03378768	No	
row_12	LGMN	NA	5263	0.24372825026512146	-0.0069224755	No	
row_13	AVPR1A	NA	5792	0.20545616745948792	-0.030888135	No	
row_14	PPARG	NA	5839	0.20210860669612885	-0.02412901	No	
row_15	ACTG1	NA	6619	0.14083856344223022	-0.067281626	No	
row_16	ANXA13	NA	7031	0.1097724512219429	-0.088345595	No	
row_17	TP53INP1	NA	7066	0.1063518077135086	-0.085416466	No	
row_18	ATF3	NA	7080	0.10448440909385681	-0.081231385	No	
row_19	HSD17B7	NA	7471	0.07630811631679535	-0.10255691	No	
row_20	LGALS3	NA	8517	9.862673468887806E-4	-0.16947097	No	
row_21	CTNNB1	NA	9020	-0.02369609847664833	-0.20050003	No	
row_22	ALDOC	NA	9315	-0.04418094456195831	-0.21721704	No	
row_23	ERRFI1	NA	10086	-0.09664590656757355	-0.26191542	No	
row_24	ABCA2	NA	10180	-0.10268037766218185	-0.2629432	No	
row_25	FADS2	NA	10422	-0.12037434428930283	-0.27260473	No	
row_26	DHCR7	NA	10644	-0.14013299345970154	-0.28003576	No	
row_27	IDI1	NA	10984	-0.16887561976909637	-0.29364756	No	
row_28	STARD4	NA	11317	-0.20305390655994415	-0.3051693	Yes	
row_29	HMGCR	NA	11467	-0.21957509219646454	-0.30417135	Yes	
row_30	SQLE	NA	11535	-0.22850775718688965	-0.29749	Yes	
row_31	ATXN2	NA	11644	-0.23928585648536682	-0.29291818	Yes	
row_32	TMEM97	NA	11861	-0.26277273893356323	-0.2941388	Yes	
row_33	MAL2	NA	12253	-0.3097224831581116	-0.30431816	Yes	
row_34	SREBF2	NA	12322	-0.32124608755111694	-0.2932469	Yes	
row_35	MVK	NA	12496	-0.3415330946445465	-0.2879295	Yes	
row_36	LSS	NA	12545	-0.34867924451828003	-0.27425918	Yes	
row_37	SC5D	NA	12794	-0.3831941485404968	-0.27174675	Yes	
row_38	FDPS	NA	12963	-0.40526580810546875	-0.26304805	Yes	
row_39	NSDHL	NA	13601	-0.4997314512729645	-0.279865	Yes	
row_40	CPEB2	NA	13801	-0.5341549515724182	-0.26696256	Yes	
row_41	ACSS2	NA	14582	-0.6822029948234558	-0.28417903	Yes	
row_42	PMVK	NA	14799	-0.7240408062934875	-0.26324624	Yes	
row_43	GLDC	NA	14902	-0.7498401999473572	-0.23376946	Yes	
row_44	HMGCS1	NA	15164	-0.8096421957015991	-0.21160896	Yes	
row_45	CHKA	NA	15197	-0.819015622138977	-0.17432444	Yes	
row_46	PCYT2	NA	15260	-0.8346418142318726	-0.13821177	Yes	
row_47	GUSB	NA	15261	-0.8352488875389099	-0.09809712	Yes	
row_48	ACAT2	NA	15291	-0.8405779004096985	-0.05958479	Yes	
row_49	SCD	NA	15318	-0.8457832932472229	-0.020630224	Yes	
row_50	FASN	NA	15456	-0.8791769742965698	0.012815497	Yes	
