NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANXA1	NA	101	0.9617313146591187	0.011731132	No	
row_1	FBN1	NA	233	0.8604981303215027	0.019615484	No	
row_2	S100A13	NA	278	0.8368493914604187	0.032644417	No	
row_3	MMP2	NA	341	0.8030165433883667	0.043875143	No	
row_4	CD9	NA	374	0.7863677144050598	0.056718905	No	
row_5	GSN	NA	619	0.7148719429969788	0.054579712	No	
row_6	DUSP14	NA	687	0.7006610035896301	0.06354949	No	
row_7	CSRP1	NA	715	0.6951974034309387	0.07498709	No	
row_8	MMP11	NA	758	0.6874369382858276	0.08531338	No	
row_9	F3	NA	839	0.6721060276031494	0.09290637	No	
row_10	TIMP3	NA	876	0.6669901013374329	0.103230916	No	
row_11	PDGFB	NA	1135	0.6344895362854004	0.09866859	No	
row_12	KLF7	NA	1326	0.6117880940437317	0.098047405	No	
row_13	SPARC	NA	1425	0.600836992263794	0.103132814	No	
row_14	THBD	NA	2148	0.5203965306282043	0.066580825	No	
row_15	PRSS23	NA	2157	0.5191924571990967	0.07590471	No	
row_16	CRIP2	NA	2219	0.5122169256210327	0.081689365	No	
row_17	PLEK	NA	3040	0.4383058249950409	0.037282027	No	
row_18	PECAM1	NA	3067	0.4358835816383362	0.043870185	No	
row_19	PLAT	NA	3093	0.4337930381298065	0.05048301	No	
row_20	FYN	NA	3120	0.43156152963638306	0.05698927	No	
row_21	CTSH	NA	3354	0.4116725027561188	0.049811892	No	
row_22	F2RL2	NA	3444	0.4036955237388611	0.051740233	No	
row_23	ITGA2	NA	4524	0.307100772857666	-0.011802833	No	
row_24	DPP4	NA	4601	0.30028000473976135	-0.010998415	No	
row_25	CTSE	NA	4672	0.29398027062416077	-0.009927668	No	
row_26	CASP9	NA	4812	0.2806287109851837	-0.013545506	No	
row_27	MEP1A	NA	4838	0.2786312401294708	-0.009872831	No	
row_28	DUSP6	NA	5010	0.26276370882987976	-0.015886277	No	
row_29	LGMN	NA	5263	0.24372825026512146	-0.027467418	No	
row_30	VWF	NA	5290	0.24147266149520874	-0.024563145	No	
row_31	THBS1	NA	5690	0.21395353972911835	-0.046158217	No	
row_32	MSRB2	NA	5973	0.19050933420658112	-0.060676318	No	
row_33	ISCU	NA	5986	0.18970413506031036	-0.05785303	No	
row_34	RAC1	NA	6076	0.1823410987854004	-0.06011912	No	
row_35	GNG12	NA	6119	0.1782933622598648	-0.05944057	No	
row_36	CTSO	NA	6219	0.17083363234996796	-0.062567554	No	
row_37	MAFF	NA	6778	0.12910588085651398	-0.09599154	No	
row_38	S100A1	NA	7191	0.09581273794174194	-0.120660946	No	
row_39	WDR1	NA	7348	0.0840352401137352	-0.12909685	No	
row_40	HMGCS2	NA	7952	0.03895733878016472	-0.16712183	No	
row_41	DCT	NA	8211	0.022649921476840973	-0.18327788	No	
row_42	COMP	NA	8275	0.018658053129911423	-0.18697421	No	
row_43	F8	NA	8318	0.01564093492925167	-0.18937775	No	
row_44	P2RY1	NA	8763	-0.007341314107179642	-0.21778068	No	
row_45	PLAU	NA	8941	-0.017972424626350403	-0.22881837	No	
row_46	MMP9	NA	10037	-0.09363403916358948	-0.29743496	No	
row_47	HTRA1	NA	10263	-0.10873565077781677	-0.30983838	No	
row_48	CTSK	NA	11059	-0.1758122444152832	-0.3576126	No	
row_49	TFPI2	NA	11083	-0.1780630350112915	-0.35571703	No	
row_50	MMP7	NA	11177	-0.18785522878170013	-0.3581358	No	
row_51	LTA4H	NA	11245	-0.1951490342617035	-0.35874492	No	
row_52	ITGB3	NA	11583	-0.23303504288196564	-0.37599283	No	
row_53	CAPN5	NA	11592	-0.23381087183952332	-0.37207663	No	
row_54	CTSB	NA	11638	-0.2383667230606079	-0.3704526	No	
row_55	MMP15	NA	12002	-0.27924400568008423	-0.38849628	No	
row_56	PREP	NA	12282	-0.31392696499824524	-0.4004829	No	
row_57	RABIF	NA	12447	-0.3343488872051239	-0.40468988	No	
row_58	ADAM9	NA	12461	-0.3361935615539551	-0.39915505	No	
row_59	PEF1	NA	12483	-0.33947789669036865	-0.39407226	No	
row_60	HNF4A	NA	12705	-0.37051835656166077	-0.40125805	No	
row_61	SH2B2	NA	12934	-0.4008136987686157	-0.40831977	No	
row_62	PROS1	NA	13063	-0.4215999245643616	-0.40855923	No	
row_63	ARF4	NA	13971	-0.5660184621810913	-0.45613927	Yes	
row_64	CPQ	NA	14041	-0.5770595073699951	-0.44964018	Yes	
row_65	ACOX2	NA	14280	-0.6208257675170898	-0.45317572	Yes	
row_66	C1QA	NA	14285	-0.6224802732467651	-0.44163752	Yes	
row_67	LAMP2	NA	14287	-0.6226782202720642	-0.4299027	Yes	
row_68	GP1BA	NA	14497	-0.6652278304100037	-0.43073267	Yes	
row_69	GDA	NA	14573	-0.6798164248466492	-0.42267215	Yes	
row_70	LRP1	NA	14712	-0.7044949531555176	-0.41819388	Yes	
row_71	CFI	NA	14784	-0.7199519276618958	-0.4091157	Yes	
row_72	A2M	NA	14947	-0.7593495845794678	-0.4051408	Yes	
row_73	C1S	NA	14948	-0.7594339847564697	-0.39075032	Yes	
row_74	MST1	NA	15005	-0.7706705927848816	-0.37974682	Yes	
row_75	PROZ	NA	15119	-0.7989722490310669	-0.3718712	Yes	
row_76	MASP2	NA	15126	-0.8004130125045776	-0.3570899	Yes	
row_77	HRG	NA	15158	-0.8085630536079407	-0.3437613	Yes	
row_78	CFH	NA	15189	-0.816073477268219	-0.33022606	Yes	
row_79	PLG	NA	15204	-0.8214508295059204	-0.3155604	Yes	
row_80	FN1	NA	15206	-0.8216995000839233	-0.30005434	Yes	
row_81	C1R	NA	15236	-0.8283095359802246	-0.28622296	Yes	
row_82	C8G	NA	15265	-0.8358137011528015	-0.27218512	Yes	
row_83	C3	NA	15305	-0.842509925365448	-0.25872752	Yes	
row_84	BMP1	NA	15333	-0.8486091494560242	-0.24438292	Yes	
row_85	CPN1	NA	15347	-0.8524588346481323	-0.2290654	Yes	
row_86	SERPING1	NA	15354	-0.8543881773948669	-0.21326135	Yes	
row_87	C8B	NA	15362	-0.8551357984542847	-0.1975074	Yes	
row_88	F9	NA	15366	-0.856368362903595	-0.18147297	Yes	
row_89	CPB2	NA	15369	-0.8578242063522339	-0.16534667	Yes	
row_90	APOC3	NA	15377	-0.8597642183303833	-0.14950502	Yes	
row_91	C9	NA	15381	-0.8612546324729919	-0.133378	Yes	
row_92	F2	NA	15388	-0.8618596792221069	-0.117432356	Yes	
row_93	TMPRSS6	NA	15395	-0.8629794120788574	-0.1014655	Yes	
row_94	F10	NA	15402	-0.8645796179771423	-0.08546832	Yes	
row_95	C8A	NA	15425	-0.87091463804245	-0.070379645	Yes	
row_96	FURIN	NA	15429	-0.8718607425689697	-0.05405165	Yes	
row_97	FGG	NA	15509	-0.8895481824874878	-0.042274065	Yes	
row_98	FGA	NA	15512	-0.8903008699417114	-0.025532361	Yes	
row_99	SERPINC1	NA	15544	-0.8994197845458984	-0.010482096	Yes	
row_100	APOA1	NA	15595	-0.9297397136688232	0.003921306	Yes	
