NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL6	NA	16	1.1668540239334106	0.01879209	No	
row_1	S100A13	NA	278	0.8368493914604187	0.0161908	No	
row_2	LCP2	NA	281	0.8356156945228577	0.030257773	No	
row_3	IRF2	NA	461	0.7572173476219177	0.0315875	No	
row_4	ANXA5	NA	578	0.7233499884605408	0.036401413	No	
row_5	CSRP1	NA	715	0.6951974034309387	0.039448317	No	
row_6	JAK2	NA	825	0.674197793006897	0.04387827	No	
row_7	F3	NA	839	0.6721060276031494	0.054458648	No	
row_8	PIM1	NA	959	0.6554991006851196	0.057926565	No	
row_9	GATA3	NA	1042	0.6438772678375244	0.06358122	No	
row_10	PDGFB	NA	1135	0.6344895362854004	0.06843202	No	
row_11	PCSK9	NA	1214	0.626971960067749	0.07405723	No	
row_12	AKAP10	NA	1290	0.6158206462860107	0.07968631	No	
row_13	CD59	NA	1372	0.6063234210014343	0.08476741	No	
row_14	HPCAL4	NA	1727	0.5679627656936646	0.071605496	No	
row_15	ZFPM2	NA	2080	0.527133047580719	0.05787881	No	
row_16	VCPIP1	NA	2094	0.5251808166503906	0.06596316	No	
row_17	LYN	NA	2107	0.5240482091903687	0.0740927	No	
row_18	SH2B3	NA	2443	0.49038493633270264	0.060837153	No	
row_19	IRF1	NA	2495	0.485191285610199	0.06579352	No	
row_20	CPM	NA	2551	0.48068785667419434	0.07041564	No	
row_21	GNAI2	NA	2576	0.47864779829978943	0.077000655	No	
row_22	PLA2G4A	NA	2874	0.45094263553619385	0.065523654	No	
row_23	PLEK	NA	3040	0.4383058249950409	0.062337678	No	
row_24	PLAT	NA	3093	0.4337930381298065	0.066356435	No	
row_25	FYN	NA	3120	0.43156152963638306	0.07201265	No	
row_26	CTSH	NA	3354	0.4116725027561188	0.063992485	No	
row_27	KCNIP2	NA	3569	0.39388740062713623	0.05689449	No	
row_28	SIRT6	NA	3840	0.37088286876678467	0.0457972	No	
row_29	DOCK9	NA	3857	0.3694925606250763	0.051043324	No	
row_30	CR1	NA	4009	0.3561684787273407	0.04736408	No	
row_31	PRDM4	NA	4184	0.3392024040222168	0.041914552	No	
row_32	DGKH	NA	4243	0.33218035101890564	0.04382044	No	
row_33	GNB4	NA	4372	0.3192034959793091	0.04099527	No	
row_34	DPP4	NA	4601	0.30028000473976135	0.031404905	No	
row_35	CASP9	NA	4812	0.2806287109851837	0.022640564	No	
row_36	CALM1	NA	4830	0.27930280566215515	0.026290065	No	
row_37	IRF7	NA	4907	0.27335986495018005	0.026036812	No	
row_38	DUSP6	NA	5010	0.26276370882987976	0.023928182	No	
row_39	SCG3	NA	5091	0.256721168756485	0.023134515	No	
row_40	CDH13	NA	5163	0.2511156499385834	0.022825552	No	
row_41	TNFAIP3	NA	5176	0.2502830922603607	0.026304238	No	
row_42	LGMN	NA	5263	0.24372825026512146	0.024903217	No	
row_43	PCLO	NA	5282	0.24222061038017273	0.027858311	No	
row_44	GNG2	NA	5399	0.23444822430610657	0.024366522	No	
row_45	PRKCD	NA	5644	0.2187844216823578	0.012360677	No	
row_46	RNF4	NA	5677	0.2153395712375641	0.013956982	No	
row_47	COL4A2	NA	5907	0.19598111510276794	0.0025302996	No	
row_48	PIK3CA	NA	5970	0.1907888799905777	0.0017764112	No	
row_49	PLA2G7	NA	6123	0.1778619885444641	-0.004996428	No	
row_50	GNGT2	NA	6132	0.17727716267108917	-0.0025002544	No	
row_51	CTSO	NA	6219	0.17083363234996796	-0.0051396433	No	
row_52	ZEB1	NA	6222	0.17059564590454102	-0.0023703561	No	
row_53	DOCK10	NA	6246	0.16883502900600433	-9.841586E-4	No	
row_54	GNAI3	NA	6333	0.16150978207588196	-0.003781946	No	
row_55	DOCK4	NA	6475	0.15175700187683105	-0.01028946	No	
row_56	CD40LG	NA	6565	0.14422747492790222	-0.01357416	No	
row_57	CBLB	NA	6634	0.13899944722652435	-0.0155944945	No	
row_58	LCK	NA	6664	0.13681606948375702	-0.015138874	No	
row_59	MAFF	NA	6778	0.12910588085651398	-0.020226957	No	
row_60	BRPF3	NA	6994	0.11240710318088531	-0.032171316	No	
