NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCNN1A	NA	102	0.9612493515014648	0.008619436	Yes	
row_1	ADD3	NA	119	0.937747061252594	0.022418056	Yes	
row_2	LAD1	NA	158	0.9036892056465149	0.034258023	Yes	
row_3	MPPED2	NA	205	0.8717812299728394	0.045076974	Yes	
row_4	CLIC3	NA	316	0.8147428631782532	0.05086291	Yes	
row_5	OLFML3	NA	339	0.8047910928726196	0.062171433	Yes	
row_6	SIAH2	NA	347	0.8017182946205139	0.07439954	Yes	
row_7	RBBP8	NA	382	0.7845442295074463	0.0846133	Yes	
row_8	SLC24A3	NA	406	0.7749473452568054	0.09538527	Yes	
row_9	ZNF185	NA	410	0.7729337215423584	0.1074163	Yes	
row_10	MYB	NA	546	0.7311552166938782	0.11026659	Yes	
row_11	RAB31	NA	586	0.7217504382133484	0.11916448	Yes	
row_12	TMEM164	NA	645	0.7100352048873901	0.12665072	Yes	
row_13	MLPH	NA	752	0.6887946724891663	0.13070285	Yes	
row_14	CCN5	NA	780	0.6817839741706848	0.13974318	Yes	
row_15	FOS	NA	823	0.6744786500930786	0.14769979	Yes	
row_16	JAK2	NA	825	0.674197793006897	0.15829831	Yes	
row_17	ITPK1	NA	826	0.6740561127662659	0.16895914	Yes	
row_18	DLC1	NA	903	0.6630872488021851	0.17454104	Yes	
row_19	TIAM1	NA	976	0.6539502143859863	0.18023661	Yes	
row_20	SLC7A5	NA	1032	0.6461343765258789	0.18690583	Yes	
row_21	PMAIP1	NA	1085	0.6395295858383179	0.19366424	Yes	
row_22	BCL2	NA	1134	0.6345571875572205	0.20060217	Yes	
row_23	MUC1	NA	1159	0.6326371431350708	0.20905884	Yes	
row_24	RARA	NA	1264	0.6199543476104736	0.21215129	Yes	
row_25	TBC1D30	NA	1268	0.619479238986969	0.2217553	Yes	
row_26	ELF1	NA	1282	0.6178255081176758	0.2306877	Yes	
row_27	CD44	NA	1401	0.6027652025222778	0.23260464	Yes	
row_28	TPD52L1	NA	1419	0.6013752818107605	0.24101868	Yes	
row_29	ENDOD1	NA	1442	0.5982189774513245	0.24906008	Yes	
row_30	CALB2	NA	1489	0.5940420031547546	0.2554863	Yes	
row_31	SYBU	NA	1635	0.576936662197113	0.25525203	Yes	
row_32	GAB2	NA	2146	0.5208674073219299	0.23057196	Yes	
row_33	PRSS23	NA	2157	0.5191924571990967	0.23813802	Yes	
row_34	OPN3	NA	2165	0.5183910727500916	0.24588503	Yes	
row_35	PODXL	NA	2189	0.5155944228172302	0.2525551	Yes	
row_36	OLFM1	NA	2204	0.5138061046600342	0.25977778	Yes	
row_37	CBFA2T3	NA	2693	0.46692755818367004	0.23566459	No	
row_38	MYOF	NA	2748	0.4623550474643707	0.23949172	No	
row_39	TIPARP	NA	2780	0.45877939462661743	0.24474683	No	
row_40	MYBL1	NA	2925	0.44803228974342346	0.24253836	No	
row_41	TTC39A	NA	3096	0.43364524841308594	0.23842417	No	
row_42	THSD4	NA	3118	0.43168389797210693	0.2438962	No	
row_43	SLC2A1	NA	3172	0.4282796382904053	0.24724895	No	
row_44	INHBB	NA	3200	0.4257217347621918	0.2522394	No	
row_45	TMPRSS3	NA	3328	0.41457295417785645	0.25059903	No	
row_46	RET	NA	3362	0.41119539737701416	0.25497246	No	
row_47	CELSR1	NA	3554	0.3947780728340149	0.24888809	No	
row_48	FARP1	NA	3719	0.3811071515083313	0.24433023	No	
row_49	TFAP2C	NA	3738	0.37939098477363586	0.24916884	No	
row_50	SLC39A6	NA	3886	0.36658358573913574	0.24547854	No	
row_51	TGIF2	NA	3930	0.36342960596084595	0.24845107	No	
row_52	KLF4	NA	4066	0.3513343036174774	0.24529414	No	
row_53	ABCA3	NA	4253	0.33099988102912903	0.2385238	No	
row_54	SLC27A2	NA	4342	0.32158011198043823	0.2379299	No	
row_55	KLF10	NA	4437	0.31388068199157715	0.23682696	No	
row_56	MAST4	NA	4467	0.3115493059158325	0.23988259	No	
row_57	OVOL2	NA	4551	0.304005891084671	0.23933347	No	
row_58	CHPT1	NA	4666	0.2949050962924957	0.2366395	No	
row_59	FHL2	NA	4757	0.28612998127937317	0.23535584	No	
row_60	TGM2	NA	4776	0.28438878059387207	0.2386919	No	
