NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTPRG	NA	831	0.6733480095863342	-0.03908575	No	
row_1	IL4I1	NA	878	0.6665433645248413	-0.027802108	No	
row_2	LGALS1	NA	998	0.6515205502510071	-0.02153705	No	
row_3	LTC4S	NA	1025	0.6474176645278931	-0.009375116	No	
row_4	ODC1	NA	1630	0.5771580338478088	-0.035908937	No	
row_5	GAD2	NA	1845	0.5536951422691345	-0.037847627	No	
row_6	CA6	NA	2069	0.5288771390914917	-0.040895812	No	
row_7	CA4	NA	2797	0.457229882478714	-0.07790751	No	
row_8	RAP1GDS1	NA	3087	0.4339810311794281	-0.08723069	No	
row_9	SUCLG2	NA	3696	0.3825213313102722	-0.118181214	No	
row_10	BMPR1B	NA	4198	0.3373493552207947	-0.14321159	No	
row_11	ENO2	NA	4403	0.31615716218948364	-0.14958286	No	
row_12	MGLL	NA	5004	0.2633526921272278	-0.18256517	No	
row_13	CPOX	NA	5581	0.2222066968679428	-0.21488234	No	
row_14	SERINC1	NA	5888	0.1973051279783249	-0.23035714	No	
row_15	UROS	NA	5958	0.19222843647003174	-0.23068945	No	
row_16	MCEE	NA	5971	0.19065338373184204	-0.22738747	No	
row_17	UBE2L6	NA	5974	0.19049276411533356	-0.22344543	No	
row_18	YWHAH	NA	6323	0.16283853352069855	-0.24235946	No	
row_19	ELOVL5	NA	6445	0.15373477339744568	-0.24686056	No	
row_20	REEP6	NA	6666	0.13660359382629395	-0.25809842	No	
row_21	HSD17B7	NA	7471	0.07630811631679535	-0.30820522	No	
row_22	FABP1	NA	7612	0.06594106554985046	-0.31580508	No	
row_23	ACAA2	NA	7881	0.04420331120491028	-0.3321063	No	
row_24	HMGCS2	NA	7952	0.03895733878016472	-0.3357783	No	
row_25	NBN	NA	8027	0.03409765288233757	-0.33981156	No	
row_26	HPGD	NA	8458	0.0050026774406433105	-0.36737517	No	
row_27	HADH	NA	8530	6.582977221114561E-5	-0.37194264	No	
row_28	CRAT	NA	8775	-0.008091093972325325	-0.38747114	No	
row_29	ECI1	NA	8833	-0.011934354901313782	-0.39088407	No	
row_30	MDH2	NA	9002	-0.021756500005722046	-0.40122995	No	
row_31	IDH3B	NA	9107	-0.029736675322055817	-0.40728688	No	
row_32	ETFDH	NA	9166	-0.03449725732207298	-0.41028202	No	
row_33	G0S2	NA	9173	-0.034881409257650375	-0.40992272	No	
row_34	ACADL	NA	9233	-0.0381450392305851	-0.4129042	No	
row_35	CEL	NA	9384	-0.04823578894138336	-0.42152596	No	
row_36	CPT2	NA	9568	-0.06059595197439194	-0.4320071	No	
row_37	ACADS	NA	9600	-0.06255695223808289	-0.43266514	No	
row_38	ACO2	NA	9629	-0.0651857852935791	-0.43307394	No	
row_39	SUCLG1	NA	9697	-0.06982720643281937	-0.43589324	No	
row_40	DLST	NA	9732	-0.07210243493318558	-0.43654034	No	
row_41	DHCR24	NA	9918	-0.0862407311797142	-0.44660217	No	
row_42	HSDL2	NA	10291	-0.11078204214572906	-0.46817303	No	
row_43	SDHA	NA	10525	-0.12937143445014954	-0.480402	No	
row_44	ACSL1	NA	10541	-0.13097581267356873	-0.47856835	No	
row_45	ALAD	NA	10592	-0.13665945827960968	-0.47886547	No	
row_46	SUCLA2	NA	10647	-0.14045235514640808	-0.47933897	No	
row_47	CPT1A	NA	10713	-0.14603325724601746	-0.48040107	No	
row_48	FH	NA	10852	-0.15689153969287872	-0.48592868	No	
row_49	GPD2	NA	10877	-0.1588340550661087	-0.48407885	No	
row_50	ALDH1A1	NA	10880	-0.1595161110162735	-0.48079878	No	
row_51	TP53INP2	NA	10931	-0.16329419612884521	-0.48052675	No	
row_52	HSP90AA1	NA	10951	-0.16548725962638855	-0.478213	No	
row_53	GABARAPL1	NA	10963	-0.16651253402233124	-0.47536254	No	
row_54	PTS	NA	10968	-0.1672717183828354	-0.47204542	No	
row_55	IDI1	NA	10984	-0.16887561976909637	-0.46940187	No	
row_56	SLC22A5	NA	11136	-0.18337778747081757	-0.47520003	No	
row_57	SMS	NA	11187	-0.18847626447677612	-0.47438988	No	
row_58	ALDH3A2	NA	11290	-0.20006059110164642	-0.47667837	No	
row_59	AADAT	NA	11389	-0.2116452157497406	-0.47846192	No	
row_60	ADIPOR2	NA	11454	-0.21864481270313263	-0.477908	No	
row_61	ACOT8	NA	11545	-0.22983692586421967	-0.47878796	No	
row_62	SDHC	NA	11710	-0.24730370938777924	-0.4840566	No	
row_63	BPHL	NA	11721	-0.24855026602745056	-0.47938868	No	
row_64	UROD	NA	11759	-0.2524344325065613	-0.47637522	No	
row_65	EPHX1	NA	12128	-0.2951219379901886	-0.49374944	No	
row_66	CD36	NA	12166	-0.29918569326400757	-0.4897369	No	
row_67	SDHD	NA	12300	-0.3179440498352051	-0.49150115	No	
row_68	DECR1	NA	12434	-0.3326737880706787	-0.49295062	No	
row_69	HSPH1	NA	12448	-0.3343569338321686	-0.4866421	No	
row_70	ACSS1	NA	12504	-0.342984139919281	-0.48285192	No	
row_71	DLD	NA	12665	-0.36363062262535095	-0.4853773	No	
row_72	ADH1C	NA	12727	-0.37319353222846985	-0.48132768	No	
row_73	ACAA1	NA	12828	-0.3871487081050873	-0.47948948	No	
row_74	PDHA1	NA	12867	-0.39201581478118896	-0.47355756	No	
row_75	ECHS1	NA	13005	-0.4132421910762787	-0.47354272	No	
row_76	HIBCH	NA	13481	-0.4811261296272278	-0.49382755	Yes	
row_77	NSDHL	NA	13601	-0.4997314512729645	-0.49080616	Yes	
row_78	METAP1	NA	13696	-0.5145713686943054	-0.4858589	Yes	
row_79	PRDX6	NA	13708	-0.5175153613090515	-0.47550768	Yes	
row_80	MDH1	NA	13783	-0.5296847224235535	-0.46895042	Yes	
row_81	MLYCD	NA	13953	-0.5630002021789551	-0.4677945	Yes	
row_82	PPARA	NA	13967	-0.565272331237793	-0.45655143	Yes	
row_83	ACOX1	NA	14101	-0.5889469385147095	-0.45252445	Yes	
row_84	PDHB	NA	14168	-0.6020015478134155	-0.44390705	Yes	
row_85	KMT5A	NA	14261	-0.6174319386482239	-0.436633	Yes	
row_86	CIDEA	NA	14423	-0.6456096768379211	-0.43319696	Yes	
row_87	TDO2	NA	14498	-0.6654955744743347	-0.42373753	Yes	
row_88	NTHL1	NA	14539	-0.671815812587738	-0.4119551	Yes	
row_89	BLVRA	NA	14602	-0.6850044131278992	-0.40130657	Yes	
row_90	ERP29	NA	14738	-0.7106942534446716	-0.3948066	Yes	
row_91	UGDH	NA	14751	-0.7121537923812866	-0.38036036	Yes	
row_92	OSTC	NA	14761	-0.7148516774177551	-0.36566344	Yes	
row_93	ALDH9A1	NA	14763	-0.71497642993927	-0.35044906	Yes	
row_94	ECI2	NA	14766	-0.715583086013794	-0.33528605	Yes	
row_95	CRYZ	NA	14920	-0.7532608509063721	-0.32903475	Yes	
row_96	AUH	NA	14956	-0.7611706852912903	-0.31502113	Yes	
row_97	D2HGDH	NA	14966	-0.7643908262252808	-0.29926556	Yes	
row_98	ACSL4	NA	14983	-0.7669196128845215	-0.28390643	Yes	
row_99	HSD17B4	NA	15040	-0.7798200845718384	-0.2708456	Yes	
row_100	ADSL	NA	15106	-0.7952685952186584	-0.2580338	Yes	
row_101	GLUL	NA	15142	-0.8062977194786072	-0.24305584	Yes	
row_102	IDH1	NA	15149	-0.8074009418487549	-0.22618812	Yes	
row_103	HMGCS1	NA	15164	-0.8096421957015991	-0.20978731	Yes	
row_104	ACSL5	NA	15194	-0.8181083798408508	-0.19417085	Yes	
row_105	MIF	NA	15275	-0.8372710347175598	-0.18142672	Yes	
row_106	EHHADH	NA	15288	-0.8396949768066406	-0.16425501	Yes	
row_107	ACAT2	NA	15291	-0.8405779004096985	-0.14642091	Yes	
row_108	BCKDHB	NA	15317	-0.8453793525695801	-0.12996428	Yes	
row_109	GRHPR	NA	15353	-0.8542537093162537	-0.11396149	Yes	
row_110	HMGCL	NA	15393	-0.8626330494880676	-0.09803705	Yes	
row_111	PCBD1	NA	15415	-0.8671215176582336	-0.08085838	Yes	
row_112	FASN	NA	15456	-0.8791769742965698	-0.064644754	Yes	
row_113	GSTZ1	NA	15477	-0.882897675037384	-0.04706461	Yes	
row_114	ME1	NA	15516	-0.891107976436615	-0.030467317	Yes	
row_115	HAO2	NA	15539	-0.8978007435798645	-0.012697403	Yes	
row_116	GPD1	NA	15612	-0.9434849619865417	0.0028312593	Yes	
