NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SHH	NA	120	0.936738133430481	0.04980526	Yes	
row_1	OPHN1	NA	238	0.859327495098114	0.095052	Yes	
row_2	NRCAM	NA	354	0.7996265888214111	0.13676302	Yes	
row_3	DPYSL2	NA	368	0.7887415885925293	0.18433447	Yes	
row_4	NRP2	NA	466	0.7556265592575073	0.22449736	Yes	
row_5	LDB1	NA	482	0.7483100891113281	0.2694596	Yes	
row_6	CNTFR	NA	561	0.728443443775177	0.3091704	Yes	
row_7	CRMP1	NA	599	0.7195139527320862	0.3509574	Yes	
row_8	GLI1	NA	809	0.6764652729034424	0.37909386	Yes	
row_9	HEY2	NA	1161	0.6322832703590393	0.3954304	Yes	
row_10	THY1	NA	1454	0.5973067283630371	0.41339672	Yes	
row_11	SLIT1	NA	1575	0.5843214988708496	0.44157487	Yes	
row_12	UNC5C	NA	1899	0.5473756790161133	0.4544929	Yes	
row_13	NRP1	NA	1957	0.5412778854370117	0.4840618	Yes	
row_14	NKX6-1	NA	2202	0.5141705870628357	0.49999845	Yes	
row_15	RASA1	NA	2217	0.5125306844711304	0.53055537	Yes	
row_16	CELSR1	NA	3554	0.3947780728340149	0.46927264	No	
row_17	MYH9	NA	3927	0.36366894841194153	0.46778077	No	
row_18	RTN1	NA	4535	0.3063209056854248	0.44772857	No	
row_19	NF1	NA	4591	0.30076032876968384	0.4626654	No	
row_20	HEY1	NA	4793	0.28267401456832886	0.46714774	No	
row_21	AMOT	NA	4877	0.2752962112426758	0.47872978	No	
row_22	ETS2	NA	5515	0.22627656161785126	0.4518453	No	
row_23	PML	NA	6838	0.12456996738910675	0.3748765	No	
row_24	VEGFA	NA	7620	0.0653172954916954	0.32889768	No	
row_25	TLE3	NA	7748	0.055895861238241196	0.32419938	No	
row_26	PTCH1	NA	8730	-0.00556946313008666	0.26175317	No	
row_27	VLDLR	NA	9257	-0.03970174863934517	0.23052342	No	
row_28	SCG2	NA	9990	-0.09160659462213516	0.18929413	No	
row_29	CDK5R1	NA	13910	-0.5546947121620178	-0.027497407	No	
row_30	TLE1	NA	14153	-0.5992660522460938	-0.0062106336	No	
row_31	PLG	NA	15204	-0.8214508295059204	-0.023004135	No	
row_32	CDK6	NA	15316	-0.8452282547950745	0.021761384	No	
