NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SH3BGRL2	NA	27	1.1169270277023315	0.015444566	Yes	
row_1	HOPX	NA	44	1.0521196126937866	0.03060187	Yes	
row_2	PNP	NA	57	1.0217108726501465	0.045549426	Yes	
row_3	WLS	NA	186	0.8851275444030762	0.050907984	Yes	
row_4	SWAP70	NA	191	0.881488025188446	0.064214155	Yes	
row_5	NCS1	NA	268	0.8423214554786682	0.07227036	Yes	
row_6	ST3GAL4	NA	282	0.8352038264274597	0.084283404	Yes	
row_7	NT5E	NA	387	0.7830028533935547	0.089619555	Yes	
row_8	KLF6	NA	674	0.7042567729949951	0.08199672	Yes	
row_9	TRAF1	NA	884	0.6653296947479248	0.07874485	Yes	
row_10	MXD1	NA	893	0.6642335653305054	0.088449724	Yes	
row_11	EMP1	NA	940	0.6582797765731812	0.09561026	Yes	
row_12	PIM1	NA	959	0.6554991006851196	0.104535274	Yes	
row_13	TIAM1	NA	976	0.6539502143859863	0.11356554	Yes	
row_14	ALCAM	NA	981	0.6534587144851685	0.123362795	Yes	
row_15	CKAP4	NA	1010	0.6492817997932434	0.13154668	Yes	
row_16	COL6A1	NA	1028	0.6470556259155273	0.14040631	Yes	
row_17	SOCS2	NA	1095	0.6379122138023376	0.14596252	Yes	
row_18	LRRC8C	NA	1108	0.6368213295936584	0.1549874	Yes	
row_19	BCL2	NA	1134	0.6345571875572205	0.16313833	Yes	
row_20	MUC1	NA	1159	0.6326371431350708	0.17132428	Yes	
row_21	BMP2	NA	1175	0.6307079195976257	0.18006144	Yes	
row_22	GLIPR2	NA	1238	0.6231129765510559	0.1856481	Yes	
row_23	SOCS1	NA	1281	0.6178377866744995	0.1924445	Yes	
row_24	CD44	NA	1401	0.6027652025222778	0.19403897	Yes	
row_25	BCL2L1	NA	1534	0.5897309184074402	0.19459377	Yes	
row_26	SYT11	NA	1570	0.5846591591835022	0.20133144	Yes	
row_27	ODC1	NA	1630	0.5771580338478088	0.20640458	Yes	
row_28	CST7	NA	1694	0.5712637305259705	0.21112885	Yes	
row_29	SHE	NA	1918	0.5458640456199646	0.205135	Yes	
row_30	NRP1	NA	1957	0.5412778854370117	0.21101147	Yes	
row_31	DCPS	NA	2185	0.5160192847251892	0.20430021	Yes	
row_32	SLC39A8	NA	2362	0.4985411763191223	0.2006118	Yes	
row_33	TWSG1	NA	2489	0.4860137701034546	0.19995788	Yes	
row_34	CDC42SE2	NA	2512	0.48370814323425293	0.2059812	Yes	
row_35	PHLDA1	NA	2788	0.45788127183914185	0.19527712	Yes	
row_36	P4HA1	NA	2803	0.4565710425376892	0.2013992	Yes	
row_37	PRNP	NA	2807	0.45638540387153625	0.20822844	Yes	
row_38	RABGAP1L	NA	2912	0.4485829770565033	0.20841852	Yes	
row_39	DENND5A	NA	2948	0.44576963782310486	0.21301895	Yes	
row_40	PENK	NA	3077	0.43466976284980774	0.21144585	Yes	
row_41	MYO1C	NA	3313	0.41611191630363464	0.20268086	Yes	
row_42	PDCD2L	NA	3381	0.40967869758605957	0.20466046	Yes	
row_43	F2RL2	NA	3444	0.4036955237388611	0.20687072	Yes	
row_44	IL2RB	NA	3526	0.39755555987358093	0.20776014	Yes	
row_45	BMPR2	NA	3533	0.3969285786151886	0.21348082	Yes	
row_46	RHOH	NA	3546	0.39534857869148254	0.2187899	Yes	
row_47	FGL2	NA	3560	0.3943186402320862	0.22401859	Yes	
row_48	TNFRSF8	NA	3822	0.3723260164260864	0.21290164	No	
row_49	IRF8	NA	3828	0.3718439042568207	0.21830085	No	
row_50	NCOA3	NA	4124	0.345653235912323	0.2045789	No	
row_51	DRC1	NA	4162	0.3415001630783081	0.20744574	No	
row_52	NFIL3	NA	4245	0.3320387601852417	0.20726244	No	
row_53	IL10	NA	4284	0.3268471360206604	0.20983925	No	
row_54	CD83	NA	4341	0.3216063976287842	0.2111736	No	
row_55	POU2F1	NA	4391	0.3170008659362793	0.2128889	No	
row_56	BATF3	NA	4405	0.3160367012023926	0.21691298	No	
row_57	CTLA4	NA	4596	0.300703763961792	0.2092766	No	
row_58	CD48	NA	4619	0.29889020323753357	0.21245594	No	
row_59	TNFRSF4	NA	4624	0.29836466908454895	0.21678899	No	
row_60	LIF	NA	4657	0.2956450581550598	0.21927294	No	
row_61	IL2RA	NA	4727	0.28958919644355774	0.21927552	No	
row_62	TGM2	NA	4776	0.28438878059387207	0.22055352	No	
row_63	MAP6	NA	4857	0.27721917629241943	0.21965575	No	
row_64	CD79B	NA	4898	0.27419403195381165	0.22129324	No	
row_65	IRF4	NA	5064	0.25854310393333435	0.21462174	No	
row_66	TLR7	NA	5099	0.2562904357910156	0.21637098	No	
row_67	ANXA4	NA	5182	0.249993696808815	0.21492518	No	
row_68	TNFSF11	NA	5233	0.2463696449995041	0.21548906	No	
row_69	IGF1R	NA	5291	0.2414465695619583	0.21552536	No	
row_70	ABCB1	NA	5433	0.233078733086586	0.2100111	No	
row_71	ITIH5	NA	5817	0.2037051022052765	0.18842487	No	
row_72	CDCP1	NA	5886	0.1974341720342636	0.18707392	No	
row_73	MAP3K8	NA	6240	0.16912966966629028	0.16689199	No	
row_74	ARL4A	NA	6281	0.16592508554458618	0.16686344	No	
row_75	P2RX4	NA	6410	0.15671125054359436	0.16101313	No	
row_76	ADAM19	NA	6419	0.15617571771144867	0.16289999	No	
row_77	TNFSF10	NA	6512	0.14814570546150208	0.1592415	No	
row_78	IL10RA	NA	6752	0.13049253821372986	0.1458232	No	
row_79	MAFF	NA	6778	0.12910588085651398	0.14619625	No	
row_80	CCND3	NA	6886	0.120945505797863	0.14115101	No	
row_81	CYFIP1	NA	7062	0.10650844126939774	0.13149454	No	
row_82	CASP3	NA	7068	0.10607504844665527	0.1328041	No	
row_83	S100A1	NA	7191	0.09581273794174194	0.12640394	No	
row_84	IKZF2	NA	7203	0.09442740678787231	0.12714699	No	
row_85	IFNGR1	NA	7214	0.09336208552122116	0.1279382	No	
row_86	TNFRSF21	NA	7350	0.08395308256149292	0.12051645	No	
row_87	MYO1E	NA	7382	0.08195855468511581	0.119776726	No	
row_88	CD86	NA	7384	0.08190277218818665	0.12097251	No	
row_89	PTGER2	NA	7639	0.06346207112073898	0.10555456	No	
row_90	ECM1	NA	7709	0.058561861515045166	0.102002084	No	
