NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL6	NA	16	1.1668540239334106	0.022623569	Yes	
row_1	SLC7A1	NA	49	1.0435150861740112	0.041716177	Yes	
row_2	LCP2	NA	281	0.8356156945228577	0.043775424	Yes	
row_3	CDKN1A	NA	432	0.7668855786323547	0.049659118	Yes	
row_4	HBEGF	NA	433	0.766474187374115	0.06519693	Yes	
row_5	SPHK1	NA	522	0.7357349395751953	0.07444296	Yes	
row_6	KLF6	NA	674	0.7042567729949951	0.07899264	Yes	
row_7	ABI1	NA	675	0.7037099003791809	0.093258105	Yes	
row_8	GPR132	NA	697	0.6984896063804626	0.106065005	Yes	
row_9	NDP	NA	709	0.6966567635536194	0.11947891	Yes	
row_10	F3	NA	839	0.6721060276031494	0.124794	Yes	
row_11	KCNMB2	NA	868	0.6677388548851013	0.1365266	Yes	
row_12	MXD1	NA	893	0.6642335653305054	0.14844583	Yes	
row_13	EREG	NA	956	0.6562293171882629	0.15775496	Yes	
row_14	LAMP3	NA	1014	0.648396372795105	0.16722739	Yes	
row_15	ATP2C1	NA	1036	0.6448674201965332	0.17894727	Yes	
row_16	ATP2B1	NA	1060	0.6421023607254028	0.19048226	Yes	
row_17	LPAR1	NA	1071	0.6404454112052917	0.20282108	Yes	
row_18	PTPRE	NA	1162	0.6322336196899414	0.20984012	Yes	
row_19	EDN1	NA	1532	0.5898250341415405	0.19802728	Yes	
row_20	CALCRL	NA	1722	0.5681546926498413	0.19737011	Yes	
row_21	NMUR1	NA	1867	0.5508260726928711	0.19926038	Yes	
row_22	SRI	NA	1967	0.5401667952537537	0.20383331	Yes	
row_23	LYN	NA	2107	0.5240482091903687	0.20550284	Yes	
row_24	SLC1A2	NA	2338	0.501044511795044	0.20084414	Yes	
row_25	IRF1	NA	2495	0.485191285610199	0.20063089	Yes	
row_26	PDPN	NA	2702	0.46585479378700256	0.19680482	Yes	
row_27	IL15RA	NA	2875	0.450916588306427	0.19486609	Yes	
row_28	PTGER4	NA	2911	0.448733925819397	0.20170817	Yes	
