NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL6	NA	16	1.1668540239334106	0.025831286	Yes	
row_1	PNP	NA	57	1.0217108726501465	0.04677677	Yes	
row_2	TOR1B	NA	100	0.9663318395614624	0.06631871	Yes	
row_3	LCP2	NA	281	0.8356156945228577	0.07397011	Yes	
row_4	CIITA	NA	302	0.8235076069831848	0.091640115	Yes	
row_5	ST8SIA4	NA	385	0.7837074398994446	0.104403704	Yes	
row_6	CDKN1A	NA	432	0.7668855786323547	0.11909695	Yes	
row_7	IRF2	NA	461	0.7572173476219177	0.13472609	Yes	
row_8	JAK2	NA	825	0.674197793006897	0.12688406	Yes	
row_9	PIM1	NA	959	0.6554991006851196	0.13341402	Yes	
row_10	SOCS1	NA	1281	0.6178377866744995	0.12697764	Yes	
row_11	CD38	NA	1416	0.6019887924194336	0.13221142	Yes	
row_12	TNFAIP2	NA	1906	0.5465653538703918	0.11332214	Yes	
row_13	MARCHF1	NA	1940	0.5430400967597961	0.123699114	Yes	
row_14	SRI	NA	1967	0.5401667952537537	0.13446045	Yes	
row_15	FAS	NA	2386	0.49600085616111755	0.11897662	Yes	
row_16	IRF1	NA	2495	0.485191285610199	0.12319504	Yes	
row_17	RSAD2	NA	2614	0.4747723340988159	0.12653004	Yes	
row_18	TRAFD1	NA	2789	0.4577914774417877	0.12587005	Yes	
row_19	PLA2G4A	NA	2874	0.45094263553619385	0.13084467	Yes	
row_20	IL15RA	NA	2875	0.450916588306427	0.14122479	Yes	
row_21	RNF213	NA	2924	0.44803953170776367	0.14844947	Yes	
row_22	PTGS2	NA	3091	0.43383240699768066	0.14775282	Yes	
row_23	ZNFX1	NA	3102	0.433199405670166	0.1570815	Yes	
row_24	NOD1	NA	3293	0.4177924692630768	0.15447101	Yes	
row_25	EIF4E3	NA	3296	0.4176497459411621	0.1639566	Yes	
row_26	USP18	NA	3465	0.4023742973804474	0.16240707	Yes	
row_27	IL2RB	NA	3526	0.39755555987358093	0.16769731	Yes	
row_28	FGL2	NA	3560	0.3943186402320862	0.17465071	Yes	
row_29	HIF1A	NA	3751	0.3780045807361603	0.17112431	Yes	
row_30	SSPN	NA	3799	0.3749713897705078	0.17673132	Yes	
row_31	IRF8	NA	3828	0.3718439042568207	0.18348914	Yes	
row_32	IL7	NA	3917	0.3644842505455017	0.18621606	Yes	
row_33	NFKBIA	NA	4038	0.3534841239452362	0.18663026	Yes	
row_34	TRIM14	NA	4040	0.3534024655818939	0.19470124	Yes	
row_35	NCOA3	NA	4124	0.345653235912323	0.19731645	Yes	
row_36	ST3GAL5	NA	4129	0.34501320123672485	0.20500124	Yes	
row_37	DDX58	NA	4137	0.344224750995636	0.2124748	Yes	
row_38	HELZ2	NA	4218	0.3355626165866852	0.21505079	Yes	
row_39	TNFAIP6	NA	4320	0.32365235686302185	0.21600108	Yes	
row_40	TDRD7	NA	4329	0.32306385040283203	0.22292316	Yes	
row_41	CMPK2	NA	4612	0.2996484041213989	0.21167202	Yes	
row_42	EPSTI1	NA	4790	0.28290286660194397	0.20679303	Yes	
row_43	IFIH1	NA	4799	0.28194892406463623	0.21276863	Yes	
row_44	GPR18	NA	4836	0.27868375182151794	0.21686704	Yes	
row_45	IRF7	NA	4907	0.27335986495018005	0.2186547	Yes	
row_46	IRF4	NA	5064	0.25854310393333435	0.21456647	Yes	
row_47	MTHFD2	NA	5067	0.25843164324760437	0.22038686	Yes	
row_48	CMKLR1	NA	5151	0.25223031640052795	0.22085147	Yes	
row_49	TNFAIP3	NA	5176	0.2502830922603607	0.22506839	Yes	
row_50	DHX58	NA	5292	0.2414323389530182	0.22322497	No	
row_51	P2RY14	NA	5652	0.21746350824832916	0.20512633	No	
row_52	STAT2	NA	5682	0.21507759392261505	0.20821103	No	
row_53	AUTS2	NA	5825	0.20306354761123657	0.20374668	No	
row_54	UBE2L6	NA	5974	0.19049276411533356	0.1986068	No	
row_55	STAT4	NA	6019	0.18754224479198456	0.20009226	No	
row_56	IFI35	NA	6230	0.17016160488128662	0.19049414	No	
row_57	ARL4A	NA	6281	0.16592508554458618	0.19109581	No	
row_58	RIPK1	NA	6350	0.1602633148431778	0.19040872	No	
row_59	UPP1	NA	6421	0.15583135187625885	0.18949087	No	
row_60	RAPGEF6	NA	6509	0.14876405894756317	0.18731625	No	
row_61	TNFSF10	NA	6512	0.14814570546150208	0.19059785	No	
row_62	RIPK2	NA	6524	0.14724698662757874	0.19327955	No	
row_63	PTPN1	NA	6648	0.1378127634525299	0.18853591	No	
row_64	IL10RA	NA	6752	0.13049253821372986	0.18491095	No	
row_65	CD74	NA	6766	0.12964630126953125	0.18705876	No	
row_66	PML	NA	6838	0.12456996738910675	0.18535691	No	
row_67	CASP3	NA	7068	0.10607504844665527	0.17306072	No	
row_68	ADAR	NA	7321	0.08574813604354858	0.15881632	No	
row_69	CD86	NA	7384	0.08190277218818665	0.15671152	No	
row_70	CD40	NA	7454	0.07754560559988022	0.1540559	No	
row_71	SPPL2A	NA	7558	0.06926045566797256	0.14902136	No	
row_72	PFKP	NA	7668	0.06119779497385025	0.14341508	No	
row_73	CMTR1	NA	7750	0.05574283376336098	0.13948525	No	
row_74	IL15	NA	7865	0.046003557741642	0.13320741	No	
row_75	ARID5B	NA	8158	0.025639932602643967	0.115005	No	
row_76	CSF2RB	NA	8181	0.024179156869649887	0.11414572	No	
row_77	STAT1	NA	8307	0.016492320224642754	0.10648058	No	
row_78	IFNAR2	NA	8366	0.01142654288560152	0.10301083	No	
row_79	LATS2	NA	8850	-0.012713826261460781	0.072218426	No	
row_80	OGFR	NA	8876	-0.014384156093001366	0.07094059	No	
row_81	SLC25A28	NA	9328	-0.04523138701915741	0.042956203	No	
row_82	PDE4B	NA	9343	-0.046293940395116806	0.043120876	No	
row_83	PTPN2	NA	9567	-0.06048222631216049	0.030161267	No	
row_84	WARS1	NA	9798	-0.0767623707652092	0.01712592	No	
row_85	NMI	NA	10564	-0.13308236002922058	-0.029044656	No	
row_86	EIF2AK2	NA	10680	-0.14369693398475647	-0.03313796	No	
row_87	VCAM1	NA	10725	-0.146663635969162	-0.032593522	No	
row_88	SOD2	NA	10817	-0.15441852807998657	-0.034895413	No	
row_89	PNPT1	NA	10845	-0.15637844800949097	-0.03303325	No	
row_90	BPGM	NA	10873	-0.15864214301109314	-0.03111898	No	
row_91	IFI30	NA	11114	-0.18148890137672424	-0.0423871	No	
row_92	BTG1	NA	11408	-0.21428947150707245	-0.056311145	No	
row_93	VAMP8	NA	11439	-0.21748965978622437	-0.053235278	No	
row_94	CASP7	NA	11445	-0.21787340939044952	-0.048541617	No	
row_95	MYD88	NA	11468	-0.21963748335838318	-0.044901438	No	
row_96	GZMA	NA	11525	-0.22711308300495148	-0.043277353	No	
row_97	LYSMD2	NA	11943	-0.2709876596927643	-0.063876644	No	
row_98	IL4R	NA	12078	-0.28774726390838623	-0.06587671	No	
row_99	PTPN6	NA	12431	-0.33247196674346924	-0.08087733	No	
row_100	STAT3	NA	12487	-0.3399742543697357	-0.07659082	No	
row_101	XAF1	NA	12536	-0.34781986474990845	-0.07167319	No	
row_102	SOCS3	NA	12858	-0.39088553190231323	-0.08333403	No	
row_103	NUP93	NA	13369	-0.46566030383110046	-0.105437264	No	
row_104	LAP3	NA	13525	-0.48801398277282715	-0.10417871	No	
row_105	PSMB2	NA	13720	-0.5192816853523254	-0.10471035	No	
row_106	NFKB1	NA	13920	-0.5556042194366455	-0.10472763	No	
row_107	NAMPT	NA	14048	-0.578922688961029	-0.09957433	No	
row_108	SAMHD1	NA	14170	-0.6021391153335571	-0.09350042	No	
row_109	PELI1	NA	14304	-0.6252217888832092	-0.08766746	No	
row_110	PSMA2	NA	14521	-0.669080913066864	-0.08616659	No	
row_111	VAMP5	NA	14905	-0.7503622770309448	-0.09354247	No	
row_112	C1S	NA	14948	-0.7594339847564697	-0.07876333	No	
row_113	CFH	NA	15189	-0.816073477268219	-0.07542329	No	
row_114	C1R	NA	15236	-0.8283095359802246	-0.05931606	No	
row_115	SERPING1	NA	15354	-0.8543881773948669	-0.047177944	No	
row_116	PARP12	NA	15373	-0.8586181998252869	-0.028570974	No	
row_117	GCH1	NA	15480	-0.8833862543106079	-0.015057378	No	
row_118	PSMA3	NA	15650	-1.143363118171692	3.863188E-4	No	
