NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EDAR	NA	53	1.0351587533950806	0.02286741	Yes	
row_1	HTR1B	NA	416	0.7707450985908508	0.0191277	Yes	
row_2	GRID2	NA	496	0.7429237961769104	0.032902136	Yes	
row_3	CNTFR	NA	561	0.728443443775177	0.04727471	Yes	
row_4	WNT16	NA	816	0.6751912832260132	0.048062548	Yes	
row_5	NGB	NA	1012	0.6489673852920532	0.05198325	Yes	
row_6	IFNG	NA	1151	0.6331086754798889	0.059171185	Yes	
row_7	IGFBP2	NA	1291	0.6157993078231812	0.0658553	Yes	
row_8	ATP6V1B1	NA	1318	0.6126117706298828	0.0797338	Yes	
row_9	INSL5	NA	1374	0.6063017249107361	0.09158499	Yes	
row_10	MAST3	NA	1439	0.5985191464424133	0.10265915	Yes	
row_11	DLK2	NA	1491	0.5938729047775269	0.11445234	Yes	
row_12	EDN1	NA	1532	0.5898250341415405	0.12685098	Yes	
row_13	ABCG4	NA	1603	0.5802342891693115	0.13707465	Yes	
row_14	KLHDC8A	NA	1838	0.5544034242630005	0.13608369	Yes	
row_15	PKP1	NA	1865	0.5509377717971802	0.14839646	Yes	
row_16	LFNG	NA	2084	0.5265941023826599	0.14772965	Yes	
row_17	KCNMB1	NA	2400	0.4948338270187378	0.14001136	Yes	
row_18	RIBC2	NA	2528	0.48241525888442993	0.14408183	Yes	
row_19	SSTR4	NA	2550	0.4807048738002777	0.1549335	Yes	
row_20	RSAD2	NA	2614	0.4747723340988159	0.16293047	Yes	
row_21	CLSTN3	NA	2747	0.4623693525791168	0.16617012	Yes	
row_22	SNCB	NA	2861	0.45189088582992554	0.17036703	Yes	
row_23	TFCP2L1	NA	2985	0.4431333541870117	0.17369778	Yes	
row_24	DCC	NA	3079	0.43451377749443054	0.17874122	Yes	
row_25	RGS11	NA	3100	0.43332546949386597	0.18845443	Yes	
row_26	TLX1	NA	3148	0.4294256865978241	0.19633032	Yes	
row_27	CAPN9	NA	3202	0.42569130659103394	0.2037251	Yes	
row_28	NRIP2	NA	3342	0.4128769040107727	0.2052576	Yes	
row_29	CCNA1	NA	3537	0.39646750688552856	0.20283243	Yes	
row_30	TGFB2	NA	3769	0.3765343129634857	0.19751903	Yes	
row_31	SGK1	NA	3833	0.37112852931022644	0.20288478	Yes	
row_32	IRS4	NA	3839	0.3708900213241577	0.2119787	Yes	
row_33	MTHFR	NA	3924	0.36371245980262756	0.21580413	Yes	
row_34	HTR1D	NA	3938	0.3626890480518341	0.22417478	Yes	
row_35	BMPR1B	NA	4198	0.3373493552207947	0.21606387	No	
row_36	MFSD6	NA	4630	0.29790008068084717	0.19587754	No	
row_37	SMPX	NA	4761	0.28584912419319153	0.19476461	No	
row_38	KCNQ2	NA	4770	0.2851654887199402	0.20148909	No	
row_39	TENT5C	NA	4818	0.2800050377845764	0.2055716	No	
row_40	TENM2	NA	4870	0.2761997580528259	0.20929998	No	
row_41	PNMT	NA	4894	0.27446678280830383	0.2147871	No	
row_42	MYO15A	NA	5008	0.26308807730674744	0.21419084	No	
row_43	ARHGDIG	NA	5115	0.2548453211784363	0.21383601	No	
row_44	GPR19	NA	5230	0.24683021008968353	0.21276264	No	
row_45	PTGFR	NA	5261	0.243813157081604	0.21702087	No	
row_46	PTPRJ	NA	5281	0.24226705729961395	0.22194806	No	
row_47	HSD11B2	NA	5351	0.23787803947925568	0.22354466	No	
row_48	BTG2	NA	5523	0.22593910992145538	0.21827108	No	
row_49	SLC30A3	NA	6001	0.18852052092552185	0.19234627	No	
row_50	SYNPO	NA	6278	0.166240856051445	0.17879689	No	
row_51	PLAG1	NA	6335	0.1613249033689499	0.17928702	No	
row_52	CD40LG	NA	6565	0.14422747492790222	0.16820478	No	
row_53	CAMK1D	NA	6616	0.14095479249954224	0.16856405	No	
row_54	PDE6B	NA	6639	0.13835185766220093	0.17065999	No	
row_55	SNN	NA	6716	0.1330266296863556	0.16914402	No	
row_56	SLC6A14	NA	6777	0.1291622370481491	0.16856009	No	
row_57	RYR2	NA	6969	0.11470512300729752	0.15917493	No	
row_58	SELENOP	NA	7183	0.09664949029684067	0.14791496	No	
row_59	SOX10	NA	7312	0.08653393387794495	0.14187077	No	
row_60	CALCB	NA	7398	0.081088587641716	0.13845679	No	
row_61	NR6A1	NA	7595	0.06704353541135788	0.12753974	No	
row_62	GDNF	NA	7602	0.06665310263633728	0.12884557	No	
row_63	CDKAL1	NA	7726	0.05738120898604393	0.12238318	No	
row_64	NOS1	NA	7776	0.05409383028745651	0.120601684	No	
row_65	PDCD1	NA	7809	0.051134634763002396	0.11983959	No	
row_66	BARD1	NA	7833	0.04878076910972595	0.119597174	No	
row_67	CHRNG	NA	7891	0.04362678900361061	0.11703489	No	
row_68	FGF16	NA	8144	0.026429979130625725	0.1014813	No	
row_69	SLC29A3	NA	8194	0.023582959547638893	0.09892523	No	
row_70	EGF	NA	8364	0.011650041677057743	0.08834023	No	
row_71	ACTC1	NA	8387	0.01013273186981678	0.08718104	No	
row_72	P2RY4	NA	8767	-0.007572454400360584	0.06297205	No	
row_73	ITGB1BP2	NA	8773	-0.008052181452512741	0.06285455	No	
row_74	ARPP21	NA	8978	-0.02044300176203251	0.050239366	No	
row_75	CLPS	NA	9060	-0.026437917724251747	0.04569551	No	
row_76	MYOT	NA	9067	-0.026784516870975494	0.045989193	No	
row_77	COQ8A	NA	9088	-0.02848106250166893	0.04542458	No	
row_78	ZBTB16	NA	9181	-0.035376232117414474	0.04039943	No	
row_79	PAX3	NA	9195	-0.036086540669202805	0.04047858	No	
row_80	FGGY	NA	9238	-0.03839191794395447	0.038749147	No	
row_81	EFHD1	NA	9318	-0.044389158487319946	0.034789786	No	
row_82	THNSL2	NA	9351	-0.046629056334495544	0.033913303	No	
row_83	TFAP2B	NA	9368	-0.04769511893391609	0.034094013	No	
row_84	CACNG1	NA	9488	-0.0558909997344017	0.027851325	No	
row_85	SHOX2	NA	9611	-0.0634634867310524	0.021607729	No	
row_86	NTF3	NA	9641	-0.0658256784081459	0.021411741	No	
row_87	ASB7	NA	10028	-0.09344359487295151	-0.001067912	No	
row_88	KCNE2	NA	10209	-0.1048843041062355	-0.009994177	No	
row_89	THRB	NA	10252	-0.10788684338331223	-0.009959334	No	
row_90	GPR3	NA	10324	-0.11306729167699814	-0.011660087	No	
row_91	VPS50	NA	10405	-0.11904511600732803	-0.013788528	No	
row_92	GTF3C5	NA	10438	-0.1217975988984108	-0.012756698	No	
row_93	CPB1	NA	10439	-0.12183870375156403	-0.009663562	No	
row_94	ZC2HC1C	NA	10549	-0.1321280151605606	-0.013326979	No	
row_95	CPA2	NA	10554	-0.13238383829593658	-0.010223665	No	
row_96	CHST2	NA	10561	-0.13269199430942535	-0.0072412943	No	
row_97	CD80	NA	11040	-0.1736023724079132	-0.0336092	No	
row_98	SKIL	NA	11264	-0.1974923014640808	-0.04295289	No	
row_99	CLDN16	NA	11366	-0.20902696251869202	-0.044149	No	
row_100	TG	NA	11390	-0.21179768443107605	-0.040252876	No	
row_101	SLC16A7	NA	11559	-0.23108617961406708	-0.04520264	No	
row_102	NR4A2	NA	11741	-0.2503141164779663	-0.05050124	No	
row_103	CELSR2	NA	11878	-0.26420268416404724	-0.052550007	No	
row_104	FGF22	NA	11932	-0.2702791094779968	-0.049100704	No	
