NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GFPT2	NA	125	0.9298676252365112	0.009371099	Yes	
row_1	IGFBP3	NA	340	0.8035131096839905	0.010633679	Yes	
row_2	SPRY2	NA	369	0.7886278629302979	0.023612557	Yes	
row_3	APOD	NA	398	0.7791585922241211	0.03641391	Yes	
row_4	CXCR4	NA	421	0.7698079943656921	0.049426917	Yes	
row_5	HBEGF	NA	433	0.766474187374115	0.06308682	Yes	
row_6	PRRX1	NA	590	0.7208319902420044	0.06653985	Yes	
row_7	MMP11	NA	758	0.6874369382858276	0.0686574	Yes	
row_8	TRAF1	NA	884	0.6653296947479248	0.073069125	Yes	
row_9	EMP1	NA	940	0.6582797765731812	0.081863075	Yes	
row_10	TMEM100	NA	947	0.6573274731636047	0.09379923	Yes	
row_11	EREG	NA	956	0.6562293171882629	0.10558582	Yes	
row_12	TRIB2	NA	961	0.6553982496261597	0.11761479	Yes	
row_13	SPON1	NA	999	0.651498019695282	0.12744243	Yes	
row_14	IKZF1	NA	1078	0.6399960517883301	0.13441032	Yes	
row_15	F13A1	NA	1155	0.6327501535415649	0.14137134	Yes	
row_16	BMP2	NA	1175	0.6307079195976257	0.15197006	Yes	
row_17	TMEM158	NA	1336	0.6104094386100769	0.15309499	Yes	
row_18	ADGRA2	NA	1614	0.5790961384773254	0.14608742	Yes	
row_19	NRP1	NA	1957	0.5412778854370117	0.13417894	Yes	
row_20	ETS1	NA	2158	0.5191676020622253	0.13101369	Yes	
row_21	USP12	NA	2337	0.5010464191436768	0.12892753	Yes	
row_22	TPH1	NA	2383	0.49636271595954895	0.13533087	Yes	
row_23	ID2	NA	2491	0.4858686327934265	0.13753904	Yes	
row_24	GPNMB	NA	2498	0.48489147424697876	0.14624248	Yes	
row_25	GYPC	NA	2513	0.4836317300796509	0.1544064	Yes	
row_26	SNAP91	NA	2515	0.48346230387687683	0.16340551	Yes	
row_27	TSPAN1	NA	2753	0.4613436758518219	0.15677005	Yes	
row_28	RABGAP1L	NA	2912	0.4485829770565033	0.15499015	Yes	
row_29	CAB39L	NA	3025	0.439613938331604	0.1560087	Yes	
row_30	PECAM1	NA	3067	0.4358835816383362	0.1615362	Yes	
row_31	PTGS2	NA	3091	0.43383240699768066	0.16818608	Yes	
row_32	PLAT	NA	3093	0.4337930381298065	0.17625403	Yes	
row_33	BTBD3	NA	3140	0.4302586615085602	0.18135363	Yes	
row_34	FGF9	NA	3194	0.4263242781162262	0.18592802	Yes	
row_35	FBXO4	NA	3429	0.40501150488853455	0.17842996	Yes	
row_36	AVL9	NA	3437	0.4043505787849426	0.18555899	Yes	
row_37	GALNT3	NA	3514	0.398834228515625	0.18813471	Yes	
row_38	JUP	NA	3559	0.39432090520858765	0.19268955	Yes	
row_39	MAP3K1	NA	3588	0.39195024967193604	0.1982318	Yes	
row_40	ALDH1A3	NA	3624	0.3887653350830078	0.20326291	Yes	
row_41	CROT	NA	3667	0.38595154881477356	0.20778982	Yes	
row_42	ERO1A	NA	3742	0.37910017371177673	0.21012458	Yes	
row_43	MPZL2	NA	3791	0.37527933716773987	0.21406448	Yes	
row_44	IRF8	NA	3828	0.3718439042568207	0.21871385	Yes	
