NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OPHN1	NA	238	0.859327495098114	1.3231028E-4	Yes	
row_1	STK38L	NA	375	0.7863426804542542	0.005535697	Yes	
row_2	MARCKS	NA	407	0.774901807308197	0.017514298	Yes	
row_3	TLK1	NA	564	0.7280338406562805	0.020573936	Yes	
row_4	GSN	NA	619	0.7148719429969788	0.029983979	Yes	
row_5	TUBGCP5	NA	661	0.7073582410812378	0.040098086	Yes	
row_6	ABI1	NA	675	0.7037099003791809	0.05195481	Yes	
row_7	PKD2	NA	757	0.6876868605613708	0.059130527	Yes	
row_8	CKAP5	NA	840	0.6718567609786987	0.065956056	Yes	
row_9	KIF3C	NA	890	0.6646952033042908	0.074783735	Yes	
row_10	TIAM1	NA	976	0.6539502143859863	0.08109243	Yes	
row_11	WASL	NA	1172	0.6307662725448608	0.07987828	Yes	
row_12	PREX1	NA	1223	0.6257843375205994	0.087939344	Yes	
row_13	KATNA1	NA	1375	0.6061884164810181	0.08912358	Yes	
row_14	CEP250	NA	1519	0.5907412767410278	0.09054581	Yes	
row_15	KATNB1	NA	1679	0.5727145671844482	0.09060942	Yes	
row_16	KLC1	NA	1706	0.5697365403175354	0.09920935	Yes	
row_17	ARAP3	NA	1787	0.5604130625724792	0.10415338	Yes	
row_18	RABGAP1	NA	1801	0.5588677525520325	0.11339686	Yes	
row_19	CDC42EP2	NA	1826	0.556070864200592	0.12187941	Yes	
row_20	TSC1	NA	1847	0.5536572933197021	0.13057677	Yes	
row_21	PALLD	NA	1862	0.5511936545372009	0.1396172	Yes	
row_22	DST	NA	1876	0.549766480922699	0.14869648	Yes	
row_23	WASF2	NA	1952	0.5417338013648987	0.15362643	Yes	
row_24	KIF3B	NA	2205	0.5137903094291687	0.14662033	Yes	
row_25	RASA1	NA	2217	0.5125306844711304	0.15515697	Yes	
row_26	ARHGAP5	NA	2262	0.5086826682090759	0.16149281	Yes	
row_27	DLGAP5	NA	2353	0.49932780861854553	0.16468886	Yes	
row_28	TPX2	NA	2379	0.4966610372066498	0.17203496	Yes	
row_29	CLIP2	NA	2382	0.49636510014533997	0.18086122	Yes	
row_30	MID1	NA	2437	0.49107474088668823	0.1862335	Yes	
row_31	EPB41	NA	2479	0.4872127175331116	0.19237573	Yes	
row_32	CCDC88A	NA	2518	0.48311328887939453	0.19863778	Yes	
row_33	SHROOM2	NA	2580	0.4784831702709198	0.20333079	Yes	
row_34	RHOF	NA	2607	0.4761066436767578	0.21024145	Yes	
row_35	EPB41L2	NA	2665	0.46975240111351013	0.21503527	Yes	
row_36	SMC4	NA	2679	0.4687992334365845	0.22265373	Yes	
row_37	BCL2L11	NA	2910	0.448742538690567	0.21589495	Yes	
row_38	NCK2	NA	2935	0.4471259117126465	0.22241192	Yes	
row_39	NEDD9	NA	2976	0.4435637891292572	0.22783123	Yes	
row_40	SPTBN1	NA	2980	0.44344785809516907	0.23563817	Yes	
row_41	SPTAN1	NA	3164	0.42876097559928894	0.23155446	Yes	
row_42	ANLN	NA	3173	0.42821675539016724	0.23876368	Yes	
row_43	CENPJ	NA	3231	0.42365702986717224	0.24272585	Yes	
row_44	ARHGEF3	NA	3332	0.41417446732521057	0.2437397	Yes	
row_45	ABL1	NA	3419	0.4058741629123688	0.245508	Yes	
row_46	CEP57	NA	3520	0.3984890878200531	0.24623886	Yes	
row_47	MYH10	NA	3626	0.3887138366699219	0.2464704	Yes	
row_48	EZR	NA	3657	0.38664302229881287	0.25150862	Yes	
row_49	FARP1	NA	3719	0.3811071515083313	0.25444478	Yes	
row_50	HOOK3	NA	3779	0.3759705126285553	0.2574174	Yes	
row_51	CDC42BPA	NA	3872	0.368092805147171	0.25811654	Yes	
row_52	RALBP1	NA	3903	0.365398645401001	0.26277146	Yes	
row_53	PPP4R2	NA	3912	0.36473965644836426	0.26883543	Yes	
row_54	MYH9	NA	3927	0.36366894841194153	0.27449253	Yes	
row_55	VCL	NA	3959	0.3612128496170044	0.27900735	Yes	
row_56	RASAL2	NA	3996	0.3581034243106842	0.2831431	Yes	
