NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PNP	NA	57	1.0217108726501465	0.010311026	No	
row_1	ADD3	NA	119	0.937747061252594	0.01921406	No	
row_2	CD9	NA	374	0.7863677144050598	0.013584526	No	
row_3	CXCR4	NA	421	0.7698079943656921	0.02115625	No	
row_4	CDKN1A	NA	432	0.7668855786323547	0.031012036	No	
row_5	SERPINH1	NA	600	0.7190732955932617	0.030077532	No	
row_6	SLC7A5	NA	1032	0.6461343765258789	0.011100982	No	
row_7	TES	NA	1052	0.6425729990005493	0.018673472	No	
row_8	NIBAN1	NA	1767	0.5625802278518677	-0.01971708	No	
row_9	RIT1	NA	1821	0.5564835071563721	-0.015518424	No	
row_10	AK4	NA	2088	0.5262050032615662	-0.025485195	No	
row_11	POLR3G	NA	2312	0.5036827921867371	-0.032984387	No	
row_12	MLLT11	NA	2419	0.4930207133293152	-0.033076324	No	
row_13	HPRT1	NA	2468	0.4881207346916199	-0.029491005	No	
row_14	P4HA1	NA	2803	0.4565710425376892	-0.04480124	No	
row_15	SKAP2	NA	2879	0.45055586099624634	-0.043473378	No	
row_16	SLC2A1	NA	3172	0.4282796382904053	-0.056459595	No	
row_17	CDC25A	NA	3216	0.4246244728565216	-0.053420976	No	
row_18	FGL2	NA	3560	0.3943186402320862	-0.07016468	No	
row_19	GGA2	NA	3595	0.39086952805519104	-0.067007266	No	
row_20	TBK1	NA	3650	0.38739079236984253	-0.06518865	No	
row_21	ERO1A	NA	3742	0.37910017371177673	-0.065872185	No	
row_22	BUB1	NA	4093	0.3484621047973633	-0.08369574	No	
row_23	NFIL3	NA	4245	0.3320387601852417	-0.08889718	No	
row_24	MCM2	NA	4318	0.32389208674430847	-0.08911012	No	
row_25	PITPNB	NA	4543	0.30501100420951843	-0.09939439	No	
row_26	SYTL2	NA	4680	0.2931775152683258	-0.104159616	No	
row_27	MTHFD2	NA	5067	0.25843164324760437	-0.12554008	No	
row_28	STC1	NA	5114	0.25506213307380676	-0.12501703	No	
row_29	LGMN	NA	5263	0.24372825026512146	-0.1312341	No	
row_30	EEF1E1	NA	5306	0.23992742598056793	-0.13066007	No	
row_31	IFRD1	NA	5480	0.22961826622486115	-0.13868429	No	
row_32	BTG2	NA	5523	0.22593910992145538	-0.1383018	No	
row_33	EDEM1	NA	5687	0.2144472301006317	-0.14588818	No	
row_34	MTHFD2L	NA	5929	0.19406157732009888	-0.15878923	No	
row_35	TXNRD1	NA	6069	0.18290165066719055	-0.16525818	No	
row_36	GTF2H1	NA	6326	0.16260473430156708	-0.17955835	No	
row_37	GSR	NA	6407	0.15716178715229034	-0.18257087	No	
row_38	ELOVL5	NA	6445	0.15373477339744568	-0.18285434	No	
row_39	GLA	NA	6569	0.1438114494085312	-0.18882567	No	
row_40	CACYBP	NA	6575	0.1434440016746521	-0.1871842	No	
row_41	AURKA	NA	6649	0.13777513802051544	-0.1900103	No	
row_42	TFRC	NA	6754	0.13034935295581818	-0.19493936	No	
row_43	DDIT4	NA	6937	0.11715617030858994	-0.20508459	No	
row_44	ACTR3	NA	7119	0.10124950110912323	-0.2153831	No	
row_45	SLA	NA	7599	0.06688708066940308	-0.24539036	No	
row_46	ATP2A2	NA	7718	0.05813983082771301	-0.25221202	No	
row_47	RRM2	NA	7904	0.043148480355739594	-0.26356438	No	
row_48	CCNG1	NA	7928	0.040990374982357025	-0.2644879	No	
row_49	DDIT3	NA	8081	0.031094878911972046	-0.27387488	No	
row_50	PLK1	NA	8368	0.011286255903542042	-0.29218385	No	
row_51	RRP9	NA	8654	-6.369539914885536E-5	-0.31058195	No	
row_52	SLC1A4	NA	9010	-0.022474119439721107	-0.3331922	No	
row_53	VLDLR	NA	9257	-0.03970174863934517	-0.34852976	No	
row_54	ATP5MC1	NA	9297	-0.04306728020310402	-0.3504578	No	
row_55	UNG	NA	9456	-0.053831763565540314	-0.35992077	No	
row_56	GOT1	NA	9542	-0.058846887201070786	-0.36460236	No	
row_57	WARS1	NA	9798	-0.0767623707652092	-0.38001344	No	
row_58	HSPA4	NA	9819	-0.07868695259094238	-0.3802271	No	
row_59	IGFBP5	NA	9889	-0.08413528650999069	-0.38352948	No	
row_60	FADS1	NA	9898	-0.08457611501216888	-0.38288778	No	
row_61	DHCR24	NA	9918	-0.0862407311797142	-0.38293344	No	
row_62	SLC7A11	NA	10087	-0.09672795236110687	-0.39245462	No	
row_63	SLC9A3R1	NA	10212	-0.10509050637483597	-0.3990207	No	
row_64	CTSC	NA	10240	-0.10718349367380142	-0.39929605	No	
row_65	GCLC	NA	10322	-0.1127147376537323	-0.4029818	No	
row_66	FADS2	NA	10422	-0.12037434428930283	-0.40772465	No	
row_67	ATP6V1D	NA	10604	-0.13716915249824524	-0.41753128	No	
row_68	DHCR7	NA	10644	-0.14013299345970154	-0.41813013	No	
row_69	DAPP1	NA	10652	-0.1409088671207428	-0.41665247	No	
row_70	GBE1	NA	10701	-0.1453808695077896	-0.4177605	No	
row_71	NUP205	NA	10740	-0.14764942228794098	-0.41819182	No	
row_72	ACSL3	NA	10795	-0.15205654501914978	-0.41959578	No	
row_73	IDI1	NA	10984	-0.16887561976909637	-0.4294201	No	
row_74	PNO1	NA	10990	-0.16952301561832428	-0.42742154	No	
row_75	IFI30	NA	11114	-0.18148890137672424	-0.43287694	No	
row_76	COPS5	NA	11134	-0.18295492231845856	-0.43159825	No	
row_77	NFYC	NA	11230	-0.19398133456707	-0.43507493	No	
row_78	LTA4H	NA	11245	-0.1951490342617035	-0.43330646	No	
row_79	STARD4	NA	11317	-0.20305390655994415	-0.43510956	No	
row_80	PGM1	NA	11383	-0.21100018918514252	-0.43641648	No	
row_81	EIF2S2	NA	11418	-0.21530361473560333	-0.43566316	No	
row_82	ADIPOR2	NA	11454	-0.21864481270313263	-0.4349287	No	
row_83	HMGCR	NA	11467	-0.21957509219646454	-0.4326966	No	
row_84	SQLE	NA	11535	-0.22850775718688965	-0.4338929	No	
row_85	UCHL5	NA	11645	-0.23937749862670898	-0.43765178	No	
row_86	IMMT	NA	11686	-0.24468135833740234	-0.43688354	No	
row_87	ARPC5L	NA	11706	-0.2469046711921692	-0.43472916	No	
row_88	MCM4	NA	11801	-0.2563233971595764	-0.4372876	No	
row_89	CCNF	NA	11849	-0.2616908550262451	-0.43673834	No	
row_90	HSPA9	NA	11856	-0.2620231509208679	-0.4335377	No	
row_91	TMEM97	NA	11861	-0.26277273893356323	-0.43019763	No	
row_92	MAP2K3	NA	11915	-0.26893994212150574	-0.42993647	No	
row_93	PPIA	NA	12109	-0.29249194264411926	-0.43839085	No	
row_94	PSMG1	NA	12164	-0.2990855276584625	-0.43778145	No	
row_95	SEC11A	NA	12262	-0.311114102602005	-0.4397833	No	
row_96	TUBG1	NA	12288	-0.3151378333568573	-0.4370819	No	
row_97	SRD5A1	NA	12627	-0.35827329754829407	-0.45399642	Yes	
row_98	NUFIP1	NA	12628	-0.3582743704319	-0.4490904	Yes	
row_99	BCAT1	NA	12680	-0.36629870533943176	-0.4473669	Yes	
row_100	SLC6A6	NA	12730	-0.37342870235443115	-0.4454167	Yes	
row_101	UBE2D3	NA	12739	-0.3749334514141083	-0.440799	Yes	
row_102	SC5D	NA	12794	-0.3831941485404968	-0.43903783	Yes	
row_103	TCEA1	NA	12888	-0.39471420645713806	-0.43963668	Yes	
row_104	ITGB2	NA	12955	-0.40393197536468506	-0.43836623	Yes	
row_105	ACTR2	NA	13012	-0.4141327440738678	-0.43631053	Yes	
row_106	SQSTM1	NA	13183	-0.4398006200790405	-0.44126293	Yes	
row_107	PSMD12	NA	13250	-0.44953083992004395	-0.4393681	Yes	
row_108	EGLN3	NA	13278	-0.4531981945037842	-0.4349053	Yes	
row_109	GSK3B	NA	13284	-0.45398515462875366	-0.4290114	Yes	
row_110	M6PR	NA	13301	-0.4569270610809326	-0.4237874	Yes	
row_111	HSPD1	NA	13323	-0.45921680331230164	-0.4188548	Yes	
row_112	RPN1	NA	13370	-0.4656788110733032	-0.41544768	Yes	
row_113	PSMC6	NA	13619	-0.5023343563079834	-0.4245793	Yes	
row_114	RPA1	NA	13659	-0.5080955624580383	-0.42013943	Yes	
row_115	GAPDH	NA	13702	-0.5156261920928955	-0.4157901	Yes	
row_116	EPRS1	NA	13831	-0.540640115737915	-0.41665024	Yes	
row_117	CTH	NA	13918	-0.5552392601966858	-0.41459903	Yes	
row_118	NMT1	NA	13936	-0.5606542825698853	-0.40801919	Yes	
row_119	DHFR	NA	13984	-0.5679365992546082	-0.40327635	Yes	
row_120	NAMPT	NA	14048	-0.578922688961029	-0.399416	Yes	
row_121	PSMA4	NA	14098	-0.5886927843093872	-0.39451805	Yes	
row_122	UFM1	NA	14276	-0.6203323006629944	-0.39745024	Yes	
row_123	FDXR	NA	14309	-0.6260161399841309	-0.39094374	Yes	
row_124	PPA1	NA	14333	-0.6289326548576355	-0.38381627	Yes	
row_125	PSME3	NA	14351	-0.6332716345787048	-0.376242	Yes	
row_126	PSMD14	NA	14384	-0.6396142840385437	-0.3695493	Yes	
row_127	PDK1	NA	14402	-0.6423963308334351	-0.3618501	Yes	
row_128	BHLHE40	NA	14416	-0.6448467373847961	-0.35385916	Yes	
row_129	TPI1	NA	14427	-0.6461021304130554	-0.34565732	Yes	
row_130	PHGDH	NA	14465	-0.6567167639732361	-0.33905318	Yes	
row_131	PSMC2	NA	14532	-0.6709401607513428	-0.33412647	Yes	
row_132	PLOD2	NA	14558	-0.6761971116065979	-0.3264809	Yes	
row_133	XBP1	NA	14566	-0.678077757358551	-0.31764752	Yes	
row_134	SERP1	NA	14649	-0.6935899257659912	-0.31344357	Yes	
row_135	CANX	NA	14650	-0.6940710544586182	-0.30393928	Yes	
row_136	INSIG1	NA	14848	-0.7370219826698303	-0.30656475	Yes	
row_137	RAB1A	NA	14891	-0.7468364834785461	-0.29904935	Yes	
row_138	QDPR	NA	14917	-0.752038836479187	-0.29036525	Yes	
row_139	ASNS	NA	14960	-0.7622534036636353	-0.28263873	Yes	
row_140	ENO1	NA	15076	-0.7880640625953674	-0.2792715	Yes	
row_141	PSPH	NA	15122	-0.7991577386856079	-0.27123332	Yes	
row_142	HSPA5	NA	15133	-0.8044025897979736	-0.2608638	Yes	
row_143	IDH1	NA	15149	-0.8074009418487549	-0.250776	Yes	
row_144	HMGCS1	NA	15164	-0.8096421957015991	-0.24059296	Yes	
row_145	PSAT1	NA	15168	-0.8109468221664429	-0.22968192	Yes	
row_146	SCD	NA	15318	-0.8457832932472229	-0.22771928	Yes	
row_147	PDAP1	NA	15328	-0.8472073078155518	-0.21669905	Yes	
row_148	PFKL	NA	15345	-0.8514000773429871	-0.2060733	Yes	
row_149	USO1	NA	15372	-0.8583062887191772	-0.19599858	Yes	
row_150	PSMD13	NA	15389	-0.8621466159820557	-0.18522568	Yes	
row_151	ACLY	NA	15394	-0.8628777265548706	-0.17366807	Yes	
row_152	ACACA	NA	15419	-0.8693575263023376	-0.1633129	Yes	
row_153	CCT6A	NA	15433	-0.873525083065033	-0.1521905	Yes	
row_154	HSP90B1	NA	15441	-0.8762650489807129	-0.14064325	Yes	
row_155	SORD	NA	15461	-0.8797023296356201	-0.12982364	Yes	
row_156	SLC37A4	NA	15478	-0.8829845786094666	-0.11876539	Yes	
row_157	ETF1	NA	15501	-0.8870545029640198	-0.10803876	Yes	
row_158	ME1	NA	15516	-0.891107976436615	-0.096740164	Yes	
row_159	ELOVL6	NA	15526	-0.8927475810050964	-0.08509633	Yes	
row_160	GMPS	NA	15575	-0.9161155223846436	-0.07565025	Yes	
row_161	GPI	NA	15577	-0.9165598154067993	-0.063163884	Yes	
row_162	SDF2L1	NA	15586	-0.9244065284729004	-0.051021963	Yes	
row_163	PRDX1	NA	15609	-0.9397813081741333	-0.039573323	Yes	
row_164	SSR1	NA	15619	-0.9553001523017883	-0.027072918	Yes	
row_165	SHMT2	NA	15634	-0.9986890554428101	-0.014301158	Yes	
row_166	PSMA3	NA	15650	-1.143363118171692	3.8714247E-4	Yes	
