NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CBX3	NA	494	0.7433605790138245	0.025248298	No	
row_1	PPRC1	NA	3541	0.3958625793457031	-0.13953918	No	
row_2	RABEPK	NA	4938	0.2701822817325592	-0.20827009	No	
row_3	LAS1L	NA	5032	0.2612811028957367	-0.19423144	No	
row_4	MPHOSPH10	NA	7159	0.09878033399581909	-0.32283202	No	
row_5	UTP20	NA	7457	0.07742179930210114	-0.3359286	No	
row_6	PLK4	NA	7516	0.07324700802564621	-0.3340379	No	
row_7	PRMT3	NA	7782	0.05332208424806595	-0.3469293	No	
row_8	TCOF1	NA	7827	0.04932858422398567	-0.34597236	No	
row_9	MYC	NA	8051	0.03293326124548912	-0.35773417	No	
row_10	PLK1	NA	8368	0.011286255903542042	-0.37710872	No	
row_11	RRP9	NA	8654	-6.369539914885536E-5	-0.39535668	No	
row_12	NDUFAF4	NA	8804	-0.010176434181630611	-0.40412065	No	
row_13	AIMP2	NA	9427	-0.05178568512201309	-0.43999374	No	
row_14	UNG	NA	9456	-0.053831763565540314	-0.43766746	No	
row_15	MRTO4	NA	9491	-0.05595872923731804	-0.43556267	No	
row_16	NOP56	NA	9742	-0.07273378223180771	-0.4460079	No	
row_17	NOC4L	NA	9896	-0.08455304056406021	-0.4493363	No	
row_18	NPM1	NA	10102	-0.09785352647304535	-0.45497715	No	
row_19	NOP2	NA	11109	-0.18088483810424805	-0.5055641	Yes	
row_20	SUPV3L1	NA	11130	-0.18244974315166473	-0.4928828	Yes	
row_21	MYBBP1A	NA	11225	-0.1933007687330246	-0.48411047	Yes	
row_22	RCL1	NA	11298	-0.20121821761131287	-0.47332323	Yes	
row_23	PA2G4	NA	11589	-0.23357892036437988	-0.4740214	Yes	
row_24	TFB2M	NA	11708	-0.24704784154891968	-0.4626731	Yes	
row_25	PHB	NA	11746	-0.25099432468414307	-0.4458351	Yes	
row_26	MCM4	NA	11801	-0.2563233971595764	-0.42967808	Yes	
row_27	TMEM97	NA	11861	-0.26277273893356323	-0.41334775	Yes	
row_28	PES1	NA	11888	-0.2662617564201355	-0.3946369	Yes	
row_29	MCM5	NA	12112	-0.29289960861206055	-0.38650447	Yes	
row_30	BYSL	NA	12897	-0.3959026336669922	-0.4064189	Yes	
row_31	WDR43	NA	13150	-0.4346545934677124	-0.3892958	Yes	
row_32	HSPD1	NA	13323	-0.45921680331230164	-0.3651694	Yes	
row_33	RRP12	NA	13441	-0.47387346625328064	-0.33639893	Yes	
row_34	NOLC1	NA	13549	-0.49185436964035034	-0.305612	Yes	
row_35	NOP16	NA	13864	-0.5464679598808289	-0.28390303	Yes	
row_36	DDX18	NA	13911	-0.5547319054603577	-0.24439758	Yes	
row_37	NIP7	NA	14163	-0.6017147302627563	-0.21442594	Yes	
row_38	SRM	NA	14501	-0.6661320924758911	-0.18503256	Yes	
row_39	GNL3	NA	14710	-0.7041054964065552	-0.1444714	Yes	
row_40	SORD	NA	15461	-0.8797023296356201	-0.12518494	Yes	
row_41	PUS1	NA	15490	-0.8858475089073181	-0.059187636	Yes	
row_42	SLC19A1	NA	15568	-0.9115191102027893	0.005636001	Yes	
