NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTA1	NA	156	0.9047057628631592	0.0085749915	Yes	
row_1	CNN3	NA	241	0.8585785627365112	0.020843461	Yes	
row_2	CKB	NA	248	0.8551719784736633	0.038072392	Yes	
row_3	IGFBP3	NA	340	0.8035131096839905	0.048755087	Yes	
row_4	APOD	NA	398	0.7791585922241211	0.061128937	Yes	
row_5	CDKN1A	NA	432	0.7668855786323547	0.07479786	Yes	
row_6	HBEGF	NA	433	0.766474187374115	0.090586655	Yes	
row_7	EPHB3	NA	470	0.7553123831748962	0.10382369	Yes	
row_8	SPHK1	NA	522	0.7357349395751953	0.11569002	Yes	
row_9	GSN	NA	619	0.7148719429969788	0.1242243	Yes	
row_10	NOTCH1	NA	658	0.7079509496688843	0.13635674	Yes	
row_11	COL6A2	NA	747	0.6900526881217957	0.14489572	Yes	
row_12	MYH11	NA	768	0.6838736534118652	0.15769309	Yes	
row_13	ITGB1	NA	922	0.6608474850654602	0.16143827	Yes	
row_14	MRAS	NA	1100	0.6374766230583191	0.16315414	Yes	
row_15	CACNA1H	NA	1222	0.6258248090744019	0.16824172	Yes	
row_16	KCNH1	NA	1323	0.6120775938034058	0.17440054	Yes	
row_17	TNNI1	NA	1331	0.6111990809440613	0.1865393	Yes	
row_18	WWTR1	NA	1351	0.6085907816886902	0.19785042	Yes	
row_19	TPD52L1	NA	1419	0.6013752818107605	0.2059171	Yes	
row_20	SPARC	NA	1425	0.600836992263794	0.21797143	Yes	
row_21	PDLIM7	NA	1513	0.5912729501724243	0.22454011	Yes	
row_22	COL6A3	NA	1541	0.5887900590896606	0.23492737	Yes	
row_23	TPM2	NA	1647	0.5759602785110474	0.24001972	Yes	
row_24	APP	NA	1791	0.559943437576294	0.2423313	Yes	
row_25	DES	NA	1802	0.5588078498840332	0.25319737	Yes	
row_26	RIT1	NA	1821	0.5564835071563721	0.2634996	Yes	
row_27	FHL1	NA	2122	0.5228613018989563	0.25492156	Yes	
row_28	TAGLN	NA	2418	0.4930524528026581	0.24605195	Yes	
row_29	FGF2	NA	2458	0.4887988269329071	0.2536055	Yes	
row_30	MYLK	NA	2509	0.483944833278656	0.26034966	Yes	
row_31	FOXO4	NA	2598	0.47698840498924255	0.26449966	Yes	
row_32	BDKRB2	NA	2746	0.462393194437027	0.2645438	Yes	
