NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WNT2	NA	8	1.2307816743850708	0.11325361	Yes	
row_1	WNT5A	NA	575	0.7250627279281616	0.14406127	Yes	
row_2	NOTCH1	NA	658	0.7079509496688843	0.20425332	Yes	
row_3	FZD7	NA	843	0.6713241934776306	0.25453392	Yes	
row_4	MAML2	NA	1043	0.6437660455703735	0.30130753	Yes	
row_5	JAG1	NA	1435	0.5994612574577332	0.33170184	Yes	
row_6	FZD1	NA	1907	0.5465041995048523	0.35208276	Yes	
row_7	LFNG	NA	2084	0.5265941023826599	0.3894973	Yes	
row_8	SKP1	NA	2536	0.4815956652164459	0.4051581	Yes	
row_9	DTX1	NA	4595	0.3007175624370575	0.3012846	No	
row_10	PSEN2	NA	4827	0.27943313121795654	0.31233433	No	
row_11	PPARD	NA	5346	0.2381420135498047	0.30120522	No	
row_12	DLL1	NA	5861	0.19918480515480042	0.2867311	No	
row_13	SAP30	NA	6147	0.17611604928970337	0.28477594	No	
row_14	CCND1	NA	6188	0.1737385243177414	0.298276	No	
row_15	HES1	NA	6494	0.15019138157367706	0.29264498	No	
row_16	NOTCH2	NA	8023	0.03442995995283127	0.19806674	No	
row_17	KAT2A	NA	8304	0.01664281263947487	0.18169083	No	
row_18	TCF7L2	NA	8948	-0.018310777842998505	0.14224452	No	
row_19	FZD5	NA	10827	-0.15500155091285706	0.03641831	No	
row_20	ST3GAL6	NA	11186	-0.1884417086839676	0.030931963	No	
row_21	APH1A	NA	12097	-0.29048168659210205	-4.3917078E-4	No	
row_22	CUL1	NA	12844	-0.38882771134376526	-0.012227197	No	
row_23	DTX2	NA	13049	-0.4202268719673157	0.013564015	No	
row_24	PRKCA	NA	13563	-0.4942794442176819	0.026430491	No	
row_25	RBX1	NA	13904	-0.5537770390510559	0.055864993	No	
row_26	FBXW11	NA	14199	-0.6076057553291321	0.09321813	No	
