NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V0C	NA	1527	0.5902591347694397	-0.07973364	No	
row_1	ATP6V0E1	NA	5444	0.23253710567951202	-0.32474503	No	
row_2	ISCA1	NA	5875	0.19797179102897644	-0.34619316	No	
row_3	ISCU	NA	5986	0.18970413506031036	-0.34728032	No	
row_4	ATP6AP1	NA	6843	0.12438216060400009	-0.39851043	No	
row_5	NQO2	NA	6979	0.11397761106491089	-0.40360454	No	
row_6	BDH2	NA	7598	0.06697943061590195	-0.44131276	No	
row_7	ATP6V1C1	NA	7682	0.06052323803305626	-0.44474688	No	
row_8	ACAA2	NA	7881	0.04420331120491028	-0.4561086	No	
row_9	ATP6V1E1	NA	7890	0.043635979294776917	-0.4552436	No	
row_10	ATP6V1H	NA	7954	0.038829255849123	-0.4580752	No	
row_11	SLC25A12	NA	8024	0.0343056246638298	-0.46143657	No	
row_12	PDP1	NA	8299	0.016994280740618706	-0.47855696	No	
row_13	ECI1	NA	8833	-0.011934354901313782	-0.5125288	No	
row_14	PDK4	NA	8886	-0.014980347827076912	-0.515406	No	
row_15	IDH3A	NA	8888	-0.015026560984551907	-0.51499504	No	
row_16	SLC25A3	NA	8938	-0.01776868849992752	-0.5175907	No	
row_17	ETFA	NA	8968	-0.020010629668831825	-0.51882654	No	
row_18	MDH2	NA	9002	-0.021756500005722046	-0.5202649	No	
row_19	ATP5F1A	NA	9005	-0.022040655836462975	-0.5196965	No	
row_20	IDH3B	NA	9107	-0.029736675322055817	-0.5252647	No	
row_21	ATP1B1	NA	9119	-0.030648892745375633	-0.5250039	No	
row_22	GOT2	NA	9136	-0.03179437667131424	-0.5250291	No	
row_23	ETFDH	NA	9166	-0.03449725732207298	-0.5258066	No	
row_24	SLC25A4	NA	9174	-0.035069551318883896	-0.5251482	No	
row_25	OGDH	NA	9245	-0.038927629590034485	-0.5284278	No	
row_26	ATP5MC1	NA	9297	-0.04306728020310402	-0.53035194	No	
row_27	NDUFA7	NA	9374	-0.047872502356767654	-0.5337352	No	
row_28	NDUFA8	NA	9430	-0.05193918198347092	-0.5356365	No	
row_29	ATP5PO	NA	9476	-0.055302225053310394	-0.53678685	No	
row_30	ACAT1	NA	9487	-0.05587136745452881	-0.53566366	No	
row_31	TIMM17A	NA	9543	-0.058994490653276443	-0.5373417	No	
row_32	ATP5F1E	NA	9595	-0.06231674179434776	-0.5386569	No	
row_33	ACO2	NA	9629	-0.0651857852935791	-0.5387212	Yes	
row_34	OAT	NA	9655	-0.0668778344988823	-0.5382165	Yes	
row_35	NDUFA6	NA	9660	-0.06719307601451874	-0.5363484	Yes	
row_36	ATP5PF	NA	9662	-0.06736951321363449	-0.53428143	Yes	
row_37	SUCLG1	NA	9697	-0.06982720643281937	-0.5342634	Yes	
row_38	NDUFC1	NA	9722	-0.07165241241455078	-0.53354317	Yes	
row_39	DLST	NA	9732	-0.07210243493318558	-0.531842	Yes	
row_40	NDUFS7	NA	9741	-0.07267482578754425	-0.53005826	Yes	
row_41	VDAC2	NA	9756	-0.07361479848623276	-0.5286315	Yes	
row_42	TIMM9	NA	9758	-0.0740523710846901	-0.52635306	Yes	
row_43	NDUFS4	NA	9771	-0.07521501183509827	-0.5247468	Yes	
row_44	ATP5F1C	NA	9795	-0.07660766690969467	-0.5238053	Yes	
row_45	ATP5MF	NA	9805	-0.07767345756292343	-0.5219279	Yes	
row_46	NDUFA5	NA	9838	-0.08024803549051285	-0.5214513	Yes	
row_47	NDUFA2	NA	9856	-0.08160560578107834	-0.519965	Yes	
row_48	NDUFS6	NA	9858	-0.08184394240379333	-0.5174401	Yes	
row_49	HADHA	NA	9864	-0.08234553784132004	-0.51515704	Yes	
row_50	NDUFV2	NA	9869	-0.0825645849108696	-0.51280266	Yes	
row_51	FXN	NA	9915	-0.0861087366938591	-0.51297843	Yes	
row_52	ATP5ME	NA	9929	-0.0867728590965271	-0.5110709	Yes	
row_53	SLC25A20	NA	10023	-0.09323181957006454	-0.5141147	Yes	
row_54	NDUFS3	NA	10069	-0.09558305889368057	-0.51399064	Yes	
row_55	MRPS30	NA	10079	-0.09607300907373428	-0.5115311	Yes	
row_56	ATP5PD	NA	10149	-0.10116979479789734	-0.5127771	Yes	
row_57	NDUFS1	NA	10175	-0.10260101407766342	-0.51114213	Yes	
row_58	AFG3L2	NA	10179	-0.10267041623592377	-0.50808716	Yes	
row_59	ABCB7	NA	10188	-0.10341547429561615	-0.5053309	Yes	
row_60	NDUFS2	NA	10223	-0.10609515756368637	-0.5041654	Yes	
row_61	ATP5F1D	NA	10293	-0.11087234318256378	-0.50510436	Yes	
row_62	VDAC3	NA	10300	-0.1113734319806099	-0.50196743	Yes	
row_63	ATP5MG	NA	10352	-0.11522276699542999	-0.5016087	Yes	
row_64	CS	NA	10387	-0.11742938309907913	-0.50008464	Yes	
row_65	NDUFB8	NA	10401	-0.11865540593862534	-0.49716845	Yes	
row_66	NDUFAB1	NA	10423	-0.12043751776218414	-0.4947114	Yes	
row_67	NDUFB4	NA	10431	-0.12129174172878265	-0.4913251	Yes	
row_68	MFN2	NA	10432	-0.12136750668287277	-0.4874853	Yes	
row_69	LRPPRC	NA	10450	-0.1228572353720665	-0.4846939	Yes	
row_70	NDUFC2	NA	10485	-0.12599971890449524	-0.4828987	Yes	
row_71	ATP5PB	NA	10516	-0.1285615712404251	-0.48076466	Yes	
row_72	SDHA	NA	10525	-0.12937143445014954	-0.47718716	Yes	
row_73	SDHB	NA	10542	-0.13117147982120514	-0.4740683	Yes	
row_74	NDUFA9	NA	10584	-0.13543659448623657	-0.47242564	Yes	
row_75	ATP6V1D	NA	10604	-0.13716915249824524	-0.46931034	Yes	
row_76	SUCLA2	NA	10647	-0.14045235514640808	-0.46757343	Yes	
row_77	RHOT1	NA	10693	-0.14451350271701813	-0.46590137	Yes	
