NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SEMA3C	NA	866	0.6677914261817932	-0.035927735	No	
row_1	SIAH1	NA	938	0.6584526896476746	-0.021090494	No	
row_2	PABPC1	NA	1385	0.6046150326728821	-0.031914607	No	
row_3	BCL10	NA	1404	0.6025399565696716	-0.015321674	No	
row_4	CTPS1	NA	1615	0.5786669850349426	-0.011758605	No	
row_5	FABP6	NA	1900	0.5472810864448547	-0.013870946	No	
row_6	ABCC5	NA	2231	0.5112775564193726	-0.019997075	No	
row_7	SLC27A2	NA	4342	0.32158011198043823	-0.14598934	No	
row_8	ERCC3	NA	4940	0.26986244320869446	-0.17636842	No	
row_9	CTBP1	NA	4973	0.26637542247772217	-0.17057644	No	
row_10	HSD11B2	NA	5351	0.23787803947925568	-0.18777335	No	
row_11	ABCB1	NA	5433	0.233078733086586	-0.18610804	No	
row_12	TOP2A	NA	5612	0.2200160026550293	-0.19105503	No	
row_13	CACNA1B	NA	6008	0.18805335462093353	-0.21087521	No	
row_14	YWHAH	NA	6323	0.16283853352069855	-0.22623783	No	
row_15	ELOVL5	NA	6445	0.15373477339744568	-0.22947773	No	
row_16	GSTK1	NA	6978	0.11410880833864212	-0.26027164	No	
row_17	SLC23A2	NA	7028	0.11000491678714752	-0.26017717	No	
row_18	SULT2B1	NA	7070	0.10572408884763718	-0.2596952	No	
row_19	ATXN1	NA	7547	0.07045602798461914	-0.28817967	No	
row_20	CRABP1	NA	7732	0.0568641722202301	-0.2983177	No	
row_21	SLC25A17	NA	8038	0.033575449138879776	-0.3169101	No	
row_22	STS	NA	8044	0.033229853957891464	-0.3162523	No	
row_23	CLN8	NA	8180	0.02419384755194187	-0.3242068	No	
row_24	GNPAT	NA	8765	-0.007350982632488012	-0.36148384	No	
row_25	CRAT	NA	8775	-0.008091093972325325	-0.36182332	No	
row_26	SLC25A4	NA	9174	-0.035069551318883896	-0.38634244	No	
row_27	CEL	NA	9384	-0.04823578894138336	-0.39833966	No	
row_28	ABCC8	NA	9452	-0.05345534905791283	-0.40106657	No	
row_29	ITGB1BP1	NA	9835	-0.08014336973428726	-0.42323077	No	
row_30	FADS1	NA	9898	-0.08457611501216888	-0.42471993	No	
row_31	DHCR24	NA	9918	-0.0862407311797142	-0.42339945	No	
row_32	IDE	NA	9923	-0.08647097647190094	-0.42110914	No	
row_33	PEX5	NA	10064	-0.09536799788475037	-0.42728814	No	
row_34	SLC25A19	NA	10256	-0.10813876241445541	-0.43636525	No	
row_35	ACSL1	NA	10541	-0.13097581267356873	-0.45074037	No	
row_36	RXRG	NA	10762	-0.14970634877681732	-0.46045488	No	
row_37	SOD2	NA	10817	-0.15441852807998657	-0.45937315	No	
row_38	ALDH1A1	NA	10880	-0.1595161110162735	-0.45865488	No	
row_39	IDI1	NA	10984	-0.16887561976909637	-0.4602932	No	
row_40	CNBP	NA	11106	-0.1806165724992752	-0.46274126	No	
row_41	ACOT8	NA	11545	-0.22983692586421967	-0.4840913	No	
row_42	SMARCC1	NA	11732	-0.2497076839208603	-0.48867732	No	
row_43	MSH2	NA	12016	-0.28026384115219116	-0.4985908	No	
row_44	ABCB9	NA	12160	-0.2988448441028595	-0.49896872	No	
row_45	CDK7	NA	12592	-0.3545305132865906	-0.51619637	Yes	
row_46	PEX2	NA	12618	-0.3570634126663208	-0.5072837	Yes	
row_47	IDH2	NA	12686	-0.3679580092430115	-0.5007465	Yes	
row_48	PEX6	NA	12755	-0.3772701323032379	-0.49399924	Yes	
row_49	PEX11A	NA	12818	-0.386182576417923	-0.4866042	Yes	
row_50	ACAA1	NA	12828	-0.3871487081050873	-0.4757781	Yes	
row_51	FDPS	NA	12963	-0.40526580810546875	-0.47244346	Yes	
row_52	SLC35B2	NA	12979	-0.40796810388565063	-0.4613893	Yes	
row_53	VPS4B	NA	13626	-0.5031590461730957	-0.48804218	Yes	
row_54	TSPO	NA	13793	-0.5321418642997742	-0.48302472	Yes	
row_55	MLYCD	NA	13953	-0.5630002021789551	-0.47664887	Yes	
row_56	SCP2	NA	14080	-0.5839430689811707	-0.46753746	Yes	
row_57	ACOX1	NA	14101	-0.5889469385147095	-0.45147333	Yes	
row_58	PEX13	NA	14232	-0.6135579943656921	-0.44174638	Yes	
row_59	PEX14	NA	14267	-0.61878502368927	-0.42570215	Yes	
row_60	DIO1	NA	14374	-0.6375699639320374	-0.4137271	Yes	
row_61	ESR2	NA	14624	-0.6888366341590881	-0.4094227	Yes	
row_62	ALDH9A1	NA	14763	-0.71497642993927	-0.39722198	Yes	
row_63	ECI2	NA	14766	-0.715583086013794	-0.376272	Yes	
row_64	ACSL4	NA	14983	-0.7669196128845215	-0.3675489	Yes	
row_65	NUDT19	NA	15003	-0.7706437110900879	-0.34606847	Yes	
row_66	HSD17B4	NA	15040	-0.7798200845718384	-0.32540917	Yes	
row_67	CADM1	NA	15130	-0.8029724359512329	-0.30747056	Yes	
row_68	IDH1	NA	15149	-0.8074009418487549	-0.28484318	Yes	
row_69	ACSL5	NA	15194	-0.8181083798408508	-0.26356965	Yes	
row_70	ABCD3	NA	15202	-0.8209249377250671	-0.2398377	Yes	
row_71	EHHADH	NA	15288	-0.8396949768066406	-0.22056057	Yes	
row_72	HMGCL	NA	15393	-0.8626330494880676	-0.20182759	Yes	
row_73	SOD1	NA	15410	-0.8658379316329956	-0.17735048	Yes	
row_74	ALB	NA	15451	-0.8786446452140808	-0.15403698	Yes	
row_75	HAO2	NA	15539	-0.8978007435798645	-0.13317667	Yes	
row_76	CAT	NA	15601	-0.9325246214866638	-0.10962429	Yes	
row_77	DHRS3	NA	15602	-0.9355945587158203	-0.082065195	Yes	
row_78	PRDX1	NA	15609	-0.9397813081741333	-0.05476799	Yes	
row_79	LONP2	NA	15614	-0.9474362134933472	-0.027116893	Yes	
row_80	ABCD2	NA	15636	-1.0099436044692993	0.0012840121	Yes	
