NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCR4	NA	421	0.7698079943656921	0.0035814976	No	
row_1	CDKN1A	NA	432	0.7668855786323547	0.033435225	No	
row_2	TIAM1	NA	976	0.6539502143859863	0.024576485	No	
row_3	RIT1	NA	1821	0.5564835071563721	-0.007483935	No	
row_4	MAPK10	NA	1950	0.5423144102096558	0.005863308	No	
row_5	PRKCB	NA	2138	0.5217866897583008	0.014606128	No	
row_6	PLCB1	NA	2872	0.45096635818481445	-0.014523456	No	
row_7	CAB39L	NA	3025	0.439613938331604	-0.0068011056	No	
row_8	SLC2A1	NA	3172	0.4282796382904053	8.5576077E-4	No	
row_9	NOD1	NA	3293	0.4177924692630768	0.009764938	No	
row_10	TBK1	NA	3650	0.38739079236984253	0.002312681	No	
row_11	PLA2G12A	NA	4150	0.3428132236003876	-0.016093617	No	
row_12	CAMK4	NA	4345	0.32135963439941406	-0.015770368	No	
row_13	PLCG1	NA	4422	0.3146609365940094	-0.008137253	No	
row_14	MAPK1	NA	4834	0.2789369821548462	-0.023433557	No	
row_15	STAT2	NA	5682	0.21507759392261505	-0.069262855	No	
row_16	SMAD2	NA	6020	0.18743552267551422	-0.083446585	No	
row_17	RAC1	NA	6076	0.1823410987854004	-0.07972695	No	
row_18	MAPK9	NA	6172	0.17467688024044037	-0.07888031	No	
row_19	MAPK8	NA	6229	0.17019717395305634	-0.0757078	No	
row_20	RIPK1	NA	6350	0.1602633148431778	-0.077039465	No	
row_21	PITX2	NA	6406	0.15717503428459167	-0.07432058	No	
row_22	CDK1	NA	6438	0.15444909036159515	-0.070169166	No	
row_23	ADCY2	NA	6576	0.14329439401626587	-0.0732671	No	
row_24	LCK	NA	6664	0.13681606948375702	-0.07341238	No	
row_25	FASLG	NA	6760	0.13009139895439148	-0.07433872	No	
row_26	TRAF2	NA	6885	0.12112788110971451	-0.07748345	No	
row_27	ACTR3	NA	7119	0.10124950110912323	-0.08841706	No	
row_28	CDKN1B	NA	7294	0.0880325511097908	-0.096088134	No	
row_29	IL2RG	NA	7301	0.0875084400177002	-0.09299353	No	
row_30	PRKAA2	NA	7334	0.08489960432052612	-0.091672	No	
row_31	SLA	NA	7599	0.06688708066940308	-0.10596243	No	
row_32	IRAK4	NA	7797	0.05192483961582184	-0.11654607	No	
row_33	CLTC	NA	7811	0.051086749881505966	-0.11534924	No	
row_34	DDIT3	NA	8081	0.031094878911972046	-0.131384	No	
row_35	E2F1	NA	8397	0.009606247767806053	-0.15122671	No	
row_36	FGF6	NA	8823	-0.011446058750152588	-0.17805888	No	
row_37	MKNK2	NA	8981	-0.020835161209106445	-0.1873106	No	
row_38	RPS6KA1	NA	8994	-0.02145319990813732	-0.18722796	No	
row_39	CAB39	NA	9094	-0.028789116069674492	-0.1924395	No	
row_40	SFN	NA	9401	-0.049580588936805725	-0.21011475	No	
row_41	RALB	NA	9426	-0.051773205399513245	-0.20959689	No	
row_42	ARPC3	NA	9691	-0.06969687342643738	-0.22377558	No	
row_43	FGF17	NA	9708	-0.07057788968086243	-0.22199628	No	
row_44	YWHAB	NA	9965	-0.08975767344236374	-0.2348636	No	
row_45	ARHGDIA	NA	10190	-0.10341759771108627	-0.24513313	No	
row_46	RAF1	NA	10215	-0.10516536980867386	-0.2424921	No	
row_47	MKNK1	NA	10474	-0.12496336549520493	-0.25408784	No	
row_48	DAPP1	NA	10652	-0.1409088671207428	-0.25984886	No	
row_49	ITPR2	NA	10700	-0.14535656571388245	-0.2570863	No	
row_50	NGF	NA	10810	-0.15362566709518433	-0.25797564	No	
row_51	PIKFYVE	NA	10892	-0.16031058132648468	-0.25680143	No	
row_52	UBE2N	NA	11268	-0.19784937798976898	-0.27301085	No	
row_53	PTEN	NA	11435	-0.2164531648159027	-0.27506152	No	
row_54	MYD88	NA	11468	-0.21963748335838318	-0.26838204	No	
row_55	MAP3K7	NA	11788	-0.2547644078731537	-0.2787327	Yes	
row_56	MAP2K6	NA	11814	-0.2580735981464386	-0.27007532	Yes	
