NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VAMP3	NA	142	0.915876567363739	0.016766688	No	
row_1	STX7	NA	322	0.8118190765380859	0.028215222	No	
row_2	ATP7A	NA	414	0.7708145976066589	0.044157688	No	
row_3	SCAMP1	NA	423	0.769096851348877	0.0653834	No	
row_4	DOP1A	NA	585	0.7224512696266174	0.07546211	No	
row_5	ATP6V1B1	NA	1318	0.6126117706298828	0.045755904	No	
row_6	CAV2	NA	1457	0.597012996673584	0.053766415	No	
row_7	ANP32E	NA	1530	0.5899074077606201	0.065815814	No	
row_8	ADAM10	NA	1692	0.5716643333435059	0.071632326	No	
row_9	DST	NA	1876	0.549766480922699	0.07541662	No	
row_10	ICA1	NA	1931	0.5438741445541382	0.08732112	No	
row_11	SNAP23	NA	3500	0.3996821939945221	-0.0021071974	No	
row_12	RAB22A	NA	3714	0.38153448700904846	-0.0050053755	No	
row_13	SSPN	NA	3799	0.3749713897705078	1.9769263E-4	No	
row_14	AP3B1	NA	4091	0.3486936688423157	-0.008639377	No	
row_15	TMX1	NA	4157	0.34190648794174194	-0.0031504051	No	
row_16	MAPK1	NA	4834	0.2789369821548462	-0.03869105	No	
row_17	TOM1L1	NA	5252	0.2448093742132187	-0.058558602	No	
row_18	SGMS1	NA	5318	0.2391054332256317	-0.05597545	No	
row_19	VAMP4	NA	5590	0.22158107161521912	-0.06712077	No	
row_20	GLA	NA	6569	0.1438114494085312	-0.12588094	No	
row_21	ARFGEF1	NA	6599	0.14190173149108887	-0.123732805	No	
row_22	BNIP3	NA	6662	0.13685812056064606	-0.1238471	No	
row_23	GALC	NA	6688	0.1348785012960434	-0.121640526	No	
row_24	ATP1A1	NA	6733	0.13140901923179626	-0.12075256	No	
row_25	GNAS	NA	6910	0.11904961615800858	-0.12869342	No	
row_26	ABCA1	NA	7142	0.10002211481332779	-0.14070523	No	
row_27	OCRL	NA	7282	0.08918718248605728	-0.14711338	No	
row_28	SH3GL2	NA	7803	0.051643773913383484	-0.17905758	No	
row_29	CLTC	NA	7811	0.051086749881505966	-0.17806321	No	
row_30	ATP6V1H	NA	7954	0.038829255849123	-0.18608752	No	
row_31	KIF1B	NA	8075	0.0315331369638443	-0.1929048	No	
row_32	STX12	NA	8272	0.018811063840985298	-0.20496382	No	
row_33	CLTA	NA	9011	-0.022619474679231644	-0.25173244	No	
row_34	SCRN1	NA	9147	-0.033277083188295364	-0.259464	No	
row_35	RAB9A	NA	9292	-0.04279451444745064	-0.2675047	No	
row_36	RAB14	NA	9435	-0.052324242889881134	-0.27514753	No	
row_37	AP2B1	NA	9876	-0.08312809467315674	-0.3010627	No	
row_38	DNM1L	NA	10019	-0.09288998693227768	-0.3075589	No	
row_39	CLN5	NA	10154	-0.10181999206542969	-0.31328878	No	
row_40	RAB5A	NA	10236	-0.10695160925388336	-0.31546894	No	
row_41	CTSC	NA	10240	-0.10718349367380142	-0.31263196	No	
row_42	ARFIP1	NA	10361	-0.11587918549776077	-0.3170651	No	
row_43	IGF2R	NA	11017	-0.17193128168582916	-0.3542814	No	
row_44	TPD52	NA	11308	-0.20215103030204773	-0.36719647	Yes	
row_45	SEC31A	NA	11395	-0.21240748465061188	-0.36671698	Yes	
row_46	PAM	NA	11458	-0.21888954937458038	-0.36451253	Yes	
row_47	GOLGA4	NA	11517	-0.2264232635498047	-0.3618382	Yes	
row_48	STAM	NA	11529	-0.22754085063934326	-0.35611305	Yes	
row_49	STX16	NA	11594	-0.234162837266922	-0.35360536	Yes	
row_50	NAPG	NA	11665	-0.24151358008384705	-0.35127532	Yes	
row_51	MON2	NA	11712	-0.24769729375839233	-0.3472288	Yes	
row_52	RAB2A	NA	11716	-0.24831537902355194	-0.3404025	Yes	
row_53	TMED10	NA	12260	-0.3109040856361389	-0.36649585	Yes	
row_54	RPS6KA3	NA	12306	-0.31860411167144775	-0.3603808	Yes	
row_55	PPT1	NA	12328	-0.3219684958457947	-0.3526289	Yes	
row_56	ERGIC3	NA	12489	-0.3400894105434418	-0.35329396	Yes	
row_57	VPS45	NA	12751	-0.376591295003891	-0.3594153	Yes	
row_58	ARFGEF2	NA	12822	-0.3864601254463196	-0.35298815	Yes	
row_59	AP3S1	NA	12925	-0.39973756670951843	-0.34824133	Yes	
row_60	TSG101	NA	12960	-0.40474915504455566	-0.3389846	Yes	
row_61	AP1G1	NA	13036	-0.41806358098983765	-0.33198532	Yes	
