NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABCC1	NA	2732	0.46352407336235046	-0.14572376	No	
row_1	PRNP	NA	2807	0.45638540387153625	-0.12170904	No	
row_2	IPCEF1	NA	3276	0.4192531406879425	-0.125261	No	
row_3	FES	NA	3337	0.41345322132110596	-0.10305465	No	
row_4	MBP	NA	3739	0.3791863024234772	-0.10484095	No	
row_5	PDLIM1	NA	4388	0.3174399137496948	-0.12633243	No	
row_6	PTPA	NA	5060	0.2589617669582367	-0.15298076	No	
row_7	TXNRD1	NA	6069	0.18290165066719055	-0.20599864	No	
row_8	GSR	NA	6407	0.15716178715229034	-0.21767491	No	
row_9	SCAF4	NA	6435	0.1546790450811386	-0.20965873	No	
row_10	PFKP	NA	7668	0.06119779497385025	-0.2846865	No	
row_11	STK25	NA	9406	-0.050271324813365936	-0.39273718	No	
row_12	NDUFA6	NA	9660	-0.06719307601451874	-0.4047032	No	
row_13	NDUFS2	NA	10223	-0.10609515756368637	-0.43400317	No	
row_14	GCLC	NA	10322	-0.1127147376537323	-0.43317682	No	
row_15	NDUFB4	NA	10431	-0.12129174172878265	-0.43245038	No	
row_16	SOD2	NA	10817	-0.15441852807998657	-0.44737288	No	
row_17	HMOX2	NA	10824	-0.15486355125904083	-0.43800047	No	
row_18	OXSR1	NA	11676	-0.2432083934545517	-0.47716644	Yes	
row_19	GLRX2	NA	11802	-0.2563246190547943	-0.46902126	Yes	
row_20	TXNRD2	NA	11838	-0.2609339952468872	-0.45482308	Yes	
row_21	TXN	NA	12188	-0.3020802140235901	-0.45813766	Yes	
row_22	PRDX4	NA	12697	-0.36881130933761597	-0.46742868	Yes	
row_23	SBNO2	NA	12817	-0.3861308991909027	-0.45072135	Yes	
row_24	LSP1	NA	13044	-0.41967079043388367	-0.43875206	Yes	
row_25	MSRA	NA	13141	-0.43339696526527405	-0.41759425	Yes	
row_26	SRXN1	NA	13329	-0.45980605483055115	-0.40059927	Yes	
row_27	GPX3	NA	13574	-0.49556607007980347	-0.385001	Yes	
row_28	PRDX6	NA	13708	-0.5175153613090515	-0.3609127	Yes	
row_29	ATOX1	NA	14038	-0.5768343210220337	-0.34563687	Yes	
row_30	GCLM	NA	14358	-0.6342512965202332	-0.3261034	Yes	
row_31	HHEX	NA	14403	-0.6424204111099243	-0.28844738	Yes	
row_32	MGST1	NA	14438	-0.6496260762214661	-0.2496971	Yes	
row_33	SELENOS	NA	15056	-0.7837497591972351	-0.23982559	Yes	
row_34	LAMTOR5	NA	15077	-0.7883427143096924	-0.1914396	Yes	
row_35	SOD1	NA	15410	-0.8658379316329956	-0.15814826	Yes	
row_36	GPX4	NA	15486	-0.8848959803581238	-0.10720087	Yes	
row_37	CAT	NA	15601	-0.9325246214866638	-0.055749927	Yes	
row_38	PRDX1	NA	15609	-0.9397813081741333	0.0030092585	Yes	
