NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NFYA	NA	280	0.8358014225959778	0.004217348	No	
row_1	YWHAZ	NA	987	0.6529762148857117	-0.023801949	No	
row_2	SLC7A5	NA	1032	0.6461343765258789	-0.009458085	No	
row_3	EXOSC9	NA	2651	0.4714670777320862	-0.10091299	No	
row_4	PARN	NA	3641	0.38809922337532043	-0.1541593	No	
row_5	ERO1A	NA	3742	0.37910017371177673	-0.15051109	No	
row_6	EXOSC1	NA	3836	0.37104177474975586	-0.14662717	No	
row_7	CEBPG	NA	3970	0.3599903881549835	-0.14560765	No	
row_8	KDELR3	NA	4368	0.31982430815696716	-0.16262215	No	
row_9	MTHFD2	NA	5067	0.25843164324760437	-0.20061271	No	
row_10	CNOT2	NA	5149	0.2524266839027405	-0.19910988	No	
row_11	DCP1A	NA	5310	0.23959767818450928	-0.20302513	No	
row_12	EDEM1	NA	5687	0.2144472301006317	-0.22149052	No	
row_13	EXOC2	NA	6120	0.17824643850326538	-0.24451694	No	
row_14	EXOSC10	NA	6185	0.1738356351852417	-0.24401021	No	
row_15	TTC37	NA	6295	0.16490013897418976	-0.24663298	No	
row_16	CNOT6	NA	6301	0.16450940072536469	-0.24258232	No	
row_17	DNAJA4	NA	6530	0.14664164185523987	-0.25333813	No	
row_18	EIF2AK3	NA	6638	0.13853061199188232	-0.25653318	No	
row_19	CNOT4	NA	6699	0.13424408435821533	-0.25682154	No	
row_20	DDIT4	NA	6937	0.11715617030858994	-0.26893938	No	
row_21	ATF3	NA	7080	0.10448440909385681	-0.27528855	No	
row_22	STC2	NA	7158	0.09880242496728897	-0.27761137	No	
row_23	DCP2	NA	7387	0.08182338625192642	-0.29008982	No	
row_24	VEGFA	NA	7620	0.0653172954916954	-0.30326396	No	
row_25	KIF5B	NA	8054	0.03272392228245735	-0.33022207	No	
row_26	RPS14	NA	8192	0.02375354804098606	-0.33839542	No	
row_27	NFYB	NA	8238	0.021004697307944298	-0.34072924	No	
row_28	DCTN1	NA	8528	9.09338123165071E-5	-0.35930008	No	
row_29	RRP9	NA	8654	-6.369539914885536E-5	-0.3673318	No	
row_30	NABP1	NA	8855	-0.013284959830343723	-0.3798322	No	
row_31	CHAC1	NA	8919	-0.01674102060496807	-0.38343614	No	
row_32	SLC1A4	NA	9010	-0.022474119439721107	-0.38862294	No	
row_33	ERN1	NA	9231	-0.03811135143041611	-0.40174893	No	
row_34	ATF4	NA	9254	-0.039412807673215866	-0.40211537	No	
row_35	NOP56	NA	9742	-0.07273378223180771	-0.4314806	No	
row_36	IMP3	NA	10010	-0.09227443486452103	-0.4461877	No	
row_37	NPM1	NA	10102	-0.09785352647304535	-0.44943547	No	
row_38	WFS1	NA	10139	-0.10066681355237961	-0.4490738	No	
row_39	EIF4A2	NA	10342	-0.11447255313396454	-0.45901358	No	
row_40	BAG3	NA	10621	-0.13864189386367798	-0.47319537	No	
row_41	DKC1	NA	10933	-0.16339406371116638	-0.48884016	No	
row_42	SEC31A	NA	11395	-0.21240748465061188	-0.5128225	Yes	
row_43	EXOSC2	NA	11423	-0.21559357643127441	-0.5088281	Yes	
row_44	NOP14	NA	11582	-0.23289385437965393	-0.51279294	Yes	
row_45	EDC4	NA	11636	-0.23831133544445038	-0.5098658	Yes	
row_46	MTREX	NA	11756	-0.2522568106651306	-0.51080966	Yes	
row_47	GEMIN4	NA	11786	-0.254608154296875	-0.50590694	Yes	
row_48	PAIP1	NA	11790	-0.2548980116844177	-0.4993256	Yes	
row_49	HSPA9	NA	11856	-0.2620231509208679	-0.49653947	Yes	
row_50	EIF4A3	NA	11920	-0.26941174268722534	-0.49342844	Yes	
row_51	ATF6	NA	12095	-0.2902785539627075	-0.49689654	Yes	
row_52	EIF4EBP1	NA	12225	-0.30732572078704834	-0.49701956	Yes	
row_53	SEC11A	NA	12262	-0.311114102602005	-0.49106503	Yes	
row_54	IARS1	NA	12313	-0.3197624981403351	-0.48578042	Yes	
row_55	LSM4	NA	12324	-0.321261465549469	-0.47788525	Yes	
row_56	SLC30A5	NA	12396	-0.3293452262878418	-0.47369558	Yes	
row_57	ARFGAP1	NA	12423	-0.3319593667984009	-0.4665444	Yes	
row_58	PDIA5	NA	12455	-0.33526724576950073	-0.45962664	Yes	
row_59	IGFBP1	NA	12572	-0.35188230872154236	-0.45773005	Yes	
row_60	CEBPB	NA	12590	-0.35427170991897583	-0.4494075	Yes	
row_61	EEF2	NA	12601	-0.35548296570777893	-0.44060287	Yes	
row_62	TARS1	NA	12748	-0.37627309560775757	-0.4399861	Yes	
row_63	POP4	NA	12762	-0.3782264292240143	-0.43076986	Yes	
