NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EFEMP1	NA	32	1.0950307846069336	0.018579131	Yes	
row_1	SLC7A1	NA	49	1.0435150861740112	0.037218016	Yes	
row_2	SNAI2	NA	68	1.0105198621749878	0.055106107	Yes	
row_3	ADD3	NA	119	0.937747061252594	0.069560885	Yes	
row_4	RUNX1	NA	234	0.8602210879325867	0.07843116	Yes	
row_5	SCN8A	NA	263	0.8461594581604004	0.0925769	Yes	
row_6	MGMT	NA	420	0.7698327302932739	0.09703757	Yes	
row_7	PMP22	NA	533	0.733872652053833	0.10365509	Yes	
row_8	PRKAR2B	NA	681	0.7015491127967834	0.10740848	Yes	
row_9	SPOP	NA	694	0.6985819339752197	0.11980326	Yes	
row_10	CCN1	NA	716	0.6951817870140076	0.13155413	Yes	
row_11	F3	NA	839	0.6721060276031494	0.13636315	Yes	
row_12	DLC1	NA	903	0.6630872488021851	0.14480321	Yes	
row_13	ATP2B4	NA	958	0.6556195020675659	0.15368234	Yes	
row_14	ATP2C1	NA	1036	0.6448674201965332	0.16087703	Yes	
row_15	ATP2B1	NA	1060	0.6421023607254028	0.17149854	Yes	
row_16	LPAR1	NA	1071	0.6404454112052917	0.18292633	Yes	
row_17	SIPA1L1	NA	1156	0.6327351331710815	0.18944137	Yes	
row_18	GCNT1	NA	1237	0.6231419444084167	0.19603327	Yes	
row_19	DUSP1	NA	1257	0.6206891536712646	0.20650885	Yes	
row_20	MAGI2	NA	1505	0.5919522643089294	0.20175391	Yes	
row_21	TGFBR2	NA	1552	0.5870293378829956	0.20985556	Yes	
row_22	WDR37	NA	1572	0.5844587683677673	0.21964821	Yes	
row_23	ID1	NA	1587	0.5825093388557434	0.22972624	Yes	
row_24	APBB2	NA	1740	0.5664762854576111	0.23061144	Yes	
row_25	ICA1	NA	1931	0.5438741445541382	0.22862248	Yes	
row_26	NRP1	NA	1957	0.5412778854370117	0.23721465	Yes	
row_27	PRKCE	NA	1965	0.5403958559036255	0.24694984	Yes	
row_28	SRI	NA	1967	0.5401667952537537	0.25706726	Yes	
row_29	FBLN5	NA	1986	0.5383679270744324	0.26605555	Yes	
row_30	CAV1	NA	2120	0.5231719613075256	0.26734856	Yes	
row_31	KCNMA1	NA	2180	0.516653835773468	0.27328613	Yes	
row_32	ZMIZ1	NA	2187	0.5156368613243103	0.28261906	Yes	
row_33	AMPH	NA	2209	0.5134048461914062	0.29094353	Yes	
row_34	TGFBR3	NA	2234	0.5110164284706116	0.29902974	Yes	
row_35	YTHDC1	NA	2265	0.5083872079849243	0.30667982	Yes	
row_36	MAP2K5	NA	2333	0.5016737580299377	0.3118196	Yes	
row_37	BDNF	NA	2546	0.48087677359580994	0.30722585	Yes	
row_38	MAP1B	NA	2595	0.4772825241088867	0.31312996	Yes	
row_39	AKT3	NA	2597	0.47702404856681824	0.3220572	Yes	
row_40	ATRX	NA	2618	0.4744725823402405	0.32971224	Yes	
row_41	NIPBL	NA	2635	0.47350743412971497	0.3376068	Yes	
row_42	ABCC1	NA	2732	0.46352407336235046	0.34015918	Yes	
row_43	DDAH1	NA	2749	0.46212807297706604	0.34783927	Yes	
row_44	TJP1	NA	2840	0.45369842648506165	0.350593	Yes	
row_45	COL1A2	NA	2841	0.45368847250938416	0.35914478	Yes	
row_46	PRDM2	NA	2969	0.4441277086734772	0.35933438	Yes	
row_47	FYN	NA	3120	0.43156152963638306	0.35780537	Yes	
row_48	BMPR1A	NA	3212	0.42492571473121643	0.35995236	Yes	
row_49	PHF3	NA	3269	0.4199654459953308	0.36426067	Yes	
row_50	CDK13	NA	3414	0.40647292137145996	0.36264533	Yes	
row_51	SYNE1	NA	3606	0.38994187116622925	0.3576904	Yes	
row_52	RBPMS	NA	3627	0.3886636793613434	0.363728	Yes	
row_53	CDC42BPA	NA	3872	0.368092805147171	0.3549467	Yes	
row_54	PLCB4	NA	3994	0.3582223355770111	0.35390362	Yes	
row_55	ADGRL2	NA	4041	0.35339289903640747	0.35760134	Yes	
row_56	PTPRM	NA	4052	0.3524737060070038	0.36360103	Yes	
row_57	SMAD3	NA	4096	0.34827667474746704	0.36739558	Yes	
row_58	HAS2	NA	4173	0.340612530708313	0.36891967	Yes	
row_59	PDGFRB	NA	4202	0.3370477855205536	0.37346894	Yes	
row_60	MMP16	NA	4229	0.3339405357837677	0.37808847	Yes	
row_61	ARHGEF9	NA	4239	0.3324885368347168	0.3837759	Yes	
row_62	SCAF8	NA	4247	0.33149251341819763	0.38957337	Yes	
row_63	DYRK1A	NA	4307	0.3247111439704895	0.39189294	Yes	
row_64	FHL2	NA	4757	0.28612998127937317	0.36835963	No	
row_65	TENT4A	NA	4831	0.2792091369628906	0.36891958	No	
row_66	MGLL	NA	5004	0.2633526921272278	0.36280257	No	
row_67	COL1A1	NA	5134	0.253313273191452	0.3592666	No	
row_68	ANXA4	NA	5182	0.249993696808815	0.3609509	No	
row_69	PTGFR	NA	5261	0.243813157081604	0.3605215	No	
row_70	IGF1R	NA	5291	0.2414465695619583	0.36320433	No	
row_71	KIT	NA	5665	0.21638703346252441	0.3432527	No	
row_72	MAPK14	NA	5678	0.21524283289909363	0.3465368	No	
row_73	COL11A1	NA	5801	0.20467650890350342	0.34253502	No	
row_74	PPARG	NA	5839	0.20210860669612885	0.34396094	No	
row_75	PTPN21	NA	5938	0.19326052069664001	0.34129018	No	
row_76	AGGF1	NA	6269	0.16671423614025116	0.3231725	No	
row_77	MTA1	NA	6353	0.16010944545269012	0.32084322	No	
row_78	MIOS	NA	6488	0.15065592527389526	0.3150501	No	
row_79	ERBB2	NA	6705	0.13393080234527588	0.3036589	No	
row_80	MET	NA	6829	0.1251852810382843	0.29809433	No	
row_81	CDKN1B	NA	7294	0.0880325511097908	0.26986063	No	
row_82	COL5A2	NA	7419	0.07947206497192383	0.26336998	No	
row_83	ATXN1	NA	7547	0.07045602798461914	0.2565161	No	
row_84	PIK3CD	NA	7650	0.06250728666782379	0.251123	No	
row_85	SLC22A18	NA	7698	0.05945950746536255	0.24921583	No	
row_86	RASA2	NA	7973	0.03737694397568703	0.23226799	No	
row_87	GJA1	NA	8014	0.03503081947565079	0.23035131	No	
row_88	NOTCH2	NA	8023	0.03442995995283127	0.2304849	No	
row_89	ANXA2	NA	8039	0.033470723778009415	0.23014943	No	
