NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL6	NA	16	1.1668540239334106	0.02598238	No	
row_1	GLS	NA	568	0.7276125550270081	0.00738273	No	
row_2	FOS	NA	823	0.6744786500930786	0.0066576744	No	
row_3	MAPK8IP2	NA	841	0.671760082244873	0.021114765	No	
row_4	BMP2	NA	1175	0.6307079195976257	0.014294765	No	
row_5	IGFBP2	NA	1291	0.6157993078231812	0.021152543	No	
row_6	PLCL1	NA	1610	0.5794470310211182	0.014110779	No	
row_7	LYN	NA	2107	0.5240482091903687	-0.0056633065	No	
row_8	FGF18	NA	2188	0.5156086087226868	0.0011265345	No	
row_9	CREG1	NA	2199	0.5145174860954285	0.012393882	No	
row_10	OLFM1	NA	2204	0.5138061046600342	0.024030713	No	
row_11	AMD1	NA	2311	0.5037662982940674	0.02887396	No	
row_12	TGFBRAP1	NA	2459	0.488700807094574	0.03073112	No	
row_13	IRF1	NA	2495	0.485191285610199	0.03971146	No	
row_14	CHRNA5	NA	2727	0.4639394283294678	0.035592098	No	
row_15	BCL2L11	NA	2910	0.448742538690567	0.03427288	No	
row_16	AGO2	NA	2971	0.4437371790409088	0.040685467	No	
row_17	TACR3	NA	3184	0.4274866580963135	0.036944438	No	
row_18	RET	NA	3362	0.41119539737701416	0.03507766	No	
row_19	CNP	NA	3528	0.3973134160041809	0.033661433	No	
row_20	CEBPG	NA	3970	0.3599903881549835	0.01362745	No	
row_21	NFKBIA	NA	4038	0.3534841239452362	0.017500488	No	
row_22	NPTXR	NA	4271	0.3289259672164917	0.010191365	No	
row_23	ENO2	NA	4403	0.31615716218948364	0.009083504	No	
row_24	HSPA2	NA	4450	0.31287717819213867	0.013367359	No	
row_25	POLG2	NA	4533	0.3064902126789093	0.015187652	No	
row_26	HTR7	NA	4792	0.2827104926109314	0.0051362277	No	
row_27	NTRK3	NA	4843	0.2782120108604431	0.008360315	No	
row_28	PPP1R2	NA	5006	0.2632365822792053	0.004033309	No	
row_29	ABCB1	NA	5433	0.233078733086586	-0.017973682	No	
row_30	BTG2	NA	5523	0.22593910992145538	-0.018468348	No	
row_31	PRKCD	NA	5644	0.2187844216823578	-0.02112272	No	
row_32	NPTX2	NA	5667	0.21631397306919098	-0.017530408	No	
row_33	RRAD	NA	5770	0.20713990926742554	-0.019296486	No	
row_34	GGH	NA	5850	0.20054234564304352	-0.01973581	No	
row_35	NKX2-5	NA	5955	0.19227288663387299	-0.021974696	No	
row_36	HNRNPU	NA	6048	0.1847064048051834	-0.023616835	No	
row_37	TYRO3	NA	6727	0.13193459808826447	-0.06417517	No	
row_38	TFRC	NA	6754	0.13034935295581818	-0.062830165	No	
row_39	CCND3	NA	6886	0.120945505797863	-0.068457	No	
row_40	EPCAM	NA	7059	0.10656320303678513	-0.0770541	No	
row_41	CASP3	NA	7068	0.10607504844665527	-0.07511316	No	
row_42	ATF3	NA	7080	0.10448440909385681	-0.07340202	No	
row_43	PTPRD	NA	7126	0.10092137008905411	-0.07396042	No	
row_44	RASGRP1	NA	7342	0.08438734710216522	-0.08583686	No	
row_45	ATP6V1C1	NA	7682	0.06052323803305626	-0.10624205	No	
row_46	PRPF3	NA	7737	0.05643108859658241	-0.108409286	No	
row_47	MSX1	NA	7758	0.05528895556926727	-0.1084159	No	
row_48	HYAL2	NA	7788	0.05283354967832565	-0.10905829	No	
row_49	PDLIM3	NA	7977	0.03719593584537506	-0.120290376	No	
row_50	BAK1	NA	8101	0.02931114472448826	-0.12752385	No	
row_51	GAL	NA	8420	0.008016081526875496	-0.14779371	No	
row_52	CLCN2	NA	8510	0.0015401664422824979	-0.153483	No	
row_53	SLC6A8	NA	9031	-0.02419130876660347	-0.18637212	No	
row_54	SLC25A4	NA	9174	-0.035069551318883896	-0.19469447	No	
row_55	CLTB	NA	9346	-0.0465390719473362	-0.20461676	No	
row_56	STK25	NA	9406	-0.050271324813365936	-0.20724821	No	
row_57	SHOX2	NA	9611	-0.0634634867310524	-0.21890143	No	
row_58	RAB27A	NA	9626	-0.06500773876905441	-0.21829711	No	
row_59	NR4A1	NA	9654	-0.0668146088719368	-0.2184872	No	
row_60	CDC34	NA	9754	-0.07342603802680969	-0.22315565	No	
row_61	E2F5	NA	10159	-0.10191129893064499	-0.2467839	No	
row_62	MRPL23	NA	10278	-0.10999461263418198	-0.25182799	No	
row_63	WIZ	NA	10326	-0.11314927786588669	-0.252232	No	
row_64	CCK	NA	10540	-0.1306876540184021	-0.26290795	No	
row_65	CCNE1	NA	10812	-0.15397925674915314	-0.27677563	No	
row_66	SOD2	NA	10817	-0.15441852807998657	-0.27345827	No	
row_67	BID	NA	10932	-0.16337506473064423	-0.27700937	No	
row_68	GRPEL1	NA	11006	-0.17103788256645203	-0.27774575	No	
row_69	CDC5L	NA	11076	-0.17739605903625488	-0.27807763	No	
row_70	BTG1	NA	11408	-0.21428947150707245	-0.29440868	No	
row_71	NUP58	NA	11528	-0.22738783061504364	-0.29679957	No	
row_72	PPIF	NA	11550	-0.23034974932670593	-0.292818	No	
