NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AXIN1	NA	298	0.8243639469146729	0.05606988	Yes	
row_1	LEF1	NA	588	0.7215588688850403	0.10334471	Yes	
row_2	NOTCH1	NA	658	0.7079509496688843	0.16346091	Yes	
row_3	HEY2	NA	1161	0.6322832703590393	0.18896414	Yes	
row_4	JAG1	NA	1435	0.5994612574577332	0.22613338	Yes	
row_5	AXIN2	NA	1448	0.5975239872932434	0.27983215	Yes	
row_6	FZD1	NA	1907	0.5465041995048523	0.3003326	Yes	
row_7	JAG2	NA	3906	0.36506909132003784	0.20572187	No	
row_8	HEY1	NA	4793	0.28267401456832886	0.17477757	No	
row_9	PSEN2	NA	4827	0.27943313121795654	0.19813682	No	
row_10	PPARD	NA	5346	0.2381420135498047	0.18668824	No	
row_11	DKK1	NA	5579	0.22250665724277496	0.19212079	No	
row_12	HDAC11	NA	5656	0.21711459755897522	0.20704709	No	
row_13	DLL1	NA	5861	0.19918480515480042	0.21214597	No	
row_14	ADAM17	NA	5894	0.19666653871536255	0.2280247	No	
row_15	TCF7	NA	5935	0.19336053729057312	0.24309002	No	
row_16	WNT5B	NA	6481	0.15128344297409058	0.2219957	No	
row_17	CSNK1E	NA	7115	0.1016792431473732	0.19074701	No	
row_18	MYC	NA	8051	0.03293326124548912	0.13390136	No	
row_19	KAT2A	NA	8304	0.01664281263947487	0.119288355	No	
row_20	MAML1	NA	8322	0.015333637595176697	0.11959795	No	
row_21	NUMB	NA	8332	0.01413857750594616	0.120310664	No	
row_22	PTCH1	NA	8730	-0.00556946313008666	0.09540709	No	
row_23	NKD1	NA	9018	-0.02353392168879509	0.07918196	No	
row_24	CTNNB1	NA	9020	-0.02369609847664833	0.08127795	No	
row_25	CCND2	NA	9855	-0.08159001916646957	0.0353324	No	
row_26	NCSTN	NA	10288	-0.1106204241514206	0.01776439	No	
row_27	NCOR2	NA	11159	-0.1868143528699875	-0.020893807	No	
row_28	WNT6	NA	12449	-0.3344095051288605	-0.072917506	No	
row_29	CUL1	NA	12844	-0.38882771134376526	-0.06269342	No	
row_30	HDAC2	NA	14005	-0.5716564059257507	-0.08483398	No	
row_31	RBPJ	NA	14209	-0.6096307635307312	-0.042257175	No	
row_32	SKP2	NA	14467	-0.6572653651237488	0.0012052851	No	
row_33	FZD8	NA	15203	-0.8209862112998962	0.028995689	No	
