NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAP1GAP	NA	418	0.7700868248939514	-0.015202181	No	
row_1	SLC12A4	NA	710	0.6961206793785095	-0.02334991	No	
row_2	TPST1	NA	1137	0.6341943144798279	-0.041135922	No	
row_3	GAD1	NA	1379	0.6057233214378357	-0.04743905	No	
row_4	ABCC3	NA	2336	0.5012004375457764	-0.10138796	No	
row_5	FAS	NA	2386	0.49600085616111755	-0.09699412	No	
row_6	HPRT1	NA	2468	0.4881207346916199	-0.09478141	No	
row_7	ID2	NA	2491	0.4858686327934265	-0.08880267	No	
row_8	ENPEP	NA	2644	0.4723288118839264	-0.091403626	No	
row_9	CYFIP2	NA	3441	0.40413740277290344	-0.13652405	No	
row_10	JUP	NA	3559	0.39432090520858765	-0.13805799	No	
row_11	SLC46A3	NA	3653	0.3869631290435791	-0.13815805	No	
row_12	CROT	NA	3667	0.38595154881477356	-0.13312052	No	
row_13	TGFB2	NA	3769	0.3765343129634857	-0.1338946	No	
row_14	IRF8	NA	3828	0.3718439042568207	-0.13197038	No	
row_15	AOX1	NA	4967	0.2668207585811615	-0.20121	No	
row_16	AP4B1	NA	5240	0.2458229660987854	-0.21498825	No	
row_17	PPARD	NA	5346	0.2381420135498047	-0.21812658	No	
row_18	GCNT2	NA	5471	0.23016828298568726	-0.22261012	No	
row_19	EPHA2	NA	5495	0.22830460965633392	-0.22061639	No	
row_20	ETS2	NA	5515	0.22627656161785126	-0.21839587	No	
row_21	PYCR1	NA	6257	0.16756215691566467	-0.26357475	No	
row_22	GSR	NA	6407	0.15716178715229034	-0.27077988	No	
row_23	UPP1	NA	6421	0.15583135187625885	-0.26924518	No	
row_24	ELOVL5	NA	6445	0.15373477339744568	-0.26838654	No	
row_25	FABP1	NA	7612	0.06594106554985046	-0.34248748	No	
row_26	ATP2A2	NA	7718	0.05813983082771301	-0.34836575	No	
row_27	PGD	NA	8282	0.018442248925566673	-0.38434914	No	
row_28	PDLIM5	NA	8504	0.001701262895949185	-0.39855835	No	
row_29	PDK4	NA	8886	-0.014980347827076912	-0.42287138	No	
row_30	ETFDH	NA	9166	-0.03449725732207298	-0.44031727	No	
row_31	TYR	NA	9228	-0.03781967982649803	-0.44367075	No	
row_32	CASP6	NA	9534	-0.058231934905052185	-0.4624301	No	
row_33	ACO2	NA	9629	-0.0651857852935791	-0.46749258	No	
row_34	PINK1	NA	10014	-0.09247709065675735	-0.49081922	No	
row_35	CNDP2	NA	10227	-0.106503427028656	-0.50285345	No	
row_36	PGRMC1	NA	10303	-0.11159797757863998	-0.5059856	No	
row_37	GCLC	NA	10322	-0.1127147376537323	-0.5054293	No	
row_38	ABHD6	NA	10391	-0.1176690086722374	-0.5080182	No	
row_39	ATOH8	NA	10683	-0.14383314549922943	-0.5245728	No	
row_40	ARPP19	NA	10828	-0.15508189797401428	-0.5314875	No	
row_41	KARS1	NA	10842	-0.15617884695529938	-0.5299475	No	
row_42	GABARAPL1	NA	10963	-0.16651253402233124	-0.53514236	No	
row_43	PTS	NA	10968	-0.1672717183828354	-0.53285384	No	
row_44	PAPSS2	NA	10996	-0.16983823478221893	-0.5320077	No	
row_45	NFS1	NA	11287	-0.19986139237880707	-0.54764503	No	
row_46	MARCHF6	NA	11297	-0.200959712266922	-0.5451657	No	
row_47	COMT	NA	11393	-0.2121374011039734	-0.54805577	No	
row_48	NINJ1	NA	11474	-0.2206372618675232	-0.5498503	No	
row_49	BPHL	NA	11721	-0.24855026602745056	-0.5619123	No	
row_50	ALAS1	NA	11804	-0.2565126419067383	-0.56328946	No	
row_51	TMEM97	NA	11861	-0.26277273893356323	-0.56289667	No	
row_52	CDA	NA	11867	-0.26294276118278503	-0.55921626	No	
row_53	FBLN1	NA	12019	-0.2805876135826111	-0.56467146	No	
row_54	EPHX1	NA	12128	-0.2951219379901886	-0.5671357	Yes	
row_55	CD36	NA	12166	-0.29918569326400757	-0.5649648	Yes	
row_56	PMM1	NA	12200	-0.304155170917511	-0.5624606	Yes	
row_57	TNFRSF1A	NA	12202	-0.3045966327190399	-0.5578885	Yes	
row_58	SMOX	NA	12227	-0.30741697549819946	-0.5547549	Yes	
row_59	DDC	NA	12258	-0.3107845187187195	-0.5519566	Yes	
row_60	LONP1	NA	12346	-0.3239133059978485	-0.5526299	Yes	
row_61	GSS	NA	12383	-0.32827967405319214	-0.54995173	Yes	
row_62	IGFBP1	NA	12572	-0.35188230872154236	-0.55670494	Yes	
row_63	SLC35D1	NA	12677	-0.3656679391860962	-0.55783767	Yes	
row_64	BCAT1	NA	12680	-0.36629870533943176	-0.55239075	Yes	
row_65	HNF4A	NA	12705	-0.37051835656166077	-0.5482967	Yes	
row_66	ADH1C	NA	12727	-0.37319353222846985	-0.5439686	Yes	
row_67	SLC6A6	NA	12730	-0.37342870235443115	-0.53841317	Yes	
row_68	LPIN2	NA	12798	-0.3835497498512268	-0.5368905	Yes	
row_69	PROS1	NA	13063	-0.4215999245643616	-0.5474778	Yes	
row_70	ESR1	NA	13280	-0.4538496136665344	-0.5544824	Yes	
row_71	PTGES	NA	13303	-0.4570683240890503	-0.5489421	Yes	
row_72	PTGR1	NA	13394	-0.46905696392059326	-0.54759926	Yes	
row_73	PTGES3	NA	13451	-0.47578614950180054	-0.543964	Yes	
row_74	ACP2	NA	13466	-0.4789806008338928	-0.5375748	Yes	
row_75	HSD17B2	NA	13871	-0.5477887988090515	-0.555259	Yes	
row_76	NMT1	NA	13936	-0.5606542825698853	-0.5508472	Yes	
row_77	XDH	NA	13972	-0.5662427544593811	-0.54448235	Yes	
row_78	ENTPD5	NA	14033	-0.5763217806816101	-0.53957444	Yes	
row_79	ACOX1	NA	14101	-0.5889469385147095	-0.5349252	Yes	
row_80	ARG2	NA	14162	-0.6014989614486694	-0.529634	Yes	
row_81	MAN1A1	NA	14222	-0.6118224859237671	-0.5241213	Yes	
row_82	SSR3	NA	14278	-0.6207678914070129	-0.5182147	Yes	
row_83	ACOX2	NA	14280	-0.6208257675170898	-0.50882906	Yes	
row_84	TTPA	NA	14332	-0.6289204359054565	-0.5025407	Yes	
row_85	IGF1	NA	14418	-0.6452342867851257	-0.49819413	Yes	
row_86	BCAR1	NA	14436	-0.6486364006996155	-0.48941568	Yes	
row_87	IGFBP4	NA	14456	-0.6538779735565186	-0.4806863	Yes	
row_88	TDO2	NA	14498	-0.6654955744743347	-0.47319713	Yes	
row_89	TMBIM6	NA	14526	-0.6699979901313782	-0.46473765	Yes	
row_90	ACOX3	NA	14677	-0.6989697813987732	-0.4637599	Yes	
row_91	UPB1	NA	14720	-0.7071657180786133	-0.45570084	Yes	
row_92	HACL1	NA	14734	-0.7094497084617615	-0.4457391	Yes	
row_93	UGDH	NA	14751	-0.7121537923812866	-0.4359294	Yes	
row_94	ALDH9A1	NA	14763	-0.71497642993927	-0.42575467	Yes	
row_95	SAR1B	NA	14875	-0.7432683110237122	-0.42159054	Yes	
row_96	GNMT	NA	14884	-0.7460694313049316	-0.4107493	Yes	
row_97	MTHFD1	NA	14885	-0.7461223602294922	-0.39939192	Yes	
row_98	FAH	NA	14892	-0.7472293376922607	-0.3884042	Yes	
row_99	TAT	NA	14909	-0.7506173849105835	-0.37800902	Yes	
row_100	NPC1	NA	14910	-0.7508053183555603	-0.36658037	Yes	
row_101	LEAP2	NA	15016	-0.7735874056816101	-0.36156824	Yes	
row_102	AHCY	NA	15026	-0.775084912776947	-0.35034975	Yes	
row_103	DHRS7	NA	15032	-0.7774968147277832	-0.33883688	Yes	
row_104	MCCC2	NA	15038	-0.7794415354728699	-0.3272944	Yes	
row_105	IDH1	NA	15149	-0.8074009418487549	-0.3220896	Yes	
row_106	HRG	NA	15158	-0.8085630536079407	-0.3102971	Yes	
row_107	HMOX1	NA	15175	-0.812136709690094	-0.29896548	Yes	
row_108	PLG	NA	15204	-0.8214508295059204	-0.28826505	Yes	
row_109	ACP1	NA	15251	-0.8323819637298584	-0.27855763	Yes	
row_110	FETUB	NA	15262	-0.8353171944618225	-0.26648667	Yes	
row_111	PEMT	NA	15280	-0.8380593657493591	-0.2548249	Yes	
row_112	SLC6A12	NA	15334	-0.848721981048584	-0.24531963	Yes	
row_113	CDO1	NA	15344	-0.8511096239089966	-0.23294389	Yes	
row_114	KYNU	NA	15357	-0.8545926213264465	-0.22070837	Yes	
row_115	DCXR	NA	15370	-0.8580197691917419	-0.20842068	Yes	
row_116	HGFAC	NA	15384	-0.8614054322242737	-0.19614588	Yes	
row_117	F10	NA	15402	-0.8645796179771423	-0.18408039	Yes	
row_118	RBP4	NA	15424	-0.8706947565078735	-0.17217948	Yes	
row_119	LCAT	NA	15432	-0.8727952837944031	-0.15934482	Yes	
row_120	VTN	NA	15458	-0.8794233798980713	-0.14756869	Yes	
row_121	TKFC	NA	15460	-0.8796165585517883	-0.13424371	Yes	
row_122	AQP9	NA	15473	-0.8814468383789062	-0.12159943	Yes	
row_123	GCH1	NA	15480	-0.8833862543106079	-0.10853914	Yes	
row_124	DDT	NA	15489	-0.885552167892456	-0.09557471	Yes	
row_125	ANGPTL3	NA	15547	-0.9006070494651794	-0.085537314	Yes	
row_126	ALDH2	NA	15593	-0.9273533225059509	-0.07431985	Yes	
row_127	CAT	NA	15601	-0.9325246214866638	-0.060575992	Yes	
row_128	SLC35B1	NA	15630	-0.985784113407135	-0.047374092	Yes	
row_129	SHMT2	NA	15634	-0.9986890554428101	-0.03236545	Yes	
row_130	ABCD2	NA	15636	-1.0099436044692993	-0.017056664	Yes	
row_131	ABCC2	NA	15655	-1.2009505033493042	6.4587E-5	Yes	
