NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	35	0.6379681	2.3191316	0.0	0.0	0.0	2580	tags=54%, list=16%, signal=65%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	167	0.41472924	2.0219307	0.0	9.610215E-4	0.002	2546	tags=37%, list=16%, signal=43%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	33	0.53055537	1.9209138	0.0	0.0019754465	0.006	2217	tags=48%, list=14%, signal=56%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	135	0.39189294	1.8413987	0.0	0.0035552697	0.014	4307	tags=47%, list=28%, signal=65%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	174	0.33367473	1.629548	0.0	0.018261949	0.093	6712	tags=64%, list=43%, signal=111%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	146	0.34027702	1.6135591	0.0018281536	0.017440751	0.107	4678	tags=44%, list=30%, signal=62%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	147	0.32574746	1.5528057	0.0017211704	0.026770877	0.183	4437	tags=41%, list=28%, signal=57%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	152	0.2972758	1.4384837	0.0071174377	0.06970911	0.453	3942	tags=30%, list=25%, signal=40%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	119	0.30345908	1.4026225	0.018965518	0.08519109	0.568	3171	tags=33%, list=20%, signal=41%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	27	0.4051581	1.3985187	0.079457365	0.079630375	0.583	2536	tags=33%, list=16%, signal=40%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	164	0.25977778	1.2487944	0.07130435	0.22889088	0.941	2204	tags=23%, list=14%, signal=26%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	151	0.25288272	1.2046013	0.101265825	0.28794494	0.979	5298	tags=45%, list=34%, signal=67%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	153	0.24620497	1.1881202	0.13628319	0.29573843	0.985	2491	tags=22%, list=16%, signal=25%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	133	0.23743486	1.1197467	0.2195122	0.42600295	0.998	4907	tags=39%, list=31%, signal=56%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	119	0.24130169	1.1185073	0.20185184	0.4010992	0.998	2158	tags=18%, list=14%, signal=21%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	34	0.3003326	1.0836654	0.29856116	0.46674594	1.0	1907	tags=21%, list=12%, signal=23%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	164	0.22401859	1.0830531	0.28743544	0.44104895	1.0	3560	tags=29%, list=23%, signal=37%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	125	0.22417478	1.0466872	0.370826	0.5150706	1.0	3938	tags=28%, list=25%, signal=37%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	28	0.29746655	1.034477	0.41682243	0.5208645	1.0	4034	tags=46%, list=26%, signal=62%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	119	0.22506839	1.029811	0.39441535	0.5069742	1.0	5176	tags=42%, list=33%, signal=62%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		156	0.21057841	1.0172471	0.40338984	0.51626706	1.0	3914	tags=30%, list=25%, signal=40%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		50	0.2346825	0.91100925	0.57225436	0.78153545	1.0	4907	tags=42%, list=31%, signal=61%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		89	0.19200945	0.8523194	0.7723133	0.8896326	1.0	4506	tags=35%, list=29%, signal=49%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		57	0.20513792	0.83609736	0.7627986	0.8873826	1.0	1416	tags=16%, list=9%, signal=17%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		46	0.21472535	0.8355813	0.75327104	0.8532234	1.0	4530	tags=39%, list=29%, signal=55%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		171	0.16472545	0.7984965	0.9296296	0.88478833	1.0	6387	tags=44%, list=41%, signal=74%	
