NAME	TITLE	SCORE	
SAMD5	NA	1.3913932	
LIN28B	NA	1.3424478	
ADGRD1	NA	1.3329175	
NSG1	NA	1.3044249	
ARHGAP8	NA	1.270232	
XCR1	NA	1.2520658	
ZBTB7C	NA	1.2510567	
LMCD1	NA	1.2473878	
WNT2	NA	1.2307817	
DLK1	NA	1.2212566	
NFASC	NA	1.2142041	
MXRA8	NA	1.1916909	
SLC16A3	NA	1.1873542	
LOC115598894	NA	1.1777077	
ADCYAP1R1	NA	1.1761918	
FGF7	NA	1.1721127	
IL6	NA	1.166854	
RGMA	NA	1.1632229	
LOC103528712	NA	1.1572793	
PRLR	NA	1.1470016	
FBXL2	NA	1.145976	
ANKDD1B	NA	1.1351525	
TPPP	NA	1.1339855	
ADAMTS5	NA	1.1302792	
LOC115597813	NA	1.12959	
VIM	NA	1.1255107	
STOM	NA	1.122546	
SH3BGRL2	NA	1.116927	
LOC115597861	NA	1.114815	
TMTC2	NA	1.1101757	
ITGB6	NA	1.0980605	
RUBCN	NA	1.0952772	
EFEMP1	NA	1.0950308	
TSC22D1	NA	1.0930125	
SRPK2	NA	1.0872376	
CHST10	NA	1.0847366	
LOC115598274	NA	1.0826219	
LOC103531961	NA	1.0793344	
GABRP	NA	1.0721627	
SLC39A12	NA	1.0670164	
LSAMP	NA	1.0638326	
CYS1	NA	1.0608765	
LOC103537723	NA	1.0567142	
EMILIN2	NA	1.0531354	
HOPX	NA	1.0521196	
GPSM1	NA	1.0479304	
HOXD9	NA	1.0473253	
TPPP3	NA	1.0465074	
SLC18A2	NA	1.0458181	
SLC7A1	NA	1.0435151	
LOC103532419	NA	1.0417303	
PLCD1	NA	1.0384266	
KCNK2	NA	1.0381418	
EDAR	NA	1.0351588	
LOC103528919	NA	1.0317494	
JARID2	NA	1.0262885	
LPCAT2	NA	1.0220805	
PNP	NA	1.0217109	
LOC115599596	NA	1.0204239	
LOC115599699	NA	1.020152	
UMODL1	NA	1.0190802	
TECTA	NA	1.0169069	
MAP6D1	NA	1.0167584	
PISD	NA	1.0141997	
STK17A	NA	1.0136896	
LRP1B	NA	1.0129299	
FAR1	NA	1.0120518	
DIPK2A	NA	1.0109272	
SNAI2	NA	1.0105199	
ANGPTL2	NA	1.0097302	
LOC103529798	NA	1.0088488	
OGFRL1	NA	1.0064856	
SLC25A24	NA	1.0048486	
MAPK8IP3	NA	1.0043074	
LOC103527500	NA	1.0041078	
ROBO1	NA	1.0034281	
GSE1	NA	0.9999874	
ST6GAL2	NA	0.9997181	
INTU	NA	0.9989088	
DPYSL5	NA	0.99830717	
L3MBTL1	NA	0.99676263	
DYNC1I1	NA	0.9922746	
PODN	NA	0.9916918	
ANKEF1	NA	0.9906409	
ARMC3	NA	0.99011874	
LAPTM4A	NA	0.9894022	
LOC115599317	NA	0.98863566	
SERPINF1	NA	0.98637635	
MBTD1	NA	0.9844211	
LHFPL3	NA	0.98334414	
CPEB1	NA	0.9806751	
