NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRF7	NA	272	0.17824885249137878	0.0053843018	Yes	
row_1	SOCS1	NA	351	0.16692045331001282	0.02179939	Yes	
row_2	FASLG	NA	365	0.16541516780853271	0.04220447	Yes	
row_3	IL12RB1	NA	446	0.15626387298107147	0.05712238	Yes	
row_4	IL7	NA	497	0.1521238535642624	0.073439404	Yes	
row_5	GLMN	NA	610	0.14396072924137115	0.08471794	Yes	
row_6	IL2RA	NA	947	0.12412384897470474	0.07903286	Yes	
row_7	CD74	NA	1016	0.12115855515003204	0.090215035	Yes	
row_8	TRAF2	NA	1189	0.11325440555810928	0.09368893	Yes	
row_9	IL12A	NA	1368	0.10679274052381516	0.0959469	Yes	
row_10	STAT1	NA	1432	0.10434568673372269	0.10529184	Yes	
row_11	MTIF2	NA	1529	0.10156802088022232	0.11215627	Yes	
row_12	LCK	NA	1591	0.09961375594139099	0.12102228	Yes	
row_13	IFNG	NA	1612	0.09896747767925262	0.132444	Yes	
row_14	INHBB	NA	1682	0.09696467965841293	0.14045495	Yes	
row_15	CCL22	NA	1731	0.09566259384155273	0.14965023	Yes	
row_16	CD86	NA	1901	0.09114532917737961	0.15047808	Yes	
row_17	FGR	NA	1922	0.09041225165128708	0.16080117	Yes	
row_18	THY1	NA	2108	0.08525221794843674	0.15984252	Yes	
row_19	LY75	NA	2110	0.08522850275039673	0.17072275	Yes	
row_20	FAS	NA	2131	0.08458035439252853	0.18029694	Yes	
row_21	RPL3L	NA	2259	0.08141136914491653	0.18257785	Yes	
row_22	NLRP3	NA	2295	0.08070352673530579	0.19068883	Yes	
row_23	DARS1	NA	2317	0.08024860173463821	0.1996424	Yes	
row_24	IKBKB	NA	2501	0.07637792825698853	0.19767287	Yes	
row_25	IRF8	NA	2555	0.0749468132853508	0.20388615	Yes	
row_26	ITK	NA	2577	0.07431957125663757	0.21207835	Yes	
row_27	CD40LG	NA	2606	0.07357697188854218	0.21972468	Yes	
row_28	IFNGR2	NA	2649	0.07272165268659592	0.22636016	Yes	
row_29	IL15	NA	2678	0.07213731110095978	0.23382162	Yes	
row_30	EIF4G3	NA	2706	0.07142061740159988	0.2412554	Yes	
row_31	WARS1	NA	3005	0.06588681787252426	0.23053744	Yes	
row_32	LIF	NA	3045	0.06525041908025742	0.23640658	Yes	
