NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPDEF	NA	944	0.12425923347473145	-0.03791884	No	
row_1	CAMKK2	NA	1231	0.11146935820579529	-0.03590987	No	
row_2	GPD1L	NA	1489	0.10274023562669754	-0.033634055	No	
row_3	ADAMTS1	NA	1855	0.09234824031591415	-0.040195517	No	
row_4	XRCC5	NA	1911	0.09087337553501129	-0.027113989	No	
row_5	CCND1	NA	2179	0.08338607102632523	-0.029019047	No	
row_6	STEAP4	NA	2590	0.07396779954433441	-0.04183156	No	
row_7	UAP1	NA	2607	0.0735555961728096	-0.029411107	No	
row_8	PA2G4	NA	2675	0.0721626952290535	-0.020521274	No	
row_9	RRP12	NA	2730	0.07097984105348587	-0.011012654	No	
row_10	SELENOP	NA	2972	0.06628512591123581	-0.014374191	No	
row_11	SLC26A2	NA	3040	0.06532610207796097	-0.0067342925	No	
row_12	PLPP1	NA	3164	0.06336798518896103	-0.0030495198	No	
row_13	MAF	NA	3269	0.06166981905698776	0.0015452283	No	
row_14	TNFAIP8	NA	3283	0.0613902248442173	0.011934182	No	
row_15	MAK	NA	3967	0.050435636192560196	-0.022716697	No	
row_16	ELOVL5	NA	4206	0.046873413026332855	-0.029434582	No	
row_17	ABCC4	NA	4342	0.04491499811410904	-0.02989439	No	
row_18	ALDH1A3	NA	4401	0.04390128329396248	-0.02559349	No	
row_19	AKAP12	NA	4623	0.0405096672475338	-0.03238288	No	
row_20	SRP19	NA	4724	0.038985513150691986	-0.031678572	No	
row_21	TMEM50A	NA	5013	0.03521616384387016	-0.043739475	No	
row_22	SAT1	NA	5192	0.032594192773103714	-0.049213976	No	
row_23	IQGAP2	NA	5289	0.031297001987695694	-0.04965843	No	
row_24	GSR	NA	5585	0.02705172449350357	-0.06366168	No	
row_25	PTK2B	NA	5897	0.02258666604757309	-0.07950903	No	
row_26	CDC14B	NA	5925	0.022221332415938377	-0.07718062	No	
row_27	NCOA4	NA	6023	0.021002603694796562	-0.07957143	No	
row_28	HOMER2	NA	6589	0.013057186268270016	-0.113476574	No	
row_29	DHCR24	NA	6687	0.011686945334076881	-0.11757058	No	
row_30	UBE2I	NA	6701	0.011565805412828922	-0.116291046	No	
row_31	ANKH	NA	6714	0.01138916052877903	-0.11497957	No	
row_32	TPD52	NA	6936	0.008494595065712929	-0.12762229	No	
row_33	HMGCR	NA	6960	0.008236384019255638	-0.12759382	No	
row_34	INPP4B	NA	7120	0.006153558846563101	-0.13668202	No	
row_35	PIAS1	NA	7158	0.0056304652243852615	-0.13802926	No	
row_36	SRF	NA	7195	0.005149653181433678	-0.13940018	No	
row_37	VAPA	NA	7202	0.005102432798594236	-0.13885272	No	
row_38	RPS6KA3	NA	7684	-0.0010182149708271027	-0.16956326	No	
row_39	NGLY1	NA	7920	-0.0039380816742777824	-0.18393832	No	
row_40	ARID5B	NA	8084	-0.006360490806400776	-0.19324563	No	
row_41	ACTN1	NA	8223	-0.008057394064962864	-0.20063683	No	
row_42	CDK6	NA	8304	-0.009145076386630535	-0.20410359	No	
row_43	PDLIM5	NA	8512	-0.012007452547550201	-0.21520476	No	
row_44	FADS1	NA	8529	-0.012177598662674427	-0.21400608	No	
row_45	ACSL3	NA	8678	-0.014045187272131443	-0.22094487	No	
row_46	SMS	NA	8695	-0.014224673621356487	-0.21937191	No	
row_47	HERC3	NA	8736	-0.014684701338410378	-0.21925648	No	
row_48	HPGD	NA	8909	-0.01698688417673111	-0.22719906	No	
row_49	APPBP2	NA	9046	-0.01865503564476967	-0.23252423	No	
row_50	TSC22D1	NA	9177	-0.020522432401776314	-0.23712257	No	
row_51	TMPRSS2	NA	9761	-0.028062177821993828	-0.26944056	No	
row_52	STK39	NA	9765	-0.028129559010267258	-0.26449034	No	
row_53	SGK1	NA	10599	-0.03941003605723381	-0.31079218	No	
row_54	CENPN	NA	10668	-0.040294308215379715	-0.30779308	No	
row_55	ITGAV	NA	10670	-0.040316659957170486	-0.3004862	No	
row_56	RAB4A	NA	11019	-0.04547568038105965	-0.3145254	No	
row_57	IDI1	NA	11383	-0.0515773743391037	-0.32841256	No	
row_58	SORD	NA	11485	-0.05313824489712715	-0.32518494	No	
row_59	PTPN21	NA	11800	-0.05801019072532654	-0.3347485	No	
row_60	CCND3	NA	12053	-0.061853062361478806	-0.3396269	No	
row_61	ABHD2	NA	12409	-0.06828978657722473	-0.34994465	No	
row_62	ADRM1	NA	12666	-0.07285230606794357	-0.35306904	Yes	
row_63	ZBTB10	NA	12728	-0.07388804107904434	-0.34347835	Yes	
row_64	XRCC6	NA	13032	-0.07988624274730682	-0.3483357	Yes	
row_65	B4GALT1	NA	13236	-0.08407244086265564	-0.34600428	Yes	
row_66	INSIG1	NA	13351	-0.08659886568784714	-0.33749408	Yes	
row_67	HMGCS1	NA	13551	-0.09149110317230225	-0.33354935	Yes	
row_68	ELL2	NA	13621	-0.09334860742092133	-0.32091457	Yes	
row_69	PMEPA1	NA	13647	-0.09398874640464783	-0.30533642	Yes	
row_70	AKT1	NA	13656	-0.0941435918211937	-0.288638	Yes	
row_71	SEC24D	NA	13657	-0.09415767341852188	-0.2714231	Yes	
row_72	PGM3	NA	13683	-0.09494054317474365	-0.25567093	Yes	
row_73	MERTK	NA	13860	-0.0999702662229538	-0.24869858	Yes	
row_74	DBI	NA	13925	-0.10187826305627823	-0.23418313	Yes	
row_75	SCD	NA	13959	-0.10264811664819717	-0.21753567	Yes	
row_76	LMAN1	NA	14078	-0.10640496760606766	-0.20566125	Yes	
row_77	ZMIZ1	NA	14098	-0.10703747719526291	-0.187312	Yes	
row_78	GUCY1A1	NA	14288	-0.11275050789117813	-0.17883807	Yes	
row_79	SLC38A2	NA	14293	-0.11281798034906387	-0.15846846	Yes	
row_80	GNAI3	NA	14312	-0.11336187273263931	-0.13889867	Yes	
row_81	NDRG1	NA	14328	-0.11382721364498138	-0.119051106	Yes	
row_82	BMPR1B	NA	14365	-0.11495741456747055	-0.100345835	Yes	
row_83	MAP7	NA	14429	-0.11671016365289688	-0.08305443	Yes	
row_84	UBE2J1	NA	14472	-0.11821716278791428	-0.06413858	Yes	
row_85	SPCS3	NA	14727	-0.12974120676517487	-0.05673346	Yes	
row_86	LIFR	NA	15438	-0.18619857728481293	-0.06829707	Yes	
row_87	DNAJB9	NA	15499	-0.2004430890083313	-0.03550404	Yes	
row_88	ELK4	NA	15605	-0.24899761378765106	0.003275691	Yes	
