NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL3A1	NA	802	0.1310623586177826	0.014505204	No	
row_1	THBD	NA	1300	0.10909721255302429	0.037494425	No	
row_2	TNFRSF21	NA	1929	0.09023164957761765	0.042627424	No	
row_3	FGFR1	NA	2114	0.0850178524851799	0.07355076	No	
row_4	PDGFA	NA	2683	0.07203089445829391	0.07338228	No	
row_5	LUM	NA	2814	0.06931424885988235	0.099874325	No	
row_6	LPL	NA	5343	0.03054206818342209	-0.046537917	No	
row_7	PTK2	NA	5673	0.025923626497387886	-0.054569576	No	
row_8	SLCO2A1	NA	6119	0.019596204161643982	-0.073200986	No	
row_9	COL5A2	NA	6903	0.00892909150570631	-0.118815936	No	
row_10	VCAN	NA	8365	-0.01007769163697958	-0.20723495	No	
row_11	MSX1	NA	8539	-0.012365671806037426	-0.21209402	No	
row_12	FSTL1	NA	9499	-0.02461923286318779	-0.26109043	No	
row_13	SPP1	NA	10155	-0.03364352509379387	-0.28610379	No	
row_14	VEGFA	NA	10550	-0.038776662200689316	-0.29183954	No	
row_15	ITGAV	NA	10670	-0.040316659957170486	-0.2792064	No	
row_16	POSTN	NA	11887	-0.05917228385806084	-0.3272939	Yes	
row_17	JAG1	NA	12174	-0.06399668753147125	-0.3134538	Yes	
row_18	APP	NA	12465	-0.0690498799085617	-0.29733193	Yes	
row_19	LRPAP1	NA	12489	-0.0694749653339386	-0.26391292	Yes	
row_20	APOH	NA	12683	-0.0731312707066536	-0.23953493	Yes	
row_21	VTN	NA	13163	-0.0826011449098587	-0.22870043	Yes	
row_22	NRP1	NA	13768	-0.09734097123146057	-0.2184615	Yes	
row_23	STC1	NA	13847	-0.09936533123254776	-0.17355053	Yes	
row_24	JAG2	NA	14384	-0.11565979570150375	-0.1497609	Yes	
row_25	KCNJ8	NA	14966	-0.1422080248594284	-0.11551792	Yes	
row_26	VAV2	NA	15066	-0.14815083146095276	-0.047450323	Yes	
row_27	CCND2	NA	15312	-0.1695258617401123	0.022010298	Yes	
