NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CROT	NA	818	0.12999960780143738	-0.02734131	No	
row_1	LCK	NA	1591	0.09961375594139099	-0.057613805	No	
row_2	SULT2B1	NA	1939	0.08995912969112396	-0.06247042	No	
row_3	AMACR	NA	1970	0.08908629417419434	-0.047144245	No	
row_4	NR1H4	NA	2005	0.08818722516298294	-0.03224899	No	
row_5	GSTK1	NA	2147	0.08418713510036469	-0.024997918	No	
row_6	TFCP2L1	NA	2149	0.08417025953531265	-0.00876193	No	
row_7	ABCG8	NA	2218	0.08251164108514786	0.0028513633	No	
row_8	NR3C2	NA	2892	0.06781282275915146	-0.027223682	No	
row_9	PEX13	NA	3431	0.05901218205690384	-0.050335858	No	
row_10	ACSL1	NA	3652	0.055489666759967804	-0.053714167	No	
row_11	SLC22A18	NA	4049	0.049358662217855453	-0.06957923	No	
row_12	RBP1	NA	4387	0.04416172206401825	-0.082662836	No	
row_13	FDXR	NA	4510	0.04243354871869087	-0.08227783	No	
row_14	PEX11A	NA	5294	0.03121935948729515	-0.12650162	No	
row_15	SLC23A1	NA	5884	0.022813117131590843	-0.15989827	No	
row_16	BCAR3	NA	5935	0.022130629047751427	-0.15882258	No	
row_17	PAOX	NA	6071	0.020476821810007095	-0.16352427	No	
row_18	SLC35B2	NA	6358	0.016178449615836143	-0.17875278	No	
row_19	NEDD4	NA	6385	0.015960808843374252	-0.17733109	No	
row_20	GNPAT	NA	6529	0.014013814739882946	-0.183798	No	
row_21	AKR1D1	NA	6590	0.013051632791757584	-0.18512253	No	
row_22	DHCR24	NA	6687	0.011686945334076881	-0.1890226	No	
row_23	AR	NA	7050	0.0072084288112819195	-0.21086751	No	
row_24	FADS2	NA	7454	0.002125830389559269	-0.23632897	No	
row_25	PEX12	NA	7751	-0.0017704428173601627	-0.2549897	No	
row_26	PEX6	NA	8015	-0.005362789146602154	-0.2708361	No	
row_27	PNPLA8	NA	8494	-0.011796101927757263	-0.29923993	No	
row_28	FADS1	NA	8529	-0.012177598662674427	-0.29906452	No	
row_29	OPTN	NA	8713	-0.014450948685407639	-0.3080148	No	
row_30	IDH2	NA	9130	-0.019729452207684517	-0.33090183	No	
row_31	PEX19	NA	9493	-0.024560200050473213	-0.34938645	No	
row_32	ALDH1A1	NA	9554	-0.02540806494653225	-0.34831807	No	
row_33	ABCG4	NA	9762	-0.02807760424911976	-0.3561703	No	
row_34	RXRA	NA	9816	-0.028837433084845543	-0.3539884	No	
row_35	RXRG	NA	10011	-0.03149302303791046	-0.3603446	No	
row_36	PEX11G	NA	10180	-0.03394247218966484	-0.3645572	Yes	
row_37	ABCA3	NA	10272	-0.03509474918246269	-0.36360317	Yes	
row_38	CH25H	NA	10314	-0.035802897065877914	-0.35930195	Yes	
row_39	HSD17B4	NA	10318	-0.035847194492816925	-0.35255247	Yes	
row_40	PEX16	NA	10346	-0.03629504144191742	-0.3472571	Yes	
row_41	SCP2	NA	10438	-0.03724418208003044	-0.34588683	Yes	
row_42	SLC29A1	NA	10708	-0.040904924273490906	-0.35523543	Yes	
row_43	MLYCD	NA	10816	-0.04229838773608208	-0.35391358	Yes	
row_44	ATXN1	NA	10830	-0.042569223791360855	-0.34650436	Yes	
row_45	PHYH	NA	10875	-0.04316766932606697	-0.34096947	Yes	
row_46	NR0B2	NA	11020	-0.04548709839582443	-0.34140557	Yes	
row_47	IDI1	NA	11383	-0.0515773743391037	-0.3546581	Yes	
row_48	GCLM	NA	11437	-0.05247260630130768	-0.34789908	Yes	
row_49	ABCD2	NA	11438	-0.05249973386526108	-0.3377321	Yes	
row_50	DIO1	NA	11465	-0.05290570110082626	-0.32915577	Yes	
row_51	EFHC1	NA	11773	-0.05759849399328232	-0.33771122	Yes	
row_52	ABCA1	NA	11908	-0.05952056124806404	-0.3347876	Yes	
row_53	ABCA2	NA	11934	-0.059889160096645355	-0.32479465	Yes	
row_54	ABCA4	NA	12076	-0.06226242333650589	-0.32178947	Yes	
row_55	DIO2	NA	12085	-0.06236587464809418	-0.31022546	Yes	
row_56	NPC1	NA	12152	-0.06350257992744446	-0.302165	Yes	
row_57	SLC23A2	NA	12230	-0.06497248262166977	-0.29452613	Yes	
row_58	ALDH9A1	NA	12624	-0.07196805626153946	-0.3058201	Yes	
