NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S100A11	NA	777	0.13250601291656494	-0.00742754	No	
row_1	AVPR1A	NA	1155	0.11480137705802917	0.005116071	No	
row_2	ATF3	NA	1286	0.1095360741019249	0.031803656	No	
row_3	ANXA13	NA	1341	0.10768933594226837	0.06277078	No	
row_4	ACTG1	NA	2528	0.07573311775922775	0.010985577	No	
row_5	PNRC1	NA	2680	0.07210224121809006	0.02436026	No	
row_6	ERRFI1	NA	3044	0.06526940315961838	0.021966027	No	
row_7	LGMN	NA	3054	0.06500325351953506	0.042170294	No	
row_8	STARD4	NA	3508	0.057847339659929276	0.03163628	No	
row_9	PPARG	NA	4220	0.04666435346007347	9.950612E-4	No	
row_10	CD9	NA	4865	0.037255268543958664	-0.028360937	No	
row_11	MAL2	NA	5041	0.034874625504016876	-0.028425464	No	
row_12	LPL	NA	5343	0.03054206818342209	-0.037948888	No	
row_13	NFIL3	NA	5975	0.021641969680786133	-0.07146331	No	
row_14	HMGCR	NA	6960	0.008236384019255638	-0.13188288	No	
row_15	MVK	NA	7398	0.0026860779616981745	-0.15902622	No	
row_16	FADS2	NA	7454	0.002125830389559269	-0.1618709	No	
row_17	ATXN2	NA	7781	-0.002129944274201989	-0.18207937	No	
row_18	FDPS	NA	7840	-0.0028207239229232073	-0.18489413	No	
row_19	ALDOC	NA	7937	-0.004152772016823292	-0.18971801	No	
row_20	PDK3	NA	8008	-0.0052289338782429695	-0.19253181	No	
row_21	GPX8	NA	9013	-0.018253300338983536	-0.25103062	No	
row_22	LSS	NA	9395	-0.023229245096445084	-0.26801813	No	
row_23	LGALS3	NA	9594	-0.02597036398947239	-0.27240306	No	
row_24	ANXA5	NA	9800	-0.02857723832130432	-0.27640313	No	
row_25	ACAT2	NA	10347	-0.03629830852150917	-0.29978544	No	
row_26	DHCR7	NA	10513	-0.03829874098300934	-0.2981145	No	
row_27	NSDHL	NA	10760	-0.041438620537519455	-0.30063012	Yes	
row_28	SREBF2	NA	10884	-0.04330335184931755	-0.29466802	Yes	
row_29	ANTXR2	NA	11201	-0.048369403928518295	-0.29945338	Yes	
row_30	TP53INP1	NA	11266	-0.04961022734642029	-0.2876944	Yes	
row_31	IDI1	NA	11383	-0.0515773743391037	-0.2786386	Yes	
row_32	TMEM97	NA	11788	-0.0578790120780468	-0.28602266	Yes	
row_33	HSD17B7	NA	11876	-0.05903157964348793	-0.27272558	Yes	
row_34	ABCA2	NA	11934	-0.059889160096645355	-0.25723198	Yes	
row_35	SC5D	NA	11971	-0.060434725135564804	-0.24021834	Yes	
row_36	ACSS2	NA	12096	-0.06266326457262039	-0.22813112	Yes	
row_37	JAG1	NA	12174	-0.06399668753147125	-0.21260594	Yes	
row_38	PCYT2	NA	12235	-0.06505855917930603	-0.19565196	Yes	
row_39	NIBAN1	NA	12254	-0.0653342753648758	-0.17591858	Yes	
row_40	GUSB	NA	12451	-0.06886742264032364	-0.16646154	Yes	
row_41	SQLE	NA	12575	-0.07116704434156418	-0.15159166	Yes	
row_42	FASN	NA	13252	-0.08436985313892365	-0.16793603	Yes	
row_43	HMGCS1	NA	13551	-0.09149110317230225	-0.15778235	Yes	
row_44	ALCAM	NA	13562	-0.09184305369853973	-0.12906171	Yes	
row_45	CHKA	NA	13586	-0.0924307256937027	-0.10098622	Yes	
row_46	PMVK	NA	13952	-0.10246334969997406	-0.09161803	Yes	
row_47	SCD	NA	13959	-0.10264811664819717	-0.05918681	Yes	
row_48	CTNNB1	NA	14450	-0.1174350306391716	-0.053042043	Yes	
row_49	GLDC	NA	15447	-0.1875208169221878	-0.0569149	Yes	
row_50	CPEB2	NA	15558	-0.21972186863422394	0.0062796706	Yes	
