NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITGA2	NA	362	0.16556322574615479	0.0010801511	No	
row_1	CTSB	NA	433	0.15767565369606018	0.019771097	No	
row_2	DUSP14	NA	603	0.1445627212524414	0.030169297	No	
row_3	P2RY1	NA	865	0.12750665843486786	0.03214479	No	
row_4	DPP4	NA	1119	0.11653278768062592	0.033020522	No	
row_5	CTSH	NA	1297	0.10924635082483292	0.03771015	No	
row_6	THBD	NA	1300	0.10909721255302429	0.053627517	No	
row_7	PRSS23	NA	1379	0.10637930035591125	0.06425956	No	
row_8	GDA	NA	1499	0.10239935666322708	0.0716706	No	
row_9	WDR1	NA	1593	0.09954378753900528	0.080333024	No	
row_10	CAPN5	NA	2051	0.0867265835404396	0.06371097	No	
row_11	S100A13	NA	2341	0.0798388123512268	0.056875568	No	
row_12	CSRP1	NA	2731	0.07097569108009338	0.04230819	No	
row_13	THBS1	NA	2916	0.067399762570858	0.040393062	No	
row_14	F8	NA	2947	0.06677138805389404	0.04828523	No	
row_15	LTA4H	NA	3034	0.06544129550457001	0.052381873	No	
row_16	MAFF	NA	3052	0.06511243432760239	0.060865737	No	
row_17	LGMN	NA	3054	0.06500325351953506	0.07036208	No	
row_18	MEP1A	NA	3190	0.06288181245326996	0.070932366	No	
row_19	C1QA	NA	3208	0.0625978410243988	0.07904638	No	
row_20	DUSP6	NA	3670	0.055157002061605453	0.05752397	No	
row_21	PEF1	NA	3759	0.05376538261771202	0.05977476	No	
row_22	CTSK	NA	4356	0.04458185285329819	0.028018633	No	
row_23	COMP	NA	4357	0.0445808582007885	0.03457555	No	
row_24	ISCU	NA	4506	0.04251239821314812	0.03131423	No	
row_25	CTSO	NA	4616	0.040647462010383606	0.030285686	No	
row_26	CASP9	NA	4671	0.0397641658782959	0.03266284	No	
row_27	CTSE	NA	4677	0.03970162197947502	0.038180705	No	
row_28	FBN1	NA	4689	0.039512693881988525	0.04328508	No	
row_29	CD9	NA	4865	0.037255268543958664	0.03751488	No	
row_30	S100A1	NA	5120	0.033720601350069046	0.026146375	No	
row_31	MSRB2	NA	5143	0.03337196260690689	0.029640453	No	
row_32	VWF	NA	5176	0.03284462168812752	0.03241413	No	
row_33	MMP7	NA	5786	0.024274131283164024	-0.0031645305	No	
row_34	DCT	NA	6077	0.020380500704050064	-0.018809307	No	
row_35	PLAU	NA	6377	0.016015371307730675	-0.035674658	No	
row_36	PREP	NA	6448	0.015049170702695847	-0.037961107	No	
row_37	F3	NA	6767	0.01055834162980318	-0.056850467	No	
row_38	MMP15	NA	6805	0.010105839930474758	-0.057742614	No	
row_39	PDGFB	NA	7057	0.007088490296155214	-0.0728353	No	
row_40	F2RL2	NA	7239	0.00473452266305685	-0.08377433	No	
row_41	MMP2	NA	7658	-6.755227805115283E-4	-0.110545635	No	
row_42	HMGCS2	NA	7817	-0.0025885743089020252	-0.12032176	No	
row_43	PLEK	NA	8566	-0.012727661989629269	-0.16653413	No	
row_44	GSN	NA	8581	-0.012932080775499344	-0.16553207	No	
row_45	HNF4A	NA	8589	-0.012994914315640926	-0.16407077	No	
row_46	GNG12	NA	8787	-0.015287351794540882	-0.17448623	No	
row_47	SPARC	NA	8865	-0.016349969431757927	-0.17703135	No	
row_48	TIMP3	NA	9115	-0.019521038979291916	-0.1901669	No	
row_49	PECAM1	NA	9206	-0.020922638475894928	-0.19287516	No	
row_50	RAC1	NA	9694	-0.027176158502697945	-0.22018437	No	
row_51	A2M	NA	9971	-0.03100438043475151	-0.23336661	No	
row_52	ACOX2	NA	10284	-0.035254936665296555	-0.24823791	No	
row_53	CRIP2	NA	10313	-0.0357937291264534	-0.24477334	No	
row_54	TFPI2	NA	10412	-0.03696399927139282	-0.24563654	No	
row_55	ITGB3	NA	10662	-0.04018804430961609	-0.2557324	No	
row_56	KLF7	NA	10801	-0.04194715991616249	-0.258434	No	
row_57	ANXA1	NA	10813	-0.04220438003540039	-0.25293374	No	
row_58	C8A	NA	10998	-0.045174263417720795	-0.25811777	No	
row_59	FGG	NA	11135	-0.047185178846120834	-0.25992042	No	
row_60	MASP2	NA	11278	-0.04980361461639404	-0.26172367	Yes	
row_61	CPQ	NA	11360	-0.051217179745435715	-0.25939766	Yes	
row_62	GP1BA	NA	11410	-0.05203026533126831	-0.254895	Yes	
row_63	ARF4	NA	11503	-0.053438689559698105	-0.2529494	Yes	
row_64	C1R	NA	11732	-0.05710916221141815	-0.25920656	Yes	
row_65	CFH	NA	11877	-0.05904049798846245	-0.2597798	Yes	
row_66	C1S	NA	11938	-0.05995164439082146	-0.25481918	Yes	
row_67	MMP11	NA	12039	-0.06160220876336098	-0.25218716	Yes	
row_68	FGA	NA	12215	-0.0648212730884552	-0.25390297	Yes	
row_69	TMPRSS6	NA	12233	-0.06502948701381683	-0.24543132	Yes	
row_70	F9	NA	12526	-0.07013187557458878	-0.25388727	Yes	
row_71	F2	NA	12594	-0.07147210836410522	-0.24768223	Yes	
row_72	FURIN	NA	12607	-0.07165629416704178	-0.23791447	Yes	
row_73	HRG	NA	12686	-0.0731845498085022	-0.2321647	Yes	
row_74	SERPING1	NA	12786	-0.07480161637067795	-0.22752702	Yes	
row_75	C8G	NA	12855	-0.07623846083879471	-0.22068524	Yes	
row_76	CPN1	NA	12900	-0.07716532051563263	-0.21216431	Yes	
