NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLA2G7	NA	177	0.1956525593996048	0.010692035	No	
row_1	IRF7	NA	272	0.17824885249137878	0.024766741	No	
row_2	CTSB	NA	433	0.15767565369606018	0.032265015	No	
row_3	CPM	NA	608	0.14406390488147736	0.037323833	No	
row_4	DPP4	NA	1119	0.11653278768062592	0.017622346	No	
row_5	CTSH	NA	1297	0.10924635082483292	0.018555483	No	
row_6	IRF2	NA	1447	0.10373607277870178	0.020670518	No	
row_7	IRF1	NA	1488	0.10275264829397202	0.02969813	No	
row_8	LCK	NA	1591	0.09961375594139099	0.034376126	No	
row_9	PCSK9	NA	1600	0.0993606448173523	0.04508263	No	
row_10	CASP7	NA	1746	0.0952298566699028	0.046494704	No	
row_11	CEBPB	NA	1930	0.09021450579166412	0.04489172	No	
row_12	S100A13	NA	2341	0.0798388123512268	0.027489655	No	
row_13	PIK3R5	NA	2364	0.07931903749704361	0.035030495	No	
row_14	AKAP10	NA	2394	0.07866910845041275	0.04204687	No	
row_15	PLA2G4A	NA	2429	0.07784716039896011	0.04864823	No	
row_16	CR1	NA	2437	0.07770371437072754	0.05697319	No	
row_17	CD40LG	NA	2606	0.07357697188854218	0.054457687	No	
row_18	C1QC	NA	2666	0.07228720188140869	0.058820162	No	
row_19	CSRP1	NA	2731	0.07097569108009338	0.06271233	No	
row_20	F8	NA	2947	0.06677138805389404	0.05639964	No	
row_21	LTA4H	NA	3034	0.06544129550457001	0.058249123	No	
row_22	MAFF	NA	3052	0.06511243432760239	0.064507626	No	
row_23	LGMN	NA	3054	0.06500325351953506	0.071784794	No	
row_24	C1QA	NA	3208	0.0625978410243988	0.06899584	No	
row_25	IL6	NA	3247	0.06191210076212883	0.07353971	No	
row_26	PRKCD	NA	3284	0.06138933077454567	0.07815342	No	
row_27	USP14	NA	3435	0.05892988666892052	0.07514351	No	
row_28	DYRK2	NA	3501	0.057961735874414444	0.07750141	No	
row_29	LAP3	NA	3544	0.05722564086318016	0.08125824	No	
row_30	DUSP6	NA	3670	0.055157002061605453	0.079433136	No	
row_31	RAF1	NA	3921	0.051297128200531006	0.06911746	No	
row_32	PHEX	NA	4123	0.0481845922768116	0.061607663	No	
row_33	CASP3	NA	4554	0.04175589233636856	0.03861569	No	
row_34	CTSO	NA	4616	0.040647462010383606	0.039275832	No	
row_35	CASP9	NA	4671	0.0397641658782959	0.040287275	No	
row_36	ACTN2	NA	4715	0.03911494091153145	0.041934203	No	
row_37	KIF2A	NA	4754	0.03855026513338089	0.043839537	No	
row_38	PSEN1	NA	4853	0.0374285951256752	0.041751962	No	
row_39	PCLO	NA	4990	0.03558304160833359	0.03700733	No	
row_40	SCG3	NA	5006	0.035326093435287476	0.04003058	No	
row_41	USP15	NA	5054	0.034672513604164124	0.04091802	No	
row_42	DUSP5	NA	5128	0.033624887466430664	0.040011775	No	
row_43	USP8	NA	5258	0.03177130967378616	0.0352877	No	
row_44	DOCK4	NA	5422	0.02960776910185814	0.02812841	No	
row_45	GPD2	NA	5802	0.024032320827245712	0.0064209946	No	
row_46	RHOG	NA	5882	0.02283049188554287	0.003908984	No	
row_47	PDP1	NA	6062	0.020621350035071373	-0.005296246	No	
row_48	CBLB	NA	6180	0.01884414255619049	-0.010707094	No	
row_49	CTSC	NA	6301	0.01703162118792534	-0.016515965	No	
row_50	PREP	NA	6448	0.015049170702695847	-0.024224102	No	
row_51	DGKH	NA	6462	0.014941317029297352	-0.023374282	No	
row_52	GNAI2	NA	6570	0.013316767290234566	-0.028765032	No	
row_53	F3	NA	6767	0.01055834162980318	-0.04020223	No	
row_54	CDA	NA	6797	0.010188519954681396	-0.040920194	No	
row_55	MMP15	NA	6805	0.010105839930474758	-0.04022988	No	
row_56	XPNPEP1	NA	6876	0.009154600091278553	-0.04370654	No	
row_57	PDGFB	NA	7057	0.007088490296155214	-0.054504637	No	
row_58	USP16	NA	7302	0.004093169700354338	-0.06976501	No	
row_59	GNG2	NA	7910	-0.0038226088508963585	-0.10844662	No	
row_60	KCNIP2	NA	8055	-0.005880107171833515	-0.11706145	No	
row_61	GMFB	NA	8173	-0.007468244526535273	-0.12375712	No	
row_62	ATOX1	NA	8251	-0.008447501808404922	-0.1277647	No	
row_63	SH2B3	NA	8506	-0.011906533502042294	-0.14278698	No	
row_64	JAK2	NA	8553	-0.012504122219979763	-0.14433885	No	
row_65	PLEK	NA	8566	-0.012727661989629269	-0.14367461	No	
row_66	HNF4A	NA	8589	-0.012994914315640926	-0.14362456	No	
row_67	COL4A2	NA	8612	-0.01323317177593708	-0.1435476	No	
row_68	PIM1	NA	8808	-0.0156487375497818	-0.15434542	No	
row_69	FDX1	NA	9561	-0.02550906501710415	-0.19992112	No	
row_70	LGALS3	NA	9594	-0.02597036398947239	-0.19904995	No	
row_71	ANXA5	NA	9800	-0.02857723832130432	-0.209032	No	
row_72	RNF4	NA	9801	-0.028594430536031723	-0.20580249	No	
row_73	TNFAIP3	NA	9949	-0.030767155811190605	-0.21179983	No	
row_74	ZEB1	NA	10003	-0.03134852647781372	-0.21167444	No	
row_75	SIRT6	NA	10013	-0.03152246028184891	-0.20869416	No	
row_76	MSRB1	NA	10077	-0.03266199678182602	-0.20906478	No	
row_77	BRPF3	NA	10140	-0.03347551077604294	-0.20927909	No	
row_78	SPOCK2	NA	10141	-0.033498115837574005	-0.20549574	No	
row_79	TFPI2	NA	10412	-0.03696399927139282	-0.21871898	No	
row_80	LIPA	NA	10420	-0.037020787596702576	-0.21498883	No	
row_81	CD59	NA	10433	-0.03720280900597572	-0.21156031	No	
row_82	PRDM4	NA	10436	-0.0372183620929718	-0.20748568	No	
row_83	RBSN	NA	10565	-0.03899064287543297	-0.21132994	No	
row_84	GZMA	NA	10577	-0.03911552578210831	-0.20762096	No	
row_85	CTSD	NA	10618	-0.039662133902311325	-0.20571892	No	
row_86	CD36	NA	10629	-0.03987713158130646	-0.20185949	No	
row_87	TIMP2	NA	10754	-0.04139376059174538	-0.2051746	No	
row_88	VCPIP1	NA	10779	-0.04161451384425163	-0.20202106	No	
row_89	PRCP	NA	10975	-0.04474887624382973	-0.20953226	No	
row_90	CDH13	NA	11259	-0.049516674131155014	-0.22217546	No	
row_91	RASGRP1	NA	11357	-0.05119361728429794	-0.22264394	Yes	
row_92	CPQ	NA	11360	-0.051217179745435715	-0.21698825	Yes	
row_93	LCP2	NA	11388	-0.05168517678976059	-0.21289062	Yes	
row_94	GP1BA	NA	11410	-0.05203026533126831	-0.20836739	Yes	
row_95	F7	NA	11622	-0.0553305484354496	-0.21571448	Yes	
row_96	GATA3	NA	11630	-0.05543411150574684	-0.2099047	Yes	
row_97	HPCAL4	NA	11670	-0.0559917613863945	-0.20609392	Yes	
row_98	C1R	NA	11732	-0.05710916221141815	-0.20357455	Yes	
row_99	LYN	NA	11854	-0.05879645794630051	-0.20473085	Yes	
row_100	CFH	NA	11877	-0.05904049798846245	-0.19948031	Yes	
row_101	C1S	NA	11938	-0.05995164439082146	-0.19657548	Yes	
row_102	TMPRSS6	NA	12233	-0.06502948701381683	-0.20817544	Yes	
row_103	CDK5R1	NA	12466	-0.06905239820480347	-0.21532592	Yes	
row_104	SRC	NA	12514	-0.06991786509752274	-0.2104578	Yes	
row_105	F2	NA	12594	-0.07147210836410522	-0.20747612	Yes	
row_106	ZFPM2	NA	12749	-0.07421033084392548	-0.20901798	Yes	
row_107	SERPING1	NA	12786	-0.07480161637067795	-0.20288947	Yes	
row_108	PIK3CA	NA	12871	-0.07657427340745926	-0.19965373	Yes	
row_109	APOA4	NA	13008	-0.07929910719394684	-0.19946097	Yes	
row_110	C3	NA	13200	-0.08325351029634476	-0.20236564	Yes	
row_111	CP	NA	13215	-0.08362530171871185	-0.19382295	Yes	
row_112	GRB2	NA	13298	-0.08542675524950027	-0.18945852	Yes	
row_113	C9	NA	13323	-0.08583520352840424	-0.18131061	Yes	
row_114	DOCK9	NA	13373	-0.08682022243738174	-0.17466237	Yes	
row_115	SERPINC1	NA	13416	-0.08808224648237228	-0.16742054	Yes	
row_116	PPP2CB	NA	13438	-0.08888940513134003	-0.15873435	Yes	
row_117	GNGT2	NA	13466	-0.08938326686620712	-0.15037903	Yes	
row_118	FYN	NA	13640	-0.09387797117233276	-0.15092388	Yes	
row_119	FN1	NA	13712	-0.09573192149400711	-0.14468676	Yes	
row_120	CASP10	NA	13825	-0.09902402013540268	-0.14071973	Yes	
row_121	LAMP2	NA	13918	-0.10173425078392029	-0.13515787	Yes	
row_122	F5	NA	13935	-0.10202021896839142	-0.12466649	Yes	
row_123	F10	NA	13951	-0.1024557501077652	-0.11406148	Yes	
row_124	DOCK10	NA	14004	-0.10406117886304855	-0.10565933	Yes	
row_125	ME1	NA	14049	-0.10545317083597183	-0.09658446	Yes	
row_126	CALM1	NA	14150	-0.1087244376540184	-0.09074861	Yes	
row_127	GNAI3	NA	14312	-0.11336187273263931	-0.08831966	Yes	
row_128	CTSL	NA	14340	-0.11430773884057999	-0.07714931	Yes	
