NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CMPK2	NA	60	0.2360515594482422	0.035722557	Yes	
row_1	SNAPC5	NA	233	0.18608009815216064	0.05586179	Yes	
row_2	ELOA	NA	457	0.1553662121295929	0.067570455	Yes	
row_3	DDB2	NA	803	0.13102318346500397	0.06735003	Yes	
row_4	GTF2A2	NA	1126	0.11619040369987488	0.066121794	Yes	
row_5	PDE6G	NA	1244	0.11101709306240082	0.077211894	Yes	
row_6	SRSF6	NA	1340	0.10774500668048859	0.08916839	Yes	
row_7	AAAS	NA	1500	0.10237209498882294	0.0961074	Yes	
row_8	GSDME	NA	1516	0.10181891918182373	0.11221588	Yes	
row_9	SDCBP	NA	1675	0.09733293950557709	0.11837422	Yes	
row_10	RPA3	NA	1727	0.09580642729997635	0.13115895	Yes	
row_11	ERCC8	NA	1740	0.09543588012456894	0.14639007	Yes	
row_12	AK3	NA	1943	0.08988693356513977	0.14846972	Yes	
row_13	RRM2B	NA	1968	0.0891246646642685	0.16187069	Yes	
row_14	HPRT1	NA	2000	0.08825845271348953	0.17467618	Yes	
row_15	CCNO	NA	2269	0.08130086958408356	0.1710709	Yes	
row_16	NT5C3A	NA	2348	0.0796261727809906	0.17940581	Yes	
row_17	ERCC3	NA	2363	0.07932742685079575	0.19180717	Yes	
row_18	POLR2J	NA	2465	0.0770113617181778	0.19822423	Yes	
row_19	GTF3C5	NA	2565	0.07457508891820908	0.20436141	Yes	
row_20	PRIM1	NA	2593	0.07385694235563278	0.21500929	Yes	
row_21	POLR2K	NA	3259	0.061749234795570374	0.18259007	Yes	
row_22	DUT	NA	3549	0.05708754062652588	0.17357388	Yes	
row_23	AK1	NA	3550	0.057080477476119995	0.1831453	Yes	
row_24	EIF1B	NA	3565	0.056751351803541183	0.19176103	Yes	
row_25	IMPDH2	NA	3656	0.05536401644349098	0.19525574	Yes	
row_26	RFC5	NA	3673	0.05512178689241409	0.20346959	Yes	
row_27	DCTN4	NA	3801	0.05320959538221359	0.20422316	Yes	
row_28	RFC2	NA	3878	0.052057377994060516	0.20806389	Yes	
row_29	AGO4	NA	3937	0.05091989412903786	0.21287166	Yes	
row_30	RAD51	NA	4231	0.04642871394753456	0.20181088	Yes	
row_31	GTF2B	NA	4258	0.04607745260000229	0.20786494	Yes	
row_32	GTF2H3	NA	4407	0.04382702708244324	0.20569447	Yes	
row_33	PNP	NA	4437	0.04349519684910774	0.21112256	Yes	
row_34	VPS37D	NA	4517	0.042370088398456573	0.21314593	Yes	
row_35	MPG	NA	4608	0.040756236761808395	0.21419115	Yes	
row_36	MRPL40	NA	4610	0.04072457551956177	0.22095565	Yes	
row_37	ADA	NA	4797	0.03813343122601509	0.21538626	Yes	
row_38	CANT1	NA	4833	0.03769316151738167	0.21945553	Yes	
row_39	VPS37B	NA	4885	0.036937255412340164	0.2223689	Yes	
row_40	TAF13	NA	4988	0.0356145054101944	0.22178009	No	
